"type","begin_time","frequency","count","created with version","exported with version","project","last_name","first_name","born","sex","measurement_date","record_name"
"record","-1.330","100","2000","Noraxon MR3 3.16.08","3.16.08","Project 1","MyoMetrics Demo Record","","","male","2020-06-25T14:36:22.010Z","EXGAVINE abduktion_statisc_gestreckt_4"

time,Activity,Marker,Noraxon MyoMotion-Analogs-Noraxon MyoMotion.Sync (An),Noraxon MyoMotion-Segmente-Oberer Thorax-Orientierung-x,Noraxon MyoMotion-Segmente-Oberer Thorax-Orientierung-y,Noraxon MyoMotion-Segmente-Oberer Thorax-Orientierung-z,Noraxon MyoMotion-Segmente-Oberer Thorax-Orientierung-w,Noraxon MyoMotion-Segmente-Oberer Thorax-Sensor-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Sensor-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Sensor-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Scheren (Grad),Noraxon MyoMotion-Segmente-Oberer Thorax-Neigen (Grad),Noraxon MyoMotion-Segmente-Oberer Thorax-Rollen (Grad),Noraxon MyoMotion-Segmente-Oberarm RT-Orientierung-x,Noraxon MyoMotion-Segmente-Oberarm RT-Orientierung-y,Noraxon MyoMotion-Segmente-Oberarm RT-Orientierung-z,Noraxon MyoMotion-Segmente-Oberarm RT-Orientierung-w,Noraxon MyoMotion-Segmente-Oberarm RT-Sensor-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Sensor-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Sensor-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Scheren (Grad),Noraxon MyoMotion-Segmente-Oberarm RT-Neigen (Grad),Noraxon MyoMotion-Segmente-Oberarm RT-Rollen (Grad),Noraxon MyoMotion-Segmente-Unterarm RT-Orientierung-x,Noraxon MyoMotion-Segmente-Unterarm RT-Orientierung-y,Noraxon MyoMotion-Segmente-Unterarm RT-Orientierung-z,Noraxon MyoMotion-Segmente-Unterarm RT-Orientierung-w,Noraxon MyoMotion-Segmente-Unterarm RT-Sensor-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Sensor-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Sensor-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Scheren (Grad),Noraxon MyoMotion-Segmente-Unterarm RT-Neigen (Grad),Noraxon MyoMotion-Segmente-Unterarm RT-Rollen (Grad),Noraxon MyoMotion-Gelenke-Schulter RT-Total Flexion (Grad),Noraxon MyoMotion-Gelenke-Schulter RT-Rotation Ext (Grad),Noraxon MyoMotion-Gelenke-Schulter RT-Flexion (Grad),Noraxon MyoMotion-Gelenke-Schulter RT-Abduktion (Grad),Noraxon MyoMotion-Gelenke-Ellbogen RT-Flexion (Grad),Noraxon MyoMotion-Verlaufskurven-Body center of mass-x (mm),Noraxon MyoMotion-Verlaufskurven-Body center of mass-y (mm),Noraxon MyoMotion-Verlaufskurven-Body center of mass-z (mm),Noraxon MyoMotion-Verlaufskurven-7th cervical vertebrae-x (mm),Noraxon MyoMotion-Verlaufskurven-7th cervical vertebrae-y (mm),Noraxon MyoMotion-Verlaufskurven-7th cervical vertebrae-z (mm),Noraxon MyoMotion-Verlaufskurven-10th thoracic vertebrae-x (mm),Noraxon MyoMotion-Verlaufskurven-10th thoracic vertebrae-y (mm),Noraxon MyoMotion-Verlaufskurven-10th thoracic vertebrae-z (mm),Noraxon MyoMotion-Verlaufskurven-Jugular notch-x (mm),Noraxon MyoMotion-Verlaufskurven-Jugular notch-y (mm),Noraxon MyoMotion-Verlaufskurven-Jugular notch-z (mm),Noraxon MyoMotion-Verlaufskurven-Acromion LT-x (mm),Noraxon MyoMotion-Verlaufskurven-Acromion LT-y (mm),Noraxon MyoMotion-Verlaufskurven-Acromion LT-z (mm),Noraxon MyoMotion-Verlaufskurven-Acromion RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Acromion RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Acromion RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder LT-x (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder LT-y (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder LT-z (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Medial humeral epicondyle RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Medial humeral epicondyle RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Medial humeral epicondyle RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Lateral humeral epicondyle RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Lateral humeral epicondyle RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Lateral humeral epicondyle RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Elbow RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Elbow RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Elbow RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Radial styloid process RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Radial styloid process RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Radial styloid process RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Ulnar styloid process RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Ulnar styloid process RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Ulnar styloid process RT-z (mm)
-1.325,Aktivität,,0,0.2599066951,-0.7090564857,-0.6107670378,0.2380147801,854.0039063,-74.21875,500.9765625,2.664741619,-2.261811845,-7.127201362,-41.42132645,-8.084024324,1.160213995,0.5098213698,-0.462848018,-0.5074579817,0.5180157139,963.8671875,73.73046875,-238.7695313,13.1216163,-9.46632505,-4.39704797,-93.35471654,2.963958561,-2.174984424,0.6838459411,-0.2235370389,-0.1978878391,0.6657524497,990.7226563,-77.1484375,-99.609375,16.51579423,4.901542507,-1.446799602,-145.344333,-2.018842483,1.547623162,11.62331163,-52.0653824,11.6224034,0.1493735269,-5.428193527,-1.716498747,1.777135362,583.3935344,22.22365821,-22.43643351,903.1349539,48.54200191,-50.52314534,734.1450429,-20.07407741,24.60512085,864.4599446,-87.08583803,-89.34705317,872.8697182,101.8129167,76.36024536,867.8313046,-91.75906962,-87.16423645,856.5155611,99.76327894,80.84455234,851.4071695,86.78409487,87.11679104,667.5567491,81.5549163,115.7729272,667.2775598,86.5633761,101.4820907,667.4521619,69.45190891,96.99377681,525.2995025,88.25519598,85.0164113,527.8303379
-1.315,,,0,0.2598489155,-0.7090722716,-0.6107837416,0.237987974,857.421875,-75.68359375,503.4179688,3.747579943,-1.780917766,-2.847698028,-41.41408508,-8.0831395,1.162028879,0.509834361,-0.4629248735,-0.5074917481,0.5179011599,968.2617188,80.56640625,-243.1640625,15.99027974,-16.15024,1.316105836,-93.34246833,2.95427443,-2.17921691,0.6838781126,-0.2234292979,-0.1979478838,0.6657377195,1000.976563,-75.68359375,-103.515625,16.82968932,1.271996383,9.015715061,-145.3481905,-2.018366078,1.533577223,11.62006619,-52.05984542,11.61899819,0.1619545635,-5.40694566,-1.714719333,1.77876373,583.3936334,22.22399755,-22.43728765,903.1346705,48.54149817,-50.52363858,734.1449436,-20.06888747,24.60944614,864.4606568,-87.09527324,-89.33388202,872.8737356,101.8249909,76.34865341,867.8274305,-91.76877089,-87.15060373,856.5197161,99.7753858,80.83307802,851.4033235,86.82336074,87.12879527,667.5516561,81.60081813,115.7861862,667.2770914,86.6059748,101.4941594,667.448957,69.46538653,97.02336225,525.2998522,88.27010482,85.04709019,527.8252225
-1.305,,,0,0.2597911346,-0.7090880542,-0.6108004427,0.2379611668,858.8867188,-71.77734375,500.9765625,-1.041409569,-2.518568877,-3.100571185,-41.40684371,-8.082254904,1.163843871,0.5098473418,-0.4630017196,-0.5075255041,0.5177865954,977.0507813,92.28515625,-226.5625,36.3548901,-9.759568247,6.508031962,-93.33021951,2.944591205,-2.18345143,0.6839102729,-0.2233215531,-0.1980079252,0.6657229785,990.7226563,-88.37890625,-104.4921875,4.574203476,7.23333441,0.09378833258,-145.352048,-2.017890619,1.519531261,11.61683456,-52.05430857,11.61559378,0.174535566,-5.385694462,-1.712939752,1.780391739,583.3937328,22.22433655,-22.43814143,903.1343871,48.5409944,-50.52413179,734.1448444,-20.06369716,24.61377116,864.4613688,-87.10470681,-89.3207092,872.8777533,101.8370632,76.33706025,867.8235563,-91.77847046,-87.13696931,856.5238714,99.78749081,80.82160249,851.3994773,86.86263041,87.14079282,667.5465714,81.64672364,115.7994362,667.2766286,86.64857704,101.5062204,667.445759,69.47886676,97.05293725,525.3002171,88.28501505,85.07775948,527.8201221
-1.295,,,0,0.2597333526,-0.7091038337,-0.6108171409,0.2379343586,859.8632813,-79.58984375,503.90625,5.872774554,1.280986401,-0.207629529,-41.39960232,-8.081370536,1.165658972,0.5098603123,-0.4630785563,-0.5075592498,0.5176720204,979.4921875,92.28515625,-238.7695313,28.60507256,-18.14459026,11.82256753,-93.3179701,2.934908886,-2.187687986,0.683942422,-0.2232138047,-0.1980679633,0.6657082264,993.6523438,-78.61328125,-98.14453125,16.81962058,6.910114854,1.41236657,-145.3559057,-2.017416105,1.505485274,11.61361673,-52.04877185,11.61219018,0.1871165345,-5.364439935,-1.711160002,1.782019389,583.3938326,22.2246752,-22.43899486,903.1341038,48.54049061,-50.52462496,734.1447452,-20.05850648,24.61809591,864.4620807,-87.11413875,-89.30753471,872.8817712,101.8491337,76.32546587,867.8196819,-91.78816833,-87.12333318,856.5280271,99.79959396,80.81012574,851.3956309,86.90190389,87.1527837,667.541495,81.69263282,115.8126771,667.2761717,86.69118281,101.5182736,667.4425677,69.49234959,97.08250181,525.3005972,88.29992667,85.10841917,527.8150369
-1.285,,,0,0.2596650545,-0.7091226118,-0.610834671,0.2379079351,869.140625,-75.1953125,502.4414063,-1.807166938,2.030566409,6.727241466,-41.39153841,-8.080347129,1.168306586,0.509865153,-0.4631790512,-0.5076125952,0.5175250192,977.0507813,94.7265625,-234.8632813,32.36624978,-17.66055662,8.663790507,-93.30090827,2.923661883,-2.192915834,0.6839766271,-0.2231016834,-0.1981533562,0.6656852559,992.1875,-78.125,-101.5625,15.41226363,3.534076981,0.3021866502,-145.3579473,-2.01704326,1.488859312,11.61020785,-52.03918359,11.60853387,0.2026612433,-5.339604758,-1.709032129,1.78402513,583.3939536,22.2255269,-22.43955726,903.1337756,48.53993558,-50.52516792,734.14463,-20.05250979,24.62310705,864.4629098,-87.12452691,-89.29250731,872.8876141,101.862897,76.3125836,867.8140157,-91.79898929,-87.10789318,856.5340488,99.81325999,80.79726844,851.3899837,86.94746929,87.1685572,667.5349554,81.74733234,115.83016,667.275164,86.74133359,101.5341291,667.438296,69.50809906,97.12022347,525.3005095,88.31683351,85.14660258,527.8084824
-1.275,,,0,0.2595870596,-0.7091439094,-0.6108526126,0.2378835008,865.234375,-76.66015625,494.6289063,-3.640524522,6.883769927,-0.4478910888,-41.38286684,-8.079155766,1.171859885,0.5098589706,-0.463304231,-0.5076876961,0.5173453614,973.6328125,80.56640625,-223.6328125,28.36907681,-1.169198187,1.826962442,-93.27867422,2.911078018,-2.199046434,0.6840105094,-0.2229945017,-0.1982685917,0.6656520419,1001.953125,-76.66015625,-96.6796875,21.0174952,6.856988581,9.279472115,-145.3570064,-2.016875533,1.470014728,11.60666446,-52.0249893,11.60467239,0.2210394526,-5.311772186,-1.706573091,1.786385357,583.3940993,22.22701066,-22.43976099,903.1333928,48.5393462,-50.52574546,734.1444961,-20.04580555,24.62870353,864.4638793,-87.13555146,-89.27596294,872.8954432,101.8780735,76.2987488,867.806401,-91.81064229,-87.09100929,856.5421028,99.82817192,80.78335122,851.3823795,86.99845347,87.188008,667.5269326,81.81011855,115.8518065,667.2735034,86.79824076,101.5536811,667.4328942,69.52612502,97.16605772,525.2997958,88.33548284,85.19188378,527.8004426
-1.265,,,0,0.2595007932,-0.709166804,-0.6108708701,0.2378624865,857.9101563,-71.77734375,503.90625,1.204114281,-4.690787545,-2.473118817,-41.37383275,-8.077731215,1.176312875,0.5098395764,-0.4634536438,-0.5077851774,0.5171349341,973.1445313,74.70703125,-229.9804688,19.4317615,-2.249673107,2.546647714,-93.25124224,2.897459279,-2.205918344,0.684041192,-0.222903199,-0.1984176643,0.6656066721,995.1171875,-75.1953125,-97.16796875,21.46715129,5.165982428,2.430366695,-145.3518227,-2.017020443,1.44949,11.60298602,-52.00593847,11.60059897,0.2419173078,-5.281747874,-1.70381558,1.789044344,583.3942761,22.2292206,-22.4396133,903.1329339,48.5387414,-50.52634169,734.1443369,-20.03852776,24.63473237,864.4650396,-87.14685087,-89.25834974,872.905249,101.8943085,76.28432845,867.7968535,-91.82278629,-87.07313453,856.5521851,99.84394474,80.76874752,851.3728396,87.05369159,87.21071834,667.5175316,81.879824,115.8771933,667.2711579,86.86073764,101.5765096,667.426415,69.54642342,97.21943976,525.298357,88.35558054,85.24328794,527.7910289
-1.255,,,0,0.2594082849,-0.7091899599,-0.6108896603,0.237846096,851.5625,-76.171875,502.9296875,6.403961047,-2.914718537,-8.108065254,-41.36470669,-8.075976603,1.181577372,0.5098057225,-0.4636253495,-0.5079041227,0.516897536,973.6328125,79.58984375,-245.1171875,13.10794401,-16.45309241,6.94354855,-93.2189237,2.883155433,-2.213321503,0.6840656822,-0.2228388455,-0.1986033249,0.6655476773,1000,-59.5703125,-99.609375,33.91175579,-5.772061363,6.124905688,-145.341232,-2.017573133,1.427945037,11.59912154,-51.98208955,11.59626063,0.2647903871,-5.250478068,-1.700807139,1.791918322,583.3944931,22.23221944,-22.43919566,903.1323668,48.53814178,-50.52694033,734.1441429,-20.03084513,24.64099152,864.4664649,-87.15803091,-89.24021994,872.9168449,101.9111772,76.26971476,867.7855681,-91.83503745,-87.05480688,856.5641137,99.86013188,80.75387693,851.3615692,87.11180836,87.23604018,667.5069816,81.95489862,115.9056346,667.2681765,86.92736073,101.6019628,667.4190165,69.56893539,97.27935376,525.2961721,88.37679263,85.29942278,527.7804783
-1.245,,,0,0.2593120311,-0.709211783,-0.6109094013,0.2378352808,853.515625,-80.56640625,499.5117188,6.896770357,3.044852312,-7.81302743,-41.35577224,-8.073780455,1.187498214,0.5097571736,-0.4638161343,-0.5080421542,0.5166385458,966.3085938,73.2421875,-241.2109375,9.702950716,-11.15566562,-1.460648434,-93.18233512,2.868533114,-2.221010475,0.6840812654,-0.2228107933,-0.1988260294,0.6654745546,1004.394531,-53.7109375,-102.5390625,37.96591332,-11.56830828,10.26346179,-145.3244109,-2.018584298,1.40610684,11.59497796,-51.95379,11.59156776,0.2890333349,-5.218953245,-1.697606784,1.794902257,583.3947602,22.23603487,-22.43864289,903.1316547,48.53756853,-50.52752516,734.1439031,-20.02295284,24.64724605,864.46824,-87.16868527,-89.22219351,872.9298988,101.9282061,76.25531199,867.772885,-91.84698923,-87.03661824,856.5775604,99.87624786,80.73918594,851.3489214,87.17132905,87.26315091,667.4956098,82.03353748,115.9362421,667.2646659,86.99646919,101.6292132,667.4109359,69.59352827,97.3443233,525.2932923,88.39878045,85.35855011,527.7691251
-1.235,,,0,0.2592147401,-0.7092306319,-0.6109306032,0.2378306696,852.5390625,-83.49609375,505.3710938,12.86640184,1.082001093,-5.501293045,-41.34730012,-8.071036079,1.19387479,0.5096947161,-0.4640217625,-0.5081954365,0.5163646953,969.7265625,84.47265625,-252.4414063,11.09713327,-26.08153996,5.200729291,-93.14237041,2.85394837,-2.228701959,0.6840858775,-0.2228249514,-0.1990829063,0.6653882699,1000,-60.546875,-119.6289063,22.59366496,-22.27757117,8.449421344,-145.3011106,-2.020031283,1.384723167,11.59042071,-51.92167589,11.58639552,0.3139419646,-5.188123043,-1.694280051,1.797876696,583.3950866,22.24065587,-22.43811891,903.1307625,48.53704143,-50.52808128,734.143607,-20.01505452,24.65325443,864.4704455,-87.1784347,-89.20489374,872.9439793,101.9449175,76.24150275,867.7592424,-91.85825137,-87.01915594,856.5920955,99.89181402,80.72510717,851.3353484,87.23079739,87.29104804,667.4838016,82.11381344,115.9679223,667.2607549,87.06637023,101.6572527,667.402451,69.62000093,97.41233828,525.2898195,88.42125747,85.41858971,527.7573618
