"type","begin_time","frequency","count","created with version","exported with version","project","last_name","first_name","born","sex","measurement_date","record_name"
"record","-1.220","100","2000","Noraxon MR3 3.16.08","3.16.08","Project 1","MyoMetrics Demo Record","","","male","2020-06-25T14:44:59.800Z","EXGAVINE abduktion_statisch_gebeugt_"

time,Activity,Marker,Noraxon MyoMotion-Analogs-Noraxon MyoMotion.Sync (An),Noraxon MyoMotion-Segmente-Oberer Thorax-Orientierung-x,Noraxon MyoMotion-Segmente-Oberer Thorax-Orientierung-y,Noraxon MyoMotion-Segmente-Oberer Thorax-Orientierung-z,Noraxon MyoMotion-Segmente-Oberer Thorax-Orientierung-w,Noraxon MyoMotion-Segmente-Oberer Thorax-Sensor-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Sensor-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Sensor-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Scheren (Grad),Noraxon MyoMotion-Segmente-Oberer Thorax-Neigen (Grad),Noraxon MyoMotion-Segmente-Oberer Thorax-Rollen (Grad),Noraxon MyoMotion-Segmente-Oberarm RT-Orientierung-x,Noraxon MyoMotion-Segmente-Oberarm RT-Orientierung-y,Noraxon MyoMotion-Segmente-Oberarm RT-Orientierung-z,Noraxon MyoMotion-Segmente-Oberarm RT-Orientierung-w,Noraxon MyoMotion-Segmente-Oberarm RT-Sensor-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Sensor-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Sensor-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Scheren (Grad),Noraxon MyoMotion-Segmente-Oberarm RT-Neigen (Grad),Noraxon MyoMotion-Segmente-Oberarm RT-Rollen (Grad),Noraxon MyoMotion-Segmente-Unterarm RT-Orientierung-x,Noraxon MyoMotion-Segmente-Unterarm RT-Orientierung-y,Noraxon MyoMotion-Segmente-Unterarm RT-Orientierung-z,Noraxon MyoMotion-Segmente-Unterarm RT-Orientierung-w,Noraxon MyoMotion-Segmente-Unterarm RT-Sensor-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Sensor-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Sensor-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Scheren (Grad),Noraxon MyoMotion-Segmente-Unterarm RT-Neigen (Grad),Noraxon MyoMotion-Segmente-Unterarm RT-Rollen (Grad),Noraxon MyoMotion-Gelenke-Schulter RT-Total Flexion (Grad),Noraxon MyoMotion-Gelenke-Schulter RT-Rotation Ext (Grad),Noraxon MyoMotion-Gelenke-Schulter RT-Flexion (Grad),Noraxon MyoMotion-Gelenke-Schulter RT-Abduktion (Grad),Noraxon MyoMotion-Gelenke-Ellbogen RT-Flexion (Grad),Noraxon MyoMotion-Verlaufskurven-Body center of mass-x (mm),Noraxon MyoMotion-Verlaufskurven-Body center of mass-y (mm),Noraxon MyoMotion-Verlaufskurven-Body center of mass-z (mm),Noraxon MyoMotion-Verlaufskurven-7th cervical vertebrae-x (mm),Noraxon MyoMotion-Verlaufskurven-7th cervical vertebrae-y (mm),Noraxon MyoMotion-Verlaufskurven-7th cervical vertebrae-z (mm),Noraxon MyoMotion-Verlaufskurven-10th thoracic vertebrae-x (mm),Noraxon MyoMotion-Verlaufskurven-10th thoracic vertebrae-y (mm),Noraxon MyoMotion-Verlaufskurven-10th thoracic vertebrae-z (mm),Noraxon MyoMotion-Verlaufskurven-Jugular notch-x (mm),Noraxon MyoMotion-Verlaufskurven-Jugular notch-y (mm),Noraxon MyoMotion-Verlaufskurven-Jugular notch-z (mm),Noraxon MyoMotion-Verlaufskurven-Acromion LT-x (mm),Noraxon MyoMotion-Verlaufskurven-Acromion LT-y (mm),Noraxon MyoMotion-Verlaufskurven-Acromion LT-z (mm),Noraxon MyoMotion-Verlaufskurven-Acromion RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Acromion RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Acromion RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder LT-x (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder LT-y (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder LT-z (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Medial humeral epicondyle RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Medial humeral epicondyle RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Medial humeral epicondyle RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Lateral humeral epicondyle RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Lateral humeral epicondyle RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Lateral humeral epicondyle RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Elbow RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Elbow RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Elbow RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Radial styloid process RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Radial styloid process RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Radial styloid process RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Ulnar styloid process RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Ulnar styloid process RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Ulnar styloid process RT-z (mm)
-1.215,Aktivität,,0,0.2717729887,-0.6837739422,-0.6286647031,0.2517405999,883.7890625,-79.1015625,472.1679688,-6.870771049,-0.5349938853,1005.104602,-43.49884634,-4.750374592,0.1471343176,0.4685249182,-0.5191555772,-0.5417531964,0.4663318152,972.65625,101.0742188,-209.9609375,2.268249821,4.239158925,1000.168315,-82.7867643,1.256240457,-1.344159488,0.6670503481,-0.2513342667,-0.2621256599,0.6505113818,983.3984375,-123.046875,-128.90625,-5.708331699,-0.4892013095,999.3983276,-137.4072367,-0.9311066337,-1.301495158,6.585391846,-39.27145685,6.573811731,0.3938145557,-0.7336742155,-1.465566161,1.027806236,583.7240716,24.18741007,-25.28611607,901.992847,48.26990083,-50.88408801,733.8051121,-20.88481974,22.10233369,867.0558817,-83.32458769,-94.65941192,870.8464565,99.0238092,78.30209361,870.2032629,-88.52167494,-91.77625856,854.761061,96.35933857,83.58749011,854.1089341,91.23561323,85.27864,668.8752797,91.46631007,114.4073648,669.1213727,93.70842792,99.4315465,668.9190507,69.10434766,100.1233242,527.9342435,86.18942193,85.64732118,529.338377
-1.205,,,0,0.271785073,-0.6837960916,-0.6286333835,0.2517456025,880.859375,-86.42578125,472.1679688,-0.6221466519,4.015011553,1003.149409,-43.50046177,-4.754612931,0.1482749692,0.46854278,-0.5191489972,-0.5417261891,0.4663525684,978.0273438,97.65625,-214.84375,-3.240694867,3.630959387,1006.085672,-82.79088491,1.255105067,-1.342934108,0.6670623389,-0.2513029122,-0.2620776248,0.6505305534,994.140625,-111.328125,-133.3007813,3.73259161,-9.786370538,1009.142669,-137.4141601,-0.9311338048,-1.299968131,6.588031391,-39.27406142,6.576407182,0.3946448333,-0.7337266242,-1.465909469,1.028130106,583.7236335,24.18566385,-25.28187933,901.9943566,48.26997251,-50.88389892,733.8055473,-20.88654758,22.10302203,867.0525551,-83.3233546,-94.66012568,870.848709,99.0204745,78.30617683,870.200533,-88.5199308,-91.77819306,854.7629296,96.35645149,83.5904192,854.1057512,91.23617111,85.27691216,668.8729404,91.46475502,114.4056588,669.118422,93.70796093,99.42999843,668.9164692,69.10660907,100.1163203,527.9311489,86.19339817,85.64239932,529.3358791
-1.195,,,0,0.2717971568,-0.6838182399,-0.6286020629,0.2517506047,875.9765625,-82.03125,474.1210938,-0.550110026,-1.737952772,999.4256113,-43.50207731,-4.758851238,0.1494157477,0.4685606412,-0.5191424164,-0.541699181,0.4663733207,973.1445313,97.16796875,-218.75,-6.239826098,-0.2026691767,1002.129971,-82.79500553,1.253969766,-1.341708647,0.6670743272,-0.2512715566,-0.2620295886,0.6505497226,985.3515625,-112.7929688,-131.3476563,1.989765835,-7.71543378,1000.414252,-137.4210835,-0.9311607916,-1.2984411,6.590670974,-39.27666597,6.579002596,0.3954752641,-0.7337791021,-1.466252749,1.028453956,583.7231954,24.18391752,-25.27764249,901.9958661,48.27004418,-50.88370983,733.8059824,-20.88827526,22.10371014,867.0492285,-83.32212153,-94.6608392,870.8509618,99.01713984,78.31025981,870.197803,-88.51818662,-91.78012735,854.7647986,96.35356449,83.59334804,854.1025682,91.23672936,85.2751844,668.8706012,91.46320035,114.4039527,669.1154714,93.70749431,99.42845037,668.9138878,69.10887152,100.1093167,527.9280545,86.19737518,85.63747801,529.3333813
-1.185,,,0,0.2718092401,-0.683840387,-0.6285707412,0.2517556065,869.140625,-90.33203125,470.2148438,5.567819003,4.98297593,992.2759044,-43.50369293,-4.763089513,0.1505566531,0.4685785016,-0.5191358349,-0.541672172,0.4663940724,969.2382813,98.14453125,-230.9570313,-13.08130502,-10.97977095,1001.051781,-82.79912618,1.252834553,-1.340483105,0.6670863129,-0.2512402001,-0.2619815515,0.6505688893,987.7929688,-112.3046875,-124.0234375,6.403378763,-1.597184552,1001.841081,-137.4280069,-0.9311875941,-1.296914066,6.593310594,-39.27927051,6.581597971,0.396305848,-0.7338316494,-1.466595999,1.028777786,583.7227573,24.18217107,-25.27340555,901.9973754,48.27011586,-50.88352074,733.8064176,-20.89000279,22.10439803,867.045902,-83.32088846,-94.66155249,870.8532148,99.01380522,78.31434257,870.1950727,-88.5164424,-91.78206142,854.766668,96.35067758,83.59627663,854.0993851,91.23728798,85.27345675,668.868262,91.46164606,114.4022465,669.1125208,93.70702805,99.42690233,668.9113065,69.11113499,100.1023135,527.9249602,86.20135295,85.63255726,529.3308838
-1.175,,,0,0.2718246388,-0.6838666248,-0.6285340105,0.2517594147,872.0703125,-84.9609375,474.1210938,2.93031824,-0.4530066196,996.2464607,-43.50550733,-4.768178574,0.1516518934,0.4685981324,-0.5191279202,-0.541642879,0.4664171785,967.2851563,107.421875,-224.1210938,-1.845844309,-11.5557831,998.6357465,-82.80369018,1.251667733,-1.339175856,0.6670979492,-0.2512092716,-0.2619330922,0.6505884131,992.1875,-111.8164063,-122.5585938,8.367835827,-0.369252679,1005.927132,-137.4349312,-0.9311858637,-1.295302048,6.596718714,-39.28211965,6.584968916,0.3970399702,-0.7339171729,-1.467063023,1.02917594,583.7222326,24.17984951,-25.26853089,901.9991874,48.27018945,-50.8833055,733.80694,-20.89209504,22.1052067,867.0419075,-83.31964881,-94.66232619,870.8553194,99.0098731,78.31900203,870.1923945,-88.51452798,-91.78423872,854.7683035,96.3473484,83.59960796,854.0961713,91.23741913,85.27184748,668.8658099,91.45943963,114.4006605,669.1094341,93.70602516,99.42549167,668.9086015,69.11296979,100.0952563,527.9217232,86.20490058,85.62758449,529.3282762
-1.165,,,0,0.2718430734,-0.6838966148,-0.6284925473,0.2517615573,880.859375,-79.58984375,474.609375,-3.943262336,-2.193345476,1003.73377,-43.50745164,-4.774047831,0.1526536476,0.4686190454,-0.5191188422,-0.5416128108,0.4664411872,972.65625,110.8398438,-213.8671875,7.446573417,-4.461354644,1002.00273,-82.80849142,1.250501503,-1.337914988,0.6671086263,-0.2511802165,-0.2618861041,0.6506075991,981.9335938,-121.5820313,-123.5351563,-2.218468045,3.434364565,997.1058074,-137.4415655,-0.9311455811,-1.293643738,6.600932186,-39.28506835,6.589150259,0.397713507,-0.734032707,-1.467648463,1.029656867,583.7216296,24.17695131,-25.263118,902.0012769,48.2702603,-50.88307051,733.8075425,-20.89450819,22.10613879,867.0373002,-83.3184902,-94.66309237,870.8571748,99.00545161,78.32410051,870.1898766,-88.51253162,-91.78656183,854.76961,96.34368716,83.60323096,854.0930437,91.23714955,85.27070748,668.8633467,91.45671023,114.3995445,669.1063251,93.70456209,99.42456056,668.9058787,69.11436883,100.0886568,527.9184653,86.2079386,85.62298435,529.3256651
-1.155,,,0,0.2718639379,-0.683929806,-0.6284473128,0.2517617818,878.4179688,-83.0078125,475.5859375,-0.1471326335,-0.8734433123,1002.342069,-43.50944781,-4.780572887,0.153539883,0.4686407061,-0.51910914,-0.541583417,0.4664643521,968.2617188,109.8632813,-222.1679688,1.52789,-11.22726268,999.4152876,-82.81328588,1.249329113,-1.33682028,0.6671178527,-0.2511542404,-0.2618420141,0.6506259123,981.9335938,-121.5820313,-124.0234375,-2.46561959,3.017750616,997.1671875,-137.4476808,-0.9310609408,-1.291959007,6.605901431,-39.28794412,6.594087548,0.3984073091,-0.7341515169,-1.468330592,1.030223852,583.7209619,24.17352831,-25.2572906,902.0035995,48.27032418,-50.88282333,733.8082122,-20.89716971,22.1071947,867.0321779,-83.31749093,-94.66377446,870.8587402,99.00069179,78.32947318,870.1875743,-88.51054732,-91.78891769,854.7705581,96.33983238,83.60701394,854.0900706,91.2366647,85.2703298,668.8609496,91.45376485,114.3991907,669.1032754,93.70288331,99.42439175,668.9032169,69.11553307,100.0829168,527.9152739,86.21061072,85.61909027,529.3231302
-1.145,,,0,0.2718864284,-0.6839654181,-0.628399497,0.2517601021,881.8359375,-77.63671875,470.2148438,-8.578728437,-0.1974762414,1002.34248,-43.51142375,-4.787580838,0.1543099824,0.4686625458,-0.5190995694,-0.5415558344,0.4664850838,974.1210938,104.9804688,-208.0078125,6.538265831,3.917587899,1001.569747,-82.8178415,1.248121707,-1.335971672,0.6671251751,-0.2511326048,-0.2618020167,0.650642851,989.2578125,-113.28125,-131.3476563,2.125477494,-7.288456498,1004.319784,-137.4530636,-0.9309351639,-1.290245944,6.611486519,-39.29058298,6.599635546,0.399206433,-0.7342476626,-1.469076549,1.030870642,583.7202475,24.16968261,-25.25119216,902.0060936,48.27037824,-50.8825716,733.8089315,-20.89999015,22.10836425,867.0266763,-83.3167005,-94.66431249,870.8600239,98.99576019,78.33495236,870.1854987,-88.50865425,-91.79120449,854.7711736,96.33592395,83.61082792,854.08728,91.23622164,85.2708635,668.8586684,91.45097679,114.3997473,669.1003343,93.7013024,99.42512447,668.9006657,69.11678684,100.0782689,527.9121981,86.21318731,85.61607088,529.3207213
-1.135,,,0,0.271909649,-0.6840025046,-0.6283504046,0.2517567984,882.3242188,-80.56640625,474.1210938,-4.477183983,-0.4125172897,1004.866941,-43.51332281,-4.794866865,0.1549825115,0.4686839736,-0.5190907596,-0.5415307642,0.4665024626,987.3046875,107.421875,-215.8203125,4.338234765,-0.3159288353,1016.301871,-82.82199523,1.246867885,-1.335391221,0.6671301583,-0.2511168322,-0.2617673792,0.6506577654,994.140625,-116.6992188,-126.4648438,2.47095846,-1.051557397,1008.920431,-137.4574712,-0.9307892755,-1.288493564,6.617490517,-39.29287848,6.605594185,0.4001571528,-0.7343329309,-1.469851212,1.031581717,583.7195072,24.16555582,-25.24497315,902.0086862,48.27042146,-50.88232215,733.8096792,-20.90287394,22.10962561,867.0209564,-83.31613172,-94.66467393,870.8610784,98.99081792,78.340387,870.1836207,-88.50690565,-91.79334629,854.7715296,96.33208495,83.61456271,854.0846627,91.23599772,85.2722794,668.8565184,91.44860615,114.4011844,669.0975241,93.70003693,99.42672253,668.8982445,69.11840531,100.0748007,527.9092479,86.21588176,85.6139412,529.318453
-1.125,,,0,0.2719327015,-0.6840400628,-0.628301321,0.2517523554,872.5585938,-86.42578125,473.1445313,2.70706121,1.879789718,996.3346832,-43.51510646,-4.8022171,0.1555912045,0.4687043854,-0.5190830169,-0.5415083629,0.4665165739,976.0742188,106.4453125,-217.7734375,1.809670859,-4.04029809,1005.712263,-82.82569053,1.245596143,-1.335028411,0.6671324266,-0.2511086306,-0.2617396026,0.650669779,994.6289063,-104.4921875,-131.3476563,10.45333875,-11.42385346,1008.572114,-137.460624,-0.930664077,-1.286703231,6.62368862,-39.29481725,6.611739598,0.4012361185,-0.7344641046,-1.470624604,1.032333659,583.7187619,24.16131096,-25.23877631,902.0113012,48.27045447,-50.8820805,733.8104335,-20.90572865,22.11094904,867.0151862,-83.31576492,-94.66485236,870.8619897,98.98600738,78.34565371,870.1818785,-88.50532798,-91.79529586,854.7717343,96.32841338,83.6181339,854.0821772,91.23599997,85.27433759,668.8544753,91.44669127,114.4032618,669.0948448,93.69910916,99.42894336,668.8959413,69.12047981,100.0724672,527.9063987,86.21871424,85.61257187,529.3163009
