"type","begin_time","frequency","count","created with version","exported with version","project","last_name","first_name","born","sex","measurement_date","record_name"
"record","-1.290","100","2000","Noraxon MR3 3.16.08","3.16.08","Project 1","MyoMetrics Demo Record","","","male","2020-06-25T14:48:15.877Z","EXGAVINE abduktion_statisch_gebeugt_4"

time,Activity,Marker,Noraxon MyoMotion-Analogs-Noraxon MyoMotion.Sync (An),Noraxon MyoMotion-Segmente-Oberer Thorax-Orientierung-x,Noraxon MyoMotion-Segmente-Oberer Thorax-Orientierung-y,Noraxon MyoMotion-Segmente-Oberer Thorax-Orientierung-z,Noraxon MyoMotion-Segmente-Oberer Thorax-Orientierung-w,Noraxon MyoMotion-Segmente-Oberer Thorax-Sensor-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Sensor-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Sensor-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Scheren (Grad),Noraxon MyoMotion-Segmente-Oberer Thorax-Neigen (Grad),Noraxon MyoMotion-Segmente-Oberer Thorax-Rollen (Grad),Noraxon MyoMotion-Segmente-Oberarm RT-Orientierung-x,Noraxon MyoMotion-Segmente-Oberarm RT-Orientierung-y,Noraxon MyoMotion-Segmente-Oberarm RT-Orientierung-z,Noraxon MyoMotion-Segmente-Oberarm RT-Orientierung-w,Noraxon MyoMotion-Segmente-Oberarm RT-Sensor-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Sensor-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Sensor-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Scheren (Grad),Noraxon MyoMotion-Segmente-Oberarm RT-Neigen (Grad),Noraxon MyoMotion-Segmente-Oberarm RT-Rollen (Grad),Noraxon MyoMotion-Segmente-Unterarm RT-Orientierung-x,Noraxon MyoMotion-Segmente-Unterarm RT-Orientierung-y,Noraxon MyoMotion-Segmente-Unterarm RT-Orientierung-z,Noraxon MyoMotion-Segmente-Unterarm RT-Orientierung-w,Noraxon MyoMotion-Segmente-Unterarm RT-Sensor-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Sensor-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Sensor-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Scheren (Grad),Noraxon MyoMotion-Segmente-Unterarm RT-Neigen (Grad),Noraxon MyoMotion-Segmente-Unterarm RT-Rollen (Grad),Noraxon MyoMotion-Gelenke-Schulter RT-Total Flexion (Grad),Noraxon MyoMotion-Gelenke-Schulter RT-Rotation Ext (Grad),Noraxon MyoMotion-Gelenke-Schulter RT-Flexion (Grad),Noraxon MyoMotion-Gelenke-Schulter RT-Abduktion (Grad),Noraxon MyoMotion-Gelenke-Ellbogen RT-Flexion (Grad),Noraxon MyoMotion-Verlaufskurven-Body center of mass-x (mm),Noraxon MyoMotion-Verlaufskurven-Body center of mass-y (mm),Noraxon MyoMotion-Verlaufskurven-Body center of mass-z (mm),Noraxon MyoMotion-Verlaufskurven-7th cervical vertebrae-x (mm),Noraxon MyoMotion-Verlaufskurven-7th cervical vertebrae-y (mm),Noraxon MyoMotion-Verlaufskurven-7th cervical vertebrae-z (mm),Noraxon MyoMotion-Verlaufskurven-10th thoracic vertebrae-x (mm),Noraxon MyoMotion-Verlaufskurven-10th thoracic vertebrae-y (mm),Noraxon MyoMotion-Verlaufskurven-10th thoracic vertebrae-z (mm),Noraxon MyoMotion-Verlaufskurven-Jugular notch-x (mm),Noraxon MyoMotion-Verlaufskurven-Jugular notch-y (mm),Noraxon MyoMotion-Verlaufskurven-Jugular notch-z (mm),Noraxon MyoMotion-Verlaufskurven-Acromion LT-x (mm),Noraxon MyoMotion-Verlaufskurven-Acromion LT-y (mm),Noraxon MyoMotion-Verlaufskurven-Acromion LT-z (mm),Noraxon MyoMotion-Verlaufskurven-Acromion RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Acromion RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Acromion RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder LT-x (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder LT-y (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder LT-z (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Medial humeral epicondyle RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Medial humeral epicondyle RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Medial humeral epicondyle RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Lateral humeral epicondyle RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Lateral humeral epicondyle RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Lateral humeral epicondyle RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Elbow RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Elbow RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Elbow RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Radial styloid process RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Radial styloid process RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Radial styloid process RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Ulnar styloid process RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Ulnar styloid process RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Ulnar styloid process RT-z (mm)
-1.285,Aktivität,,0,0.2739490767,-0.7031933475,-0.6047586481,0.2544366266,850.5859375,-59.5703125,516.6015625,-1.720703621,4.794724553,996.9434705,-44.10249407,-7.993338195,1.532847049,0.4472738142,-0.5364422836,-0.5403513669,0.4692506918,961.4257813,124.5117188,-250,3.152097168,-0.7583897785,1001.165416,-80.79223309,1.395383157,1.151020628,0.6441890702,-0.2833502642,-0.3175924014,0.6355062047,991.2109375,-133.7890625,-146.484375,13.20030274,-10.11924788,1010.73224,-129.7039712,0.5423779243,-2.810889679,8.423965997,-36.93938605,8.420561385,-0.2429638293,1.080669933,-1.857563079,1.312519201,583.3894909,23.01007095,-21.82616725,903.1007773,48.28042164,-50.78016822,734.1391683,-21.62213033,23.09659374,864.5303901,-83.28611732,-93.78008832,873.6841989,97.77938474,80.39795811,867.0264181,-88.14816187,-91.86855779,857.3511401,95.43213883,84.72862818,850.6008901,88.41601525,79.33619348,665.9839801,89.82253191,108.4281997,666.5067403,91.45286521,93.37874139,666.0606692,62.00988601,97.94527391,526.1488194,77.04204445,81.3069066,526.9393656
-1.275,,,0,0.2739383874,-0.7032425584,-0.6047240062,0.254394458,847.1679688,-58.59375,521.9726563,2.11576545,-0.161313888,996.7837008,-44.09816046,-8.000669498,1.53273807,0.4472721923,-0.5364570271,-0.5403470381,0.4692403675,966.3085938,132.8125,-262.2070313,2.32546905,-13.4481022,1009.929565,-80.79095954,1.393736277,1.151500476,0.6441659983,-0.2834383313,-0.3177672626,0.6354029004,990.234375,-112.3046875,-144.0429688,31.06795083,-21.80640792,1006.222689,-129.6803126,0.540064147,-2.819909693,8.429580524,-36.94257562,8.426190844,-0.2425160902,1.087043844,-1.858095143,1.314139871,583.3887248,23.00386893,-21.8216869,903.1031884,48.27998502,-50.78035976,734.1399137,-21.62145939,23.10094386,864.5246978,-83.29508302,-93.7702608,873.683518,97.78414833,80.393535,867.0263301,-88.15550702,-91.8598433,857.3498466,95.43871365,84.72289411,850.6001977,88.42282596,79.3328246,665.9797123,89.83078953,108.4246625,666.5079164,91.46035852,93.37521147,666.0588171,62.00950728,97.97468408,526.1499464,77.03482415,81.32997286,526.9370035
-1.265,,,0,0.2739276966,-0.7032917655,-0.6046893609,0.254352288,850.0976563,-56.15234375,517.578125,-3.598747505,1.918797754,996.8398034,-44.09382676,-8.008000792,1.532628533,0.4472705702,-0.5364717705,-0.5403427091,0.4692300429,958.4960938,136.71875,-250.9765625,11.92396665,-9.661533824,1000.08024,-80.789686,1.392089388,1.151980289,0.6441428937,-0.283526385,-0.3179421087,0.6352995648,985.3515625,-118.1640625,-139.1601563,28.81025191,-14.5646696,1001.600637,-129.6566536,0.5377541594,-2.828930635,8.435195176,-36.94576515,8.431820373,-0.2420686987,1.093414684,-1.8586269,1.31576056,583.3879586,22.99766675,-21.817206,903.1055991,48.2795484,-50.7805513,734.140659,-21.62078789,23.10529328,864.5190058,-83.3040482,-93.76043281,873.6828358,97.78891131,80.38911136,867.0262433,-88.16285168,-91.85112851,857.3485521,95.44528783,84.71715933,850.599507,88.4296364,79.32945577,665.9754445,89.83904723,108.4211242,666.5090934,91.46785172,93.37168112,666.0569655,62.00914218,98.0040966,526.1510792,77.02761458,81.3530448,526.9346469
-1.255,,,0,0.2739170043,-0.7033409687,-0.6046547123,0.2543101166,857.9101563,-51.26953125,518.0664063,-9.963792076,0.8508673905,1003.459616,-44.08949296,-8.01533208,1.532518435,0.447268948,-0.5364865137,-0.5403383799,0.4692197183,970.2148438,144.53125,-233.8867188,29.51566531,1.241276127,1007.986313,-80.78841248,1.390442488,1.152460065,0.6441197566,-0.2836144253,-0.3181169397,0.6351961977,982.421875,-133.7890625,-150.390625,9.773415739,-13.69864263,1002.689594,-129.6329941,0.5354479619,-2.837952506,8.440809951,-36.94895464,8.437449972,-0.2416216548,1.099782453,-1.859158349,1.317381271,583.3871925,22.9914644,-21.81272457,903.1080093,48.27911177,-50.78074284,734.1414044,-21.62011583,23.10964198,864.5133139,-83.31301287,-93.75060435,873.6821525,97.79367369,80.3846872,867.0261579,-88.17019586,-91.84241343,857.3472568,95.45186136,84.71142383,850.5988178,88.43644658,79.32608701,665.9711766,89.84730501,108.4175849,666.5102712,91.47534482,93.36815034,666.0551144,62.0087907,98.03351147,526.1522179,77.02041572,81.37612241,526.9322957
-1.245,,,0,0.2739172612,-0.7033798049,-0.6046308413,0.2542591782,857.421875,-54.19921875,523.4375,-4.712746557,-0.4152584148,1006.019016,-44.08514818,-8.021670512,1.530276886,0.4473088809,-0.5365048176,-0.5403164829,0.4691859376,958.4960938,132.3242188,-235.3515625,18.36068648,4.632470328,995.6185233,-80.78907427,1.384096493,1.150012968,0.6441221819,-0.2836619269,-0.3182515805,0.635105076,977.0507813,-141.1132813,-143.0664063,7.685589869,-3.553434336,997.4655326,-129.6165337,0.5320019434,-2.847493831,8.443294047,-36.95343328,8.440032469,-0.2380951432,1.110621114,-1.859202505,1.318865805,583.3865196,22.98447033,-21.81042177,903.1101016,48.27866912,-50.78096904,734.1420447,-21.61990363,23.1130573,864.5083728,-83.32198518,-93.74236574,873.6768817,97.79765241,80.37983104,867.0307238,-88.17732205,-91.83469079,857.3413769,95.45786606,84.70586983,850.6029112,88.45949854,79.32869266,665.969474,89.87084198,108.4200606,666.5142818,91.49861755,93.37069255,666.0559912,62.02493705,98.0680332,526.1560288,77.03179671,81.40617921,526.9324321
-1.235,,,0,0.2739359672,-0.7034000729,-0.6046233841,0.2542006818,858.8867188,-54.6875,518.5546875,-7.983094969,3.50384092,1004.73881,-44.08145502,-8.02615608,1.525054139,0.4474109412,-0.5365239784,-0.5402669431,0.4691237582,961.9140625,130.3710938,-251.4648438,6.906745408,-5.01192034,1002.71483,-80.79333853,1.371272799,1.143431628,0.644161747,-0.2836419415,-0.3183151914,0.6350419921,982.9101563,-131.8359375,-151.3671875,11.27582591,-15.86864103,1003.008553,-129.6124541,0.527460111,-2.857147389,8.441036387,-36.95993435,8.437984457,-0.230284929,1.127523931,-1.858574573,1.320009913,583.3860276,22.97683487,-21.81137248,903.1115967,48.27827458,-50.78120462,734.1424915,-21.62060935,23.11466717,864.5048414,-83.32982957,-93.73762369,873.6652223,97.79960736,80.3752463,867.0418151,-88.18311883,-91.82959047,857.3291508,95.46200472,84.70151383,850.6137519,88.50457042,79.34011446,665.9717317,89.91453819,108.4314436,666.5221433,91.5430158,93.38224403,666.0608254,62.06302121,98.10706693,526.1636405,77.06870442,81.44398141,526.9363433
-1.225,,,0,0.2739833069,-0.7033922349,-0.6046376411,0.2541374323,850.0976563,-51.7578125,521.484375,-4.689238743,-3.076674076,998.6287572,-44.07944294,-8.027881752,1.515913858,0.4476002583,-0.5365390301,-0.5401763937,0.4690302139,964.84375,135.7421875,-254.3945313,9.136789519,-9.7381637,1006.919892,-80.80356841,1.349999477,1.131397382,0.6442500787,-0.283522586,-0.3182738416,0.6350264097,977.0507813,-136.71875,-144.53125,10.70023893,-7.766495358,997.0128958,-129.6266619,0.5221756747,-2.866518191,8.432291049,-36.96949743,8.429581494,-0.2168671865,1.152493976,-1.857110937,1.320560719,583.3858109,22.96875447,-21.81666803,903.1121993,48.27800921,-50.78140053,734.1426515,-21.62292284,23.11335158,864.5034144,-83.33487371,-93.73895449,873.6451868,97.79768668,80.37217242,867.0614951,-88.18594239,-91.8294172,857.3086315,95.46234801,84.6999198,850.6334997,88.57780314,79.36364074,665.9795375,89.98327952,108.4550919,666.5349634,91.6140751,93.40622532,666.070979,62.12799777,98.149666,526.1764382,77.13781321,81.49013706,526.9455632
-1.215,,,0,0.274072302,-0.7033456353,-0.6046780098,0.2540743887,854.4921875,-46.38671875,521.484375,-10.18409853,-5.568392141,1002.057811,-44.08057763,-8.025939994,1.50189232,0.4479055855,-0.536542852,-0.5400283593,0.4689048152,963.3789063,119.6289063,-229.0039063,12.29983582,18.48299944,997.1759494,-80.82277741,1.318189023,1.112568045,0.6443975331,-0.2832680626,-0.3180927769,0.6350811045,981.9335938,-149.9023438,-137.2070313,6.498985585,6.193529626,1002.701086,-129.6654931,0.5169322922,-2.875280715,8.415248959,-36.98337305,8.413020743,-0.1964561165,1.187981823,-1.854688659,1.320216836,583.385967,22.96049435,-21.82732679,903.1116136,48.27798585,-50.78147792,734.1424321,-21.62779771,23.10773428,864.5047863,-83.33481462,-93.74966323,873.6147274,97.78933384,80.37250463,867.0918868,-88.18352773,-91.83723602,857.2778109,95.4562339,84.70329529,850.6643753,88.68533069,79.40286894,665.9946062,90.08161582,108.4946892,666.5538684,91.71716385,93.44640054,666.0878726,62.22369501,98.19446319,526.1960549,77.24479545,81.54495468,526.9618393
-1.205,,,0,0.2742185604,-0.7032489485,-0.604747325,0.2540192324,851.0742188,-48.33984375,528.3203125,-3.540054126,-9.475064429,1002.838028,-44.08679946,-8.019481772,1.4820961,0.448357412,-0.5365267741,-0.5398041233,0.4687495709,964.84375,112.7929688,-234.8632813,3.031705854,18.74111567,999.2227259,-80.85443217,1.273750197,1.085688946,0.6446117341,-0.2828398975,-0.3177390201,0.6352316269,982.9101563,-158.203125,-125.4882813,7.737499994,20.50784613,1003.19862,-129.7353657,0.5130681837,-2.883247251,8.388142386,-37.00281445,8.386513998,-0.1676615123,1.23689998,-1.851243134,1.318636384,583.386592,22.95242368,-21.84417573,903.1095611,48.27835199,-50.78132369,734.141747,-21.63645527,23.09620733,864.509607,-83.32666696,-93.77376368,873.5719452,97.7712589,80.3788717,867.1349596,-88.17294647,-91.85688529,857.2348283,95.44022836,84.71453669,850.7084401,88.83281045,79.46152642,666.0186674,90.21339571,108.5540584,666.5798821,91.85706343,93.50668614,666.112863,62.35210379,98.23958819,526.2243195,77.39350477,81.60827695,526.9870519
-1.195,,,0,0.274439728,-0.7030908004,-0.6048461885,0.2539827757,850.5859375,-54.6875,522.4609375,-2.661579652,-1.651713092,999.7213506,-44.10052374,-8.007786418,1.455812597,0.4489849563,-0.5364816251,-0.5394842911,0.4685687512,972.65625,111.8164063,-227.0507813,7.186777724,27.26277331,1004.649311,-80.90210939,1.214758656,1.049746395,0.6448959246,-0.2821986365,-0.3171842587,0.6355055641,984.375,-165.0390625,-105.9570313,14.73018319,39.91843187,1002.820256,-129.8423654,0.5125950468,-2.890427534,8.349387665,-37.02876916,8.348415941,-0.1292028487,1.30256801,-1.846789062,1.315447666,583.3877745,22.94504494,-21.86772276,903.1058035,48.2792896,-50.78078838,734.1405238,-21.65036401,23.07698401,864.5184292,-83.30676726,-93.81588183,873.5153271,97.73947231,80.39465822,867.1922885,-88.15061995,-91.89291488,857.1782059,95.41015073,84.737216,850.7673474,89.02476374,79.54318568,666.053339,90.3812845,108.6368645,666.613784,92.03739372,93.59084597,666.1471036,62.51255465,98.28248495,526.2631797,77.58502597,81.67919828,527.0231122
