"type","begin_time","frequency","count","created with version","exported with version","project","last_name","first_name","born","sex","measurement_date","record_name"
"record","-1.360","100","2000","Noraxon MR3 3.16.08","3.16.08","Project 1","MyoMetrics Demo Record","","","male","2020-06-25T14:53:12.233Z","EXGAVINE flexion_statisch_gestreckt_"

time,Activity,Marker,Noraxon MyoMotion-Analogs-Noraxon MyoMotion.Sync (An),Noraxon MyoMotion-Segmente-Oberer Thorax-Orientierung-x,Noraxon MyoMotion-Segmente-Oberer Thorax-Orientierung-y,Noraxon MyoMotion-Segmente-Oberer Thorax-Orientierung-z,Noraxon MyoMotion-Segmente-Oberer Thorax-Orientierung-w,Noraxon MyoMotion-Segmente-Oberer Thorax-Sensor-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Sensor-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Sensor-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Scheren (Grad),Noraxon MyoMotion-Segmente-Oberer Thorax-Neigen (Grad),Noraxon MyoMotion-Segmente-Oberer Thorax-Rollen (Grad),Noraxon MyoMotion-Segmente-Oberarm RT-Orientierung-x,Noraxon MyoMotion-Segmente-Oberarm RT-Orientierung-y,Noraxon MyoMotion-Segmente-Oberarm RT-Orientierung-z,Noraxon MyoMotion-Segmente-Oberarm RT-Orientierung-w,Noraxon MyoMotion-Segmente-Oberarm RT-Sensor-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Sensor-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Sensor-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Scheren (Grad),Noraxon MyoMotion-Segmente-Oberarm RT-Neigen (Grad),Noraxon MyoMotion-Segmente-Oberarm RT-Rollen (Grad),Noraxon MyoMotion-Segmente-Unterarm RT-Orientierung-x,Noraxon MyoMotion-Segmente-Unterarm RT-Orientierung-y,Noraxon MyoMotion-Segmente-Unterarm RT-Orientierung-z,Noraxon MyoMotion-Segmente-Unterarm RT-Orientierung-w,Noraxon MyoMotion-Segmente-Unterarm RT-Sensor-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Sensor-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Sensor-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Scheren (Grad),Noraxon MyoMotion-Segmente-Unterarm RT-Neigen (Grad),Noraxon MyoMotion-Segmente-Unterarm RT-Rollen (Grad),Noraxon MyoMotion-Gelenke-Schulter RT-Total Flexion (Grad),Noraxon MyoMotion-Gelenke-Schulter RT-Rotation Ext (Grad),Noraxon MyoMotion-Gelenke-Schulter RT-Flexion (Grad),Noraxon MyoMotion-Gelenke-Schulter RT-Abduktion (Grad),Noraxon MyoMotion-Gelenke-Ellbogen RT-Flexion (Grad),Noraxon MyoMotion-Verlaufskurven-Body center of mass-x (mm),Noraxon MyoMotion-Verlaufskurven-Body center of mass-y (mm),Noraxon MyoMotion-Verlaufskurven-Body center of mass-z (mm),Noraxon MyoMotion-Verlaufskurven-7th cervical vertebrae-x (mm),Noraxon MyoMotion-Verlaufskurven-7th cervical vertebrae-y (mm),Noraxon MyoMotion-Verlaufskurven-7th cervical vertebrae-z (mm),Noraxon MyoMotion-Verlaufskurven-10th thoracic vertebrae-x (mm),Noraxon MyoMotion-Verlaufskurven-10th thoracic vertebrae-y (mm),Noraxon MyoMotion-Verlaufskurven-10th thoracic vertebrae-z (mm),Noraxon MyoMotion-Verlaufskurven-Jugular notch-x (mm),Noraxon MyoMotion-Verlaufskurven-Jugular notch-y (mm),Noraxon MyoMotion-Verlaufskurven-Jugular notch-z (mm),Noraxon MyoMotion-Verlaufskurven-Acromion LT-x (mm),Noraxon MyoMotion-Verlaufskurven-Acromion LT-y (mm),Noraxon MyoMotion-Verlaufskurven-Acromion LT-z (mm),Noraxon MyoMotion-Verlaufskurven-Acromion RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Acromion RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Acromion RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder LT-x (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder LT-y (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder LT-z (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Medial humeral epicondyle RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Medial humeral epicondyle RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Medial humeral epicondyle RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Lateral humeral epicondyle RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Lateral humeral epicondyle RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Lateral humeral epicondyle RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Elbow RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Elbow RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Elbow RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Radial styloid process RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Radial styloid process RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Radial styloid process RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Ulnar styloid process RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Ulnar styloid process RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Ulnar styloid process RT-z (mm)
-1.355,Aktivität,,0,0.2578559225,-0.6657979185,-0.6497462221,0.2608702779,884.2773438,-65.4296875,475.0976563,-5.766404476,-5.045547775,5.925712305,-43.04606172,-1.120380931,0.7044294471,0.4890832833,-0.5118858219,-0.5051089886,0.4935943242,1000,20.5078125,0.9765625,-10.93425248,18.40510404,-0.01839101123,-88.03443239,-0.1408965053,0.644429618,0.6488297918,-0.2807389384,-0.2680907276,0.6544714749,998.046875,-118.1640625,-123.5351563,-23.87155532,15.93305725,12.17465475,-134.3271408,0.0235542606,1.121966259,0.6638105846,-44.99453468,0.5651398927,0.3482486538,-0.6538666163,-0.7586052054,0.3336857854,584.0631337,26.97299651,-27.6025875,900.6432337,48.43132739,-50.83033665,733.4322964,-19.35264312,21.46602606,869.9191569,-82.6161614,-94.88919902,872.2828765,101.0848503,76.60840501,869.1935334,-88.58848217,-91.33210852,856.6067567,97.66393251,82.54740668,853.4745062,97.22323996,77.05681613,668.8392763,94.81084585,106.0793229,668.1530905,98.40262546,91.37016095,668.4409038,76.36209431,87.48606279,527.1117793,92.60655684,72.18582697,529.445497
-1.345,,,0,0.2578276206,-0.665789897,-0.6497599316,0.2608845766,880.3710938,-65.91796875,467.7734375,-8.400087634,-1.219923116,-0.9312433768,-43.0448441,-1.117483953,0.706982732,0.4889891928,-0.5119496074,-0.5051543899,0.4935749297,1012.695313,23.4375,-9.27734375,-14.7322629,8.890968288,12.86282022,-88.02166092,-0.1378344269,0.6498019853,0.6487813975,-0.2808317525,-0.2683073585,0.6543908514,996.09375,-119.140625,-131.3476563,-28.95743207,9.868385094,11.29300216,-134.299964,0.02477756958,1.111711878,0.6581683057,-44.98302693,0.5606826907,0.3447254141,-0.6484729705,-0.7585582062,0.3334208897,584.0634159,26.97639564,-27.60319233,900.6421951,48.43131033,-50.8304169,733.4320101,-19.35021916,21.46664693,869.9215465,-82.61615274,-94.88719409,872.2887486,101.0884452,76.60636637,869.1882054,-88.58944625,-91.32986896,856.6130527,97.66660442,82.54554651,853.4694464,97.21418321,77.03843605,668.8340439,94.80874927,106.0616174,668.1519687,98.39699132,91.35154387,668.4373069,76.33474353,87.49408222,527.1110334,92.57227289,72.18587785,529.4407409
-1.335,,,0,0.2577993184,-0.6657818747,-0.6497736404,0.2608988751,875.9765625,-66.89453125,470.2148438,-4.491673107,-3.188254256,-3.565619044,-43.04362635,-1.11458703,0.7095360763,0.4888950947,-0.5120133849,-0.5051997835,0.4935555276,1003.90625,13.18359375,-13.671875,-25.39648566,11.19485845,3.702236602,-88.00888916,-0.1347735402,0.6551750386,0.6487329613,-0.2809245485,-0.2685239719,0.654310186,997.0703125,-105.9570313,-133.7890625,-19.17113122,0.3061819644,11.38913765,-134.2727875,0.02600574759,1.101458092,0.6525275651,-44.97151881,0.5562266413,0.3412019564,-0.6430783001,-0.7585111496,0.3331563117,584.0636984,26.97979476,-27.60379681,900.6411568,48.43129328,-50.8304971,733.4317238,-19.34779495,21.46726816,869.9239364,-82.61614355,-94.88518878,872.2946212,101.0920397,76.6043281,869.1828776,-88.59040978,-91.32762899,856.6193493,97.66927602,82.54368673,853.464387,97.20512182,77.02005902,668.8288136,94.80664961,106.0439128,668.1508491,98.3913531,91.33292879,668.4337122,76.30740172,87.50211365,527.1102959,92.53799357,72.1859445,529.4359932
-1.325,,,0,0.2577710158,-0.6657738516,-0.6497873483,0.2609131731,874.5117188,-61.5234375,472.65625,-6.056449172,-9.103833532,-4.088231872,-43.04240848,-1.111690162,0.71208948,0.488800989,-0.5120771546,-0.5052451692,0.4935361181,1006.347656,20.01953125,-8.7890625,-17.03121681,11.30466651,6.377551747,-87.99611712,-0.1317138454,0.6605487777,0.6486844834,-0.2810173263,-0.2687405678,0.6542294785,991.2109375,-95.21484375,-130.3710938,-9.264311407,-3.507958712,4.222822851,-134.2456112,0.02723879437,1.091204902,0.6468883831,-44.96001031,0.5517717444,0.3376782808,-0.6376826044,-0.7584640353,0.3328920514,584.063981,26.9831939,-27.60440094,900.6401188,48.43127625,-50.83057723,733.4314375,-19.34537046,21.46788973,869.9263267,-82.61613384,-94.88318309,872.3004944,101.0956339,76.6022902,869.17755,-88.59137275,-91.32538863,856.6256465,97.67194734,82.54182735,853.4593279,97.19605577,77.00168505,668.8235855,94.80454688,106.0262092,668.1497318,98.38571081,91.31431571,668.4301196,76.28006887,87.51015709,527.1095666,92.50371889,72.1860269,529.4312538
-1.315,,,0,0.2577401266,-0.6657655635,-0.6498003908,0.2609323545,878.4179688,-65.4296875,466.796875,-8.167565133,-1.400295028,-3.140017659,-43.04139564,-1.108600229,0.7152199403,0.4886787398,-0.5121573604,-0.5053028314,0.4935149197,1006.835938,27.83203125,0.48828125,-5.307207481,14.28886581,7.105320851,-87.97997879,-0.1274342378,0.6676899538,0.6486190865,-0.2811482233,-0.2690103099,0.6541272127,994.140625,-83.984375,-129.3945313,0.9859487871,-9.131034948,5.995802348,-134.2104091,0.02852839494,1.079686369,0.6399608002,-44.94495485,0.5467647017,0.3325832475,-0.6324944685,-0.7585326089,0.3325127606,584.0642777,26.987185,-27.60470014,900.6390175,48.43128499,-50.83063721,733.4311335,-19.34281655,21.46852399,869.9288849,-82.61557751,-94.88136844,872.3076597,101.099163,76.60066947,869.1709838,-88.59195252,-91.32342863,856.633278,97.67438162,82.54030425,853.4530371,97.18247309,76.97796016,668.8171536,94.79971377,106.0033138,668.1480538,98.37643099,91.29028448,668.4255829,76.24631792,87.51808385,527.1082001,92.46091092,72.18368946,529.4253837
-1.305,,,0,0.2577070296,-0.6657581833,-0.6498113256,0.2609566427,879.3945313,-62.98828125,464.3554688,-11.6398076,-1.266034854,-3.610930128,-43.04064311,-1.105518667,0.7189940139,0.4885243592,-0.512255831,-0.5053742081,0.4934924759,1005.859375,41.015625,-12.20703125,-1.812356228,-3.599928382,6.76120866,-87.96008803,-0.1217061798,0.6768852198,0.6485345457,-0.281320816,-0.2693344303,0.6540034451,992.1875,-73.73046875,-126.953125,10.63803538,-13.18481,2.847100068,-134.1667532,0.02997045511,1.067149952,0.631740541,-44.92591778,0.5413725352,0.3256140499,-0.6278566192,-0.7587615468,0.3320074348,584.0645679,26.99169571,-27.60449397,900.6379287,48.43132177,-50.83066974,733.4308321,-19.34020418,21.46922441,869.93145,-82.61443929,-94.87974302,872.3162494,101.1025049,76.5996304,869.1630195,-88.59209286,-91.32180551,856.6423546,97.67647555,82.53922587,853.4453299,97.16345257,76.94811935,668.809422,94.79141715,105.9744725,668.1455952,98.36268511,91.26005992,668.419949,76.20556928,87.52469635,527.1060105,92.40886664,72.17762734,529.4182918
-1.295,,,0,0.257671026,-0.6657534577,-0.6498187702,0.2609857119,879.8828125,-65.4296875,476.5625,-2.700353703,-7.401038613,2.758473842,-43.04006534,-1.102670805,0.72353201,0.4883346173,-0.5123736386,-0.5054598579,0.4934702504,1000.976563,52.734375,-13.18359375,7.436518732,-11.12580943,2.362067658,-87.93624836,-0.1142987364,0.6884383504,0.648429336,-0.2815355074,-0.2697105908,0.6538603455,993.6523438,-72.75390625,-116.6992188,17.64565369,-5.339834453,2.954104556,-134.1148063,0.03175954058,1.053917459,0.6222720303,-44.90279569,0.5357752053,0.3165108027,-0.6241047351,-0.759182122,0.3313763269,584.06483,26.9966369,-27.60356274,900.6369377,48.43137865,-50.83067587,733.4305566,-19.33751196,21.4701495,869.9338429,-82.6128786,-94.87804097,872.3265126,101.1057661,76.59914341,869.1533788,-88.59192971,-91.32031178,856.6531036,97.67836281,82.53850016,853.4358985,97.13823496,76.91126416,668.8002584,94.77898519,105.9387866,668.1420246,98.34375694,91.22273623,668.4129926,76.15734876,87.52813648,527.1027535,92.3471463,72.16604837,529.4098559
-1.285,,,0,0.2576300355,-0.6657536484,-0.6498216653,0.2610184818,882.8125,-63.4765625,470.703125,-8.539418973,-4.168313778,2.426216493,-43.03939135,-1.100279002,0.7290054276,0.4881076827,-0.5125101152,-0.5055587188,0.4934517745,999.5117188,52.24609375,-16.6015625,5.368352507,-13.29762112,0.9112329133,-87.90865387,-0.1049347738,0.7026863345,0.6483027292,-0.2817886447,-0.2701319982,0.6537028642,994.140625,-81.0546875,-124.0234375,7.182034499,-6.602612245,5.073172253,-134.0554783,0.03423206138,1.040403469,0.611628192,-44.8760627,0.530156626,0.3050141259,-0.6215932229,-0.7598129862,0.3306264032,584.0650432,27.0019065,-27.60169883,900.63613,48.43143457,-50.83066838,733.4303295,-19.33459291,21.47157894,869.9358881,-82.61130615,-94.87566785,872.3388123,101.1093575,76.59890754,869.1416729,-88.59184952,-91.31840083,856.6658678,97.68048997,82.53776589,853.4243237,97.10615449,76.86627215,668.7895113,94.76163516,105.895115,668.1368969,98.31892293,91.17719071,668.4044226,76.10112877,87.5256303,527.0981423,92.27545802,72.14646274,529.399945
-1.275,,,0,0.2575807215,-0.6657612349,-0.6498195551,0.2610530515,894.53125,-66.40625,461.4257813,-16.56364175,7.017207918,8.556445338,-43.03816918,-1.098524804,0.7356054131,0.4878435403,-0.512661946,-0.5056673944,0.4934439133,996.09375,55.17578125,-14.16015625,9.400855244,-12.89988209,-2.40646924,-87.87807808,-0.09323066149,0.7200382035,0.6481545236,-0.2820722044,-0.2705873053,0.6535392071,988.7695313,-93.26171875,-128.90625,-5.992809299,-3.905671328,1.463223174,-133.9904629,0.0379280969,1.027123206,0.5998537112,-44.84695549,0.5246801963,0.2907655737,-0.6207153861,-0.7606699927,0.3297556457,584.065192,27.00739384,-27.59875357,900.6355758,48.43145569,-50.83067242,733.4301696,-19.33117598,21.47388894,869.9374436,-82.61037496,-94.87173274,872.3535582,101.1139878,76.59833707,869.1274735,-88.59248138,-91.31520612,856.6810422,97.68360867,82.53639243,853.4101508,97.06645797,76.81165913,668.7770638,94.73819563,105.8419277,668.1296887,98.28722353,91.12195005,668.3939243,76.0359994,87.51321826,527.0919072,92.19334156,72.1154243,529.3884812
-1.265,,,0,0.2575189125,-0.6657784141,-0.6498128935,0.2610867987,899.9023438,-58.59375,460.4492188,-24.58083731,3.548569891,12.25200862,-43.03581008,-1.097497523,0.7434949481,0.4875442188,-0.5128226643,-0.5057796397,0.4934577041,991.6992188,41.50390625,-6.8359375,2.990630699,1.306524001,-7.4144904,-87.84599304,-0.07866143781,0.7410110833,0.6479845142,-0.2823740763,-0.2710613526,0.6533809712,984.375,-119.140625,-125.9765625,-25.59963847,13.28066983,-0.8868904028,-133.9221477,0.04365370333,1.014680158,0.5868972492,-44.8175485,0.5194346961,0.2732108292,-0.6218824383,-0.7617765778,0.3287318579,584.0652703,27.01299249,-27.5946952,900.6353114,48.43139883,-50.83072386,733.4300859,-19.32689195,21.47749559,869.9384416,-82.61091467,-94.86515753,872.3711051,101.1205945,76.5966004,869.1104207,-88.59463412,-91.30963593,856.6989768,97.68870153,82.5335353,853.3930051,97.01815888,76.7454672,668.7629055,94.70690077,105.7771908,668.119863,98.24728777,91.05508119,668.3812249,75.96034748,87.48559507,527.0838856,92.09982734,72.06834493,529.3755237
