"type","begin_time","frequency","count","created with version","exported with version","project","last_name","first_name","born","sex","measurement_date","record_name"
"record","-1.270","100","2000","Noraxon MR3 3.16.08","3.16.08","Project 1","MyoMetrics Demo Record","","","male","2020-06-25T14:57:23.152Z","EXGAVINE flexion_statisch_gestreckt_-2"

time,Activity,Marker,Noraxon MyoMotion-Analogs-Noraxon MyoMotion.Sync (An),Noraxon MyoMotion-Segmente-Oberer Thorax-Orientierung-x,Noraxon MyoMotion-Segmente-Oberer Thorax-Orientierung-y,Noraxon MyoMotion-Segmente-Oberer Thorax-Orientierung-z,Noraxon MyoMotion-Segmente-Oberer Thorax-Orientierung-w,Noraxon MyoMotion-Segmente-Oberer Thorax-Sensor-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Sensor-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Sensor-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Scheren (Grad),Noraxon MyoMotion-Segmente-Oberer Thorax-Neigen (Grad),Noraxon MyoMotion-Segmente-Oberer Thorax-Rollen (Grad),Noraxon MyoMotion-Segmente-Oberarm RT-Orientierung-x,Noraxon MyoMotion-Segmente-Oberarm RT-Orientierung-y,Noraxon MyoMotion-Segmente-Oberarm RT-Orientierung-z,Noraxon MyoMotion-Segmente-Oberarm RT-Orientierung-w,Noraxon MyoMotion-Segmente-Oberarm RT-Sensor-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Sensor-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Sensor-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Scheren (Grad),Noraxon MyoMotion-Segmente-Oberarm RT-Neigen (Grad),Noraxon MyoMotion-Segmente-Oberarm RT-Rollen (Grad),Noraxon MyoMotion-Segmente-Unterarm RT-Orientierung-x,Noraxon MyoMotion-Segmente-Unterarm RT-Orientierung-y,Noraxon MyoMotion-Segmente-Unterarm RT-Orientierung-z,Noraxon MyoMotion-Segmente-Unterarm RT-Orientierung-w,Noraxon MyoMotion-Segmente-Unterarm RT-Sensor-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Sensor-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Sensor-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Scheren (Grad),Noraxon MyoMotion-Segmente-Unterarm RT-Neigen (Grad),Noraxon MyoMotion-Segmente-Unterarm RT-Rollen (Grad),Noraxon MyoMotion-Gelenke-Schulter RT-Total Flexion (Grad),Noraxon MyoMotion-Gelenke-Schulter RT-Rotation Ext (Grad),Noraxon MyoMotion-Gelenke-Schulter RT-Flexion (Grad),Noraxon MyoMotion-Gelenke-Schulter RT-Abduktion (Grad),Noraxon MyoMotion-Gelenke-Ellbogen RT-Flexion (Grad),Noraxon MyoMotion-Verlaufskurven-Body center of mass-x (mm),Noraxon MyoMotion-Verlaufskurven-Body center of mass-y (mm),Noraxon MyoMotion-Verlaufskurven-Body center of mass-z (mm),Noraxon MyoMotion-Verlaufskurven-7th cervical vertebrae-x (mm),Noraxon MyoMotion-Verlaufskurven-7th cervical vertebrae-y (mm),Noraxon MyoMotion-Verlaufskurven-7th cervical vertebrae-z (mm),Noraxon MyoMotion-Verlaufskurven-10th thoracic vertebrae-x (mm),Noraxon MyoMotion-Verlaufskurven-10th thoracic vertebrae-y (mm),Noraxon MyoMotion-Verlaufskurven-10th thoracic vertebrae-z (mm),Noraxon MyoMotion-Verlaufskurven-Jugular notch-x (mm),Noraxon MyoMotion-Verlaufskurven-Jugular notch-y (mm),Noraxon MyoMotion-Verlaufskurven-Jugular notch-z (mm),Noraxon MyoMotion-Verlaufskurven-Acromion LT-x (mm),Noraxon MyoMotion-Verlaufskurven-Acromion LT-y (mm),Noraxon MyoMotion-Verlaufskurven-Acromion LT-z (mm),Noraxon MyoMotion-Verlaufskurven-Acromion RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Acromion RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Acromion RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder LT-x (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder LT-y (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder LT-z (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Medial humeral epicondyle RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Medial humeral epicondyle RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Medial humeral epicondyle RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Lateral humeral epicondyle RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Lateral humeral epicondyle RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Lateral humeral epicondyle RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Elbow RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Elbow RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Elbow RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Radial styloid process RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Radial styloid process RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Radial styloid process RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Ulnar styloid process RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Ulnar styloid process RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Ulnar styloid process RT-z (mm)
-1.265,Aktivität,,0,0.2592298784,-0.6666256419,-0.6466907555,0.2649550724,875.9765625,-71.77734375,479.9804688,6.483943902,0.3769395231,1.411999077,-43.52886088,-1.328220958,1.02985472,0.4523284719,-0.5389122053,-0.5220086664,0.4821613222,1003.417969,44.43359375,-45.8984375,-5.16107416,3.018292282,5.431690397,-82.73553846,0.5698260602,2.719638546,0.6653274433,-0.264671232,-0.2800402331,0.6394263054,997.0703125,-124.0234375,-70.3125,20.75033924,5.670465156,6.981696964,-134.6557649,-1.456783872,-1.958318638,1.438121953,-39.24925027,0.04944491995,-1.437272417,0.07429374063,-0.9071657579,0.2411717708,584.0361472,27.193596,-27.11959568,900.724153,48.46893576,-50.79059524,733.4545008,-19.58790179,21.36083995,869.7580192,-81.87838251,-95.49748441,872.9870061,100.3858522,77.49496627,868.4709588,-87.90543075,-92.09269325,857.2980188,96.8902517,83.30243036,852.7192486,92.97917128,71.17388803,667.5439139,93.42174503,100.2909725,668.3158694,95.55452666,85.30560904,667.8328718,70.79682253,89.30049334,526.9580153,87.17290633,74.00625164,528.1138991
-1.255,,,0,0.2592135646,-0.6666632435,-0.6466565541,0.2649599002,881.3476563,-64.453125,475.0976563,-3.567852373,-0.1000878854,3.31098862,-43.5279807,-1.332997957,1.033593637,0.4523088192,-0.5389291772,-0.5219855819,0.48218578,1001.464844,39.55078125,-49.8046875,-11.56556237,3.109026172,3.410771412,-82.73613559,0.5697671167,2.724464428,0.6653110447,-0.2647265865,-0.2800899785,0.6393986644,986.8164063,-144.0429688,-87.40234375,-6.690474546,3.021264456,1.069565862,-134.646514,-1.457641756,-1.958368254,1.438106312,-39.25091188,0.05105536532,-1.437200508,0.0734560517,-0.9072628531,0.2418101707,584.035694,27.19276419,-27.11391019,900.7259609,48.46885162,-50.79053872,733.454993,-19.58760196,21.36405148,869.7542449,-81.88008768,-95.49288068,872.9949158,100.3871125,77.49601706,868.4624834,-87.90691968,-92.08964112,857.3055088,96.89176939,83.30188019,852.7101259,92.97811135,71.1602404,667.53783,93.42059091,100.2773073,668.3105007,95.55342119,85.29196251,667.8271394,70.79778675,89.29250445,526.9520769,87.17138969,73.99560638,528.1079549
-1.245,,,0,0.25919725,-0.6667008431,-0.6466223509,0.2649647272,883.3007813,-64.453125,474.1210938,-4.987153783,1.175111263,4.559124407,-43.52710082,-1.337775013,1.037332488,0.4522891656,-0.538946148,-0.5219624964,0.4822102369,1000,36.1328125,-39.55078125,-7.352646925,12.94839152,1.323185678,-82.73673272,0.5697082249,2.729290311,0.6652946418,-0.2647819393,-0.2801397221,0.6393710193,993.1640625,-135.7421875,-83.984375,3.156719174,1.242920239,5.903902978,-134.6372631,-1.458499631,-1.958418007,1.438092413,-39.25257359,0.05266570433,-1.437128539,0.07261814877,-0.9073599163,0.242448534,584.0352409,27.19193241,-27.10822444,900.7277685,48.46876747,-50.79048219,733.4554851,-19.5873021,21.36726266,869.7504706,-81.88179291,-95.48827603,873.0028254,100.3883728,77.49706698,868.4540083,-87.90840869,-92.08658813,857.3129988,96.89328711,83.30132909,852.7010037,92.97705164,71.1465924,667.5317475,93.419437,100.2636417,668.3051332,95.55231591,85.27831562,667.8214083,70.79875208,89.28451486,526.94614,87.16987371,73.98496082,528.102012
-1.235,,,0,0.2591809347,-0.6667384408,-0.6465881458,0.2649695535,882.3242188,-68.84765625,473.1445313,-2.22586776,4.697491386,3.531142169,-43.52622126,-1.342552126,1.041071273,0.4522695112,-0.5389631179,-0.5219394099,0.482234693,1001.953125,29.78515625,-40.0390625,-12.37127126,17.12860301,2.972536694,-82.73732986,0.5696493849,2.734116197,0.6652782345,-0.2648372904,-0.2801894639,0.6393433699,993.1640625,-140.1367188,-90.8203125,-4.273474795,-1.823740952,7.094779814,-134.6280122,-1.459357496,-1.958467898,1.438080255,-39.25423541,0.05427593698,-1.43705651,0.07178003183,-0.9074569474,0.2430868607,584.0347877,27.19110063,-27.10253844,900.7295759,48.46868333,-50.79042566,733.4559773,-19.5870022,21.37047348,869.7466963,-81.88349821,-95.48367046,873.0107348,100.3896332,77.49811604,868.4455334,-87.9098978,-92.08353427,857.3204888,96.89480485,83.30077704,852.6918818,92.97599212,71.13294404,667.5256663,93.41828328,100.2499758,668.2997671,95.55121084,85.26466835,667.8156785,70.79971851,89.27652456,526.9402045,87.16835842,73.97431495,528.0960704
-1.225,,,0,0.2591605514,-0.6667822279,-0.6465483935,0.2649763083,876.953125,-70.80078125,473.6328125,1.45418027,4.436227786,-0.8174439111,-43.52517755,-1.348034039,1.045612075,0.4522491039,-0.5389772375,-0.5219093073,0.4822706299,1004.882813,38.0859375,-39.0625,-5.518203076,12.58083556,6.268928473,-82.73909302,0.5700205325,2.73990366,0.6652612837,-0.2648971011,-0.2802504488,0.6393094996,990.234375,-145.5078125,-92.7734375,-10.13252319,-0.3329987466,5.10734388,-134.6173634,-1.460404062,-1.959220527,1.438268406,-39.2572735,0.05625669172,-1.437168691,0.07084312353,-0.9076083377,0.2438497189,584.0342711,27.19031298,-27.09585352,900.7316531,48.46858755,-50.79035976,733.4565428,-19.58655505,21.37425723,869.7423711,-81.88542471,-95.47823058,873.0203659,100.3912182,77.49932941,868.4352652,-87.91162356,-92.07991802,857.3296477,96.89663935,83.30010808,852.680865,92.97360765,71.11662954,667.518247,93.41528227,100.2336405,668.2934812,95.54852657,85.2483975,667.808794,70.79832218,89.26808721,526.9333168,87.16411856,73.9628155,528.0889051
-1.215,,,0,0.2591355478,-0.6668317144,-0.6465039365,0.2649847026,873.046875,-68.84765625,470.2148438,-0.2677010899,4.156313883,-6.000252318,-43.52389475,-1.354113264,1.050933749,0.4522270913,-0.5389881281,-0.5218739318,0.4823173798,1007.8125,42.48046875,-42.48046875,-4.444762876,7.630689717,9.562891683,-82.74185383,0.5709568055,2.746551049,0.6652426649,-0.2649596794,-0.2803250534,0.639270232,996.09375,-140.625,-88.8671875,-2.994640439,0.02108731959,9.884428097,-134.6052578,-1.461365253,-1.960919979,1.438690672,-39.26159593,0.05867300581,-1.437494771,0.07003832168,-0.9078272587,0.2447400457,584.0337034,27.1896071,-27.08827818,900.7339601,48.46847578,-50.79029128,733.4571709,-19.58589167,21.37861606,869.7375814,-81.88765229,-95.47187754,873.0316804,100.3932685,77.50055463,868.4232578,-87.91367755,-92.07562738,857.340449,96.89892273,83.29919967,852.6680205,92.96957145,71.09794465,667.5095597,93.41019852,100.2149306,668.2863282,95.54398013,85.22979127,667.8008014,70.79338163,89.2594664,526.9256878,87.15596574,73.95071161,528.0806274
-1.205,,,0,0.2591051482,-0.6668861443,-0.6464561324,0.2649940784,879.8828125,-63.4765625,473.6328125,-4.554185377,0.29871086,1.264325223,-43.52224493,-1.360628456,1.056980042,0.4522016412,-0.5389961102,-0.5218362834,0.4823730529,1007.324219,48.828125,-45.41015625,-1.632524063,1.300575371,9.526618337,-82.74520502,0.5726085193,2.753913328,0.6652199291,-0.2650230993,-0.2804165713,0.6392274629,997.0703125,-125.4882813,-91.796875,7.978886116,-10.98535338,9.028662847,-134.5915809,-1.461750665,-1.963821944,1.439396694,-39.26692358,0.06158329049,-1.438079805,0.06973197874,-0.9081284833,0.2457536519,584.0331032,27.18901817,-27.07999551,900.7364371,48.46834,-50.79023173,733.4578449,-19.58490777,21.38355431,869.7324566,-81.89033113,-95.4644772,873.0445664,100.3960111,77.50153364,868.4096458,-87.91622172,-92.07047226,857.3527975,96.90187523,83.29784428,852.653503,92.9635332,71.07727947,667.499772,93.40289239,100.1942355,668.278377,95.53732267,85.20922267,667.7917992,70.7833534,89.25067951,526.9176443,87.14233802,73.93799334,528.0714562
-1.195,,,0,0.2590680762,-0.6669444345,-0.6464069654,0.2650035627,882.8125,-62.01171875,471.1914063,-8.205150211,1.759249428,2.573830346,-43.52003643,-1.367338503,1.0636868,0.452170525,-0.5390017942,-0.5217998605,0.4824352679,994.140625,53.7109375,-50.78125,-1.452878898,-6.667925582,-3.138620296,-82.74864297,0.5751311882,2.761828936,0.665189461,-0.2650843725,-0.2805287176,0.6391845547,988.7695313,-125.4882813,-83.984375,11.07145031,-4.446832099,0.1617462071,-134.5762795,-1.460827489,-1.968209607,1.440433416,-39.27294239,0.0649821726,-1.438968135,0.0704639112,-0.9085211875,0.2468756987,584.0324979,27.18861268,-27.07126593,900.7389946,48.46816844,-50.79019808,733.4585402,-19.58344073,21.38908517,869.7271902,-81.8936796,-95.45582124,873.0589009,100.3997919,77.50188566,868.3945872,-87.91949601,-92.06416435,857.3665958,96.90582925,83.29573293,852.6375,92.9551992,71.05500992,667.4891205,93.39332997,100.1719321,668.2696819,95.52838552,85.18704725,667.7819067,70.7662959,89.2413289,526.9096113,87.1212956,73.92425655,528.0616947
-1.185,,,0,0.2590225354,-0.6670050425,-0.6463591278,0.2650122212,880.3710938,-66.40625,476.5625,-0.9699033297,0.7618857895,3.281290553,-43.51702536,-1.373901171,1.07098861,0.4521321552,-0.5390054623,-0.5217675567,0.4825020649,992.1875,64.94140625,-48.33984375,8.637907255,-12.15807355,-4.626838969,-82.75177924,0.5786543357,2.770137241,0.6651467826,-0.2651382855,-0.2806648031,0.6391468653,986.328125,-127.9296875,-74.70703125,13.97494768,4.562237082,-2.716588698,-134.5595365,-1.457596014,-1.9744092,1.441823938,-39.27950142,0.06873529473,-1.440185997,0.07300506781,-0.9090037338,0.2480740752,584.0319265,27.18851064,-27.06243509,900.7415062,48.46794691,-50.7902122,733.459222,-19.58126759,21.39521943,869.7220577,-81.89795792,-95.44565147,873.074566,100.4050667,77.50112004,868.3782501,-87.92379791,-92.05633963,857.3817634,96.91121316,83.29247037,852.6202209,92.94446956,71.03141875,667.4779068,93.38161537,100.1483072,668.2602753,95.51716639,85.1635335,667.771257,70.7398723,89.23044296,526.9021199,87.09057116,73.90859389,528.0517308
-1.175,,,0,0.2589666929,-0.6670656478,-0.6463161007,0.2650191907,888.671875,-64.453125,470.703125,-9.239040077,5.56257722,7.639338502,-43.51296837,-1.379853166,1.078781091,0.4520867944,-0.5390064274,-0.5217404368,0.4825728113,999.5117188,61.5234375,-50.29296875,4.735637114,-10.68674162,2.59740638,-82.75457021,0.5832354499,2.778690093,0.6650868517,-0.265176261,-0.2808267666,0.6391223338,993.1640625,-126.953125,-77.63671875,14.43771545,1.576633108,4.145645655,-134.5419571,-1.450766085,-1.982791284,1.443575588,-39.28678713,0.072508619,-1.441754978,0.07841791894,-0.9095649825,0.249284389,584.0314404,27.18888664,-27.05396059,900.7438007,48.46766246,-50.79029805,733.4598433,-19.57814204,21.40191694,869.7174316,-81.9033962,-95.43376926,873.0913672,100.4123114,77.49870121,868.3608969,-87.92941007,-92.04666243,857.3981553,96.91846017,83.28764791,852.601984,92.93157288,71.00664686,667.4665485,93.36801085,100.1235111,668.2502141,95.50390843,85.13882433,667.7600453,70.70137141,89.21632006,526.8958651,87.04764066,73.88949203,528.0420943
-1.165,,,0,0.2588996246,-0.6671226572,-0.6462822235,0.2650238334,879.3945313,-66.89453125,468.2617188,-5.523823069,6.248758912,-1.496571092,-43.5077171,-1.384590481,1.086845565,0.4520375549,-0.5390026076,-0.5217166676,0.4826488958,1005.859375,66.40625,-46.875,10.57479146,-10.82494487,9.024842258,-82.75750132,0.5888090553,2.78736681,0.6650043108,-0.2651854987,-0.2810143106,0.6391219564,994.6289063,-121.5820313,-75.1953125,20.60644109,0.5635987295,4.638364505,-134.5247208,-1.438743036,-1.993761156,1.445725911,-39.2954104,0.07569570531,-1.443744582,0.08810768435,-0.9101923478,0.2503868205,584.0311061,27.18995525,-27.04645359,900.7456538,48.46730976,-50.79047667,733.4603423,-19.57386804,21.40900218,869.7137951,-81.91007408,-95.42022882,873.1088677,100.4218552,77.49416756,868.3430483,-87.93647427,-92.03501058,857.4153966,96.92784291,83.28097463,852.5833853,92.91715067,70.98065496,667.455679,93.35292904,100.0975203,668.239671,95.48913982,85.11290693,667.7486238,70.6477269,89.19639176,526.8918049,86.98978335,73.86473809,528.0335599
-1.155,,,0,0.258822553,-0.6671707157,-0.6462626273,0.2650259208,872.5585938,-66.40625,478.0273438,2.585270872,-2.182644672,-2.870628566,-43.50134056,-1.387366978,1.094758699,0.4519911001,-0.5389904016,-0.5216908271,0.4827339571,998.5351563,57.6171875,-37.59765625,10.14705029,1.420484776,0.850039672,-82.76168884,0.5951296361,2.796075076,0.6648936765,-0.2651485661,-0.2812242157,0.6391600561,984.8632813,-140.1367188,-86.42578125,-2.192165838,1.926409647,-1.473644957,-134.5096786,-1.419632509,-2.007734932,1.448393862,-39.30638321,0.0773721575,-1.446327561,0.103857601,-0.9108841426,0.2511834193,584.0310034,27.19194107,-27.04071098,900.7467863,48.46689905,-50.79075919,733.4606428,-19.56840016,21.41606477,869.7117417,-81.91777076,-95.40557645,873.1261883,100.4336594,77.48729495,868.3256796,-87.94483107,-92.02171061,857.432679,96.93925783,83.27245068,852.5654966,92.90231023,70.95325592,667.4462611,93.33693429,100.0701711,668.2290416,95.47370164,85.08564959,667.7376135,70.5755878,89.16718177,526.8912675,86.9141774,73.83140591,528.0272631
-1.145,,,0,0.2587401716,-0.66720236,-0.6462630242,0.2650257307,867.1875,-68.359375,478.0273438,5.848419425,-2.265678355,-7.448757811,-43.49424808,-1.387319727,1.101797612,0.4519581458,-0.5389647908,-0.5216536607,0.4828335604,1004.882813,57.12890625,-36.1328125,10.73268986,3.381770784,7.090925349,-82.76890003,0.6017071242,2.804719008,0.6647495453,-0.2650435274,-0.2814497335,0.6392542672,984.8632813,-130.3710938,-80.078125,9.649282619,1.566709415,-3.371058161,-134.4993952,-1.391281621,-2.02509234,1.451815906,-39.32101364,0.07629560479,-1.449811496,0.1278314333,-0.911662809,0.2513827775,584.0312229,27.19502735,-27.03773138,900.7468718,48.4664637,-50.79113957,733.4606559,-19.56195378,21.4223665,869.711952,-81.92582552,-95.39108305,873.1417949,100.4470875,77.47826761,868.3104244,-87.95386397,-92.00777044,857.4485421,96.95200618,83.26254342,852.5500691,92.88868738,70.92426321,667.439698,93.32079273,100.0413078,668.2190527,95.45880441,85.05695092,667.7280161,70.4815282,89.12441796,526.8960425,86.81811909,73.78597942,528.0248112
