"type","begin_time","frequency","count","created with version","exported with version","project","last_name","first_name","born","sex","measurement_date","record_name"
"record","-1.230","100","2000","Noraxon MR3 3.16.08","3.16.08","Project 1","MyoMetrics Demo Record","","","male","2020-06-25T15:02:13.049Z","EXGAVINE flexion_statisch_gebeugt_"

time,Activity,Marker,Noraxon MyoMotion-Analogs-Noraxon MyoMotion.Sync (An),Noraxon MyoMotion-Segmente-Oberer Thorax-Orientierung-x,Noraxon MyoMotion-Segmente-Oberer Thorax-Orientierung-y,Noraxon MyoMotion-Segmente-Oberer Thorax-Orientierung-z,Noraxon MyoMotion-Segmente-Oberer Thorax-Orientierung-w,Noraxon MyoMotion-Segmente-Oberer Thorax-Sensor-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Sensor-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Sensor-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Scheren (Grad),Noraxon MyoMotion-Segmente-Oberer Thorax-Neigen (Grad),Noraxon MyoMotion-Segmente-Oberer Thorax-Rollen (Grad),Noraxon MyoMotion-Segmente-Oberarm RT-Orientierung-x,Noraxon MyoMotion-Segmente-Oberarm RT-Orientierung-y,Noraxon MyoMotion-Segmente-Oberarm RT-Orientierung-z,Noraxon MyoMotion-Segmente-Oberarm RT-Orientierung-w,Noraxon MyoMotion-Segmente-Oberarm RT-Sensor-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Sensor-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Sensor-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Scheren (Grad),Noraxon MyoMotion-Segmente-Oberarm RT-Neigen (Grad),Noraxon MyoMotion-Segmente-Oberarm RT-Rollen (Grad),Noraxon MyoMotion-Segmente-Unterarm RT-Orientierung-x,Noraxon MyoMotion-Segmente-Unterarm RT-Orientierung-y,Noraxon MyoMotion-Segmente-Unterarm RT-Orientierung-z,Noraxon MyoMotion-Segmente-Unterarm RT-Orientierung-w,Noraxon MyoMotion-Segmente-Unterarm RT-Sensor-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Sensor-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Sensor-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Scheren (Grad),Noraxon MyoMotion-Segmente-Unterarm RT-Neigen (Grad),Noraxon MyoMotion-Segmente-Unterarm RT-Rollen (Grad),Noraxon MyoMotion-Gelenke-Schulter RT-Total Flexion (Grad),Noraxon MyoMotion-Gelenke-Schulter RT-Rotation Ext (Grad),Noraxon MyoMotion-Gelenke-Schulter RT-Flexion (Grad),Noraxon MyoMotion-Gelenke-Schulter RT-Abduktion (Grad),Noraxon MyoMotion-Gelenke-Ellbogen RT-Flexion (Grad),Noraxon MyoMotion-Verlaufskurven-Body center of mass-x (mm),Noraxon MyoMotion-Verlaufskurven-Body center of mass-y (mm),Noraxon MyoMotion-Verlaufskurven-Body center of mass-z (mm),Noraxon MyoMotion-Verlaufskurven-7th cervical vertebrae-x (mm),Noraxon MyoMotion-Verlaufskurven-7th cervical vertebrae-y (mm),Noraxon MyoMotion-Verlaufskurven-7th cervical vertebrae-z (mm),Noraxon MyoMotion-Verlaufskurven-10th thoracic vertebrae-x (mm),Noraxon MyoMotion-Verlaufskurven-10th thoracic vertebrae-y (mm),Noraxon MyoMotion-Verlaufskurven-10th thoracic vertebrae-z (mm),Noraxon MyoMotion-Verlaufskurven-Jugular notch-x (mm),Noraxon MyoMotion-Verlaufskurven-Jugular notch-y (mm),Noraxon MyoMotion-Verlaufskurven-Jugular notch-z (mm),Noraxon MyoMotion-Verlaufskurven-Acromion LT-x (mm),Noraxon MyoMotion-Verlaufskurven-Acromion LT-y (mm),Noraxon MyoMotion-Verlaufskurven-Acromion LT-z (mm),Noraxon MyoMotion-Verlaufskurven-Acromion RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Acromion RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Acromion RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder LT-x (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder LT-y (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder LT-z (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Medial humeral epicondyle RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Medial humeral epicondyle RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Medial humeral epicondyle RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Lateral humeral epicondyle RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Lateral humeral epicondyle RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Lateral humeral epicondyle RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Elbow RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Elbow RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Elbow RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Radial styloid process RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Radial styloid process RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Radial styloid process RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Ulnar styloid process RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Ulnar styloid process RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Ulnar styloid process RT-z (mm)
-1.225,Aktivität,,0,0.255357096,-0.6595675669,-0.6563764921,0.2625514785,897.4609375,-25.390625,438.4765625,-0.5985524378,-5.320084082,-0.8434294474,-42.96580424,-0.02711485173,0.6371474236,0.5129998842,-0.4899906367,-0.5072215951,0.4893531938,1012.695313,46.875,-40.0390625,6.991404341,-7.055676801,1014.521328,-90.28697888,-0.3735373508,-2.341364169,0.686967649,-0.1951969469,-0.2293694123,0.6613344644,988.28125,-186.5234375,-59.5703125,7.233044793,12.5327628,1007.387739,-145.0098941,-1.149017696,-3.265865798,2.912037755,-47.33668369,1.496490989,2.499230462,2.375811318,-0.5333358689,0.8076476836,584.197827,28.13546433,-27.82506882,900.2388523,50.24687478,-49.04627433,733.3222792,-18.48730222,21.75189578,870.8074942,-81.88941461,-94.54325422,872.2247267,102.0138948,76.74245955,869.4299086,-88.04641579,-90.74738197,856.676578,98.4111062,82.91730004,853.842943,97.5786854,88.42008681,669.0050612,94.07436168,117.322387,669.9915445,98.21446001,102.7691245,669.3549144,70.05960186,103.3876995,529.1279219,88.94370066,91.28781087,529.7678632
-1.215,,,0,0.2553426939,-0.6596001615,-0.6563426289,0.262568256,897.4609375,-31.73828125,443.359375,6.952244716,-3.984774572,1.47230421,-42.96604488,-0.03119920682,0.641470579,0.5128033564,-0.490144894,-0.5073822929,0.4892380907,1005.859375,40.52734375,-36.1328125,4.829302649,0.02051053438,1007.312169,-90.25120155,-0.3677611556,-2.337194146,0.6868434064,-0.1955338188,-0.2297786805,0.6612219134,989.2578125,-185.546875,-61.5234375,7.548400523,10.44224933,1008.304407,-144.9465033,-1.144540896,-3.271810627,2.912408544,-47.30054711,1.500257303,2.497407882,2.376117364,-0.5340308241,0.8084263347,584.1974347,28.13546071,-27.81961488,900.2403985,50.24682578,-49.0462162,733.3226878,-18.48770723,21.75410666,870.804214,-81.88932622,-94.54115974,872.2339137,102.0132517,76.74502885,869.4201332,-88.04644625,-90.74692376,856.6854127,98.41033419,82.91823967,853.8325519,97.56171928,88.40854487,668.9967525,94.07587323,117.3130232,669.984884,98.20664514,102.7571633,669.3470538,70.03427975,103.4063145,529.1238075,88.90508801,91.28558228,529.7613525
-1.205,,,0,0.2553282912,-0.6596327544,-0.6563087639,0.2625850327,895.9960938,-32.2265625,440.9179688,6.239661849,-2.283213139,-0.8943699137,-42.96628582,-0.03528354367,0.6457937521,0.5126067767,-0.4902991014,-0.507542939,0.4891229382,1003.417969,33.69140625,-35.64453125,0.01827964263,4.99145033,1004.603578,-90.21542385,-0.3619875625,-2.333020517,0.686718952,-0.1958706289,-0.2301878757,0.6611091586,981.4453125,-193.359375,-60.546875,-0.08350327228,15.11981357,1002.027972,-144.8831133,-1.140057535,-3.277750437,2.912787141,-47.26441106,1.504027511,2.495585113,2.376425513,-0.5347246202,0.8092060514,584.1970426,28.13546427,-27.81415775,900.2419452,50.24677819,-49.04615744,733.3230966,-18.48810509,21.75632022,870.8009344,-81.8892306,-94.53906128,872.2431014,102.0126158,76.74760016,869.4103584,-88.04646947,-90.74646161,856.6942482,98.40956929,82.91918124,853.8221616,97.54474798,88.39701473,668.9884461,94.07738172,117.3036593,669.9782253,98.19882514,102.745208,669.3391953,70.00898688,103.4249546,529.1196973,88.86648135,91.2833936,529.754848
-1.195,,,0,0.2553138877,-0.6596653455,-0.6562748972,0.2626018088,900.8789063,-26.3671875,443.8476563,2.311840856,-6.558604816,4.60460598,-42.96652708,-0.03936786227,0.6501169428,0.512410145,-0.490453259,-0.5077035336,0.4890077361,1003.90625,23.92578125,-41.015625,-10.84979524,7.421541317,1004.942628,-90.17964578,-0.3562165729,-2.328843283,0.6865942858,-0.1962073772,-0.2305969979,0.6609962,990.7226563,-192.8710938,-63.96484375,0.8606582186,11.84544737,1011.276958,-144.8197242,-1.135567616,-3.283685223,2.91317356,-47.22827553,1.507801614,2.493762157,2.376735768,-0.5354172821,0.8099868367,584.1966507,28.13547485,-27.80869742,900.2434922,50.24673199,-49.04609805,733.3235055,-18.48849595,21.75853648,870.7976556,-81.88912789,-94.53695882,872.2522899,102.0119869,76.7501735,869.4005844,-88.0464856,-90.7459955,856.7030847,98.40881134,82.92012477,853.8117722,97.52777139,88.38549643,668.9801419,94.07888707,117.2942955,669.9715685,98.19099991,102.7332586,669.3313389,69.9837232,103.4436198,529.1155913,88.82788063,91.28124483,529.7483495
-1.185,,,0,0.2552940073,-0.6597018782,-0.6562392157,0.2626185322,901.3671875,-21.97265625,443.8476563,-0.9351050071,-9.31465183,4.917264815,-42.96629038,-0.04372794615,0.6550197894,0.5121930949,-0.4906154461,-0.5078825959,0.4888864759,1008.789063,31.73828125,-41.015625,-4.633375885,2.695503702,1010.107043,-90.14086223,-0.3489658201,-2.324448768,0.6864590269,-0.1965816847,-0.2310516416,0.6608666919,986.328125,-191.40625,-62.98828125,1.905014106,12.18108727,1006.62557,-144.7492406,-1.131132774,-3.290447475,2.91360732,-47.18959261,1.512625045,2.491351821,2.376008744,-0.5362210069,0.8109389,584.1962344,28.13556163,-27.80277857,900.2451518,50.24665331,-49.04606164,733.3239429,-18.48851793,21.7612935,870.7941657,-81.8896218,-94.53376932,872.26274,102.0121805,76.75226553,869.3895295,-88.04713079,-90.74455292,856.713169,98.40886316,82.92045463,853.8000528,97.50672728,88.37313757,668.9707547,94.0778963,117.2842481,669.9643327,98.17988388,102.7204211,669.3226142,69.95373069,103.46622,529.1109225,88.78302956,91.28071357,529.7409654
-1.175,,,0,0.2552672608,-0.6597421348,-0.6562029205,0.262634096,895.5078125,-36.1328125,444.8242188,11.82289271,-1.770119832,0.4826304629,-42.9653578,-0.04824978888,0.6604813227,0.5119598241,-0.4907796994,-0.5080746484,0.4887663826,1008.300781,30.76171875,-37.109375,-2.5996001,6.507722911,1009.42793,-90.10038723,-0.3400610231,-2.319685572,0.6863170673,-0.1969835262,-0.2315395544,0.6607237005,989.7460938,-189.9414063,-72.265625,-0.1396706372,3.181367357,1010.389651,-144.6735513,-1.126923236,-3.297866607,2.913820004,-47.1498922,1.518443367,2.488064842,2.373860103,-0.5371319668,0.8120377782,584.1958021,28.1357381,-27.79653168,900.2468835,50.2465301,-49.04606191,733.3243976,-18.48800112,21.76468832,870.7905594,-81.8909832,-94.52915652,872.2744173,102.013574,76.75351688,869.3772514,-88.04867846,-90.74174767,856.7244797,98.41010872,82.91985174,853.7870753,97.48122854,88.35927939,668.9603002,94.07335769,117.2727774,669.9565136,98.16476053,102.7060508,669.3130381,69.91887115,103.4912945,529.1055777,88.73218046,91.28096324,529.732652
-1.165,,,0,0.2552316688,-0.6597862474,-0.6561669999,0.2626476179,897.4609375,-26.85546875,437.5,0.07942786092,-2.690841371,-1.222570537,-42.96347985,-0.05283783022,0.6665586442,0.5117135015,-0.4909406116,-0.5082733664,0.4886561095,997.5585938,21.484375,-36.62109375,-9.053570674,12.23432018,998.3457242,-90.05957617,-0.3292682466,-2.314180959,0.6861718001,-0.1974020441,-0.2320474894,0.660571462,986.8164063,-194.3359375,-71.77734375,-4.065280443,5.70383236,1008.303527,-144.5947065,-1.122989684,-3.305717406,2.913392369,-47.1107757,1.52510108,2.483493736,2.369876487,-0.5381449452,0.8132404205,584.1953585,28.13604968,-27.79003022,900.2486554,50.24634854,-49.04611354,733.3248605,-18.48673934,21.76886641,870.7869187,-81.89350957,-94.522699,872.2874592,102.0166105,76.75354843,869.3636368,-88.05143869,-90.73712309,856.7371678,98.41298863,82.91796111,853.7727368,97.45074295,88.34255366,668.9486607,94.06405706,117.2584362,669.9479037,98.14475977,102.6887956,669.3024592,69.87878732,103.5162762,529.099284,88.67540381,91.28010349,529.7232253
-1.155,,,0,0.2551844869,-0.6598346205,-0.6561322914,0.2626586519,896.9726563,-31.25,437.9882813,3.720397656,-0.04083734059,-1.322674711,-42.96037872,-0.05739305015,0.6734119662,0.511455644,-0.4910935123,-0.508472101,0.4885656648,1004.882813,22.4609375,-32.71484375,-5.528737083,15.20630216,1005.535888,-90.01974634,-0.3162414947,-2.307329228,0.686025688,-0.1978262901,-0.2325622924,0.660415244,978.515625,-211.4257813,-78.125,-23.24704043,8.262534533,1003.836894,-144.5147637,-1.119227995,-3.313740584,2.911739139,-47.07383313,1.532344421,2.477093036,2.363597179,-0.5392544664,0.8144842073,584.1949072,28.13660905,-27.78328624,900.2504367,50.24609439,-49.04623147,733.3253224,-18.4844746,21.77402302,870.7833317,-81.89750204,-94.51389213,872.3022325,102.0218098,76.7519692,869.34835,-88.05574451,-90.73015458,856.7516178,98.41800222,82.91439926,853.7567091,97.41443922,88.32084767,668.9355586,94.04850445,117.2390402,669.9380627,98.11872403,102.6665603,669.2905271,69.83267652,103.5374909,529.0915962,88.61233028,91.275138,529.7123399
-1.145,,,0,0.2551220665,-0.6598878258,-0.6560996042,0.2626672761,901.8554688,-31.73828125,432.6171875,-0.7208632072,5.47516351,0.7385966736,-42.95574367,-0.06178909544,0.6813149432,0.5111857725,-0.4912344348,-0.5086642427,0.488506422,1000,23.92578125,-32.2265625,-3.824919364,14.40102452,1000.694246,-89.98213962,-0.3004792312,-2.298294326,0.6858799277,-0.1982456856,-0.2330716856,0.6602612834,979.4921875,-205.078125,-82.51953125,-19.40026712,1.440735672,1003.938748,-144.4356823,-1.115347349,-3.321661362,2.908096403,-47.04061035,1.539828008,2.468159976,2.354501596,-0.5404562622,0.8156860781,584.194454,28.13762031,-27.77625876,900.2521901,50.24575355,-49.04643093,733.3257719,-18.48088125,21.78040377,870.7799128,-81.90325808,-94.50214238,872.3193596,102.029788,76.74836738,869.3308129,-88.0619507,-90.72024066,856.7684766,98.42572102,82.9087484,853.7384224,97.37106368,88.29130534,668.9205529,94.02482977,117.2116712,669.9263121,98.08509417,102.6365073,669.276687,69.77909277,103.5501729,529.0819073,88.5419309,91.26194627,529.6994915
-1.135,,,0,0.2550397358,-0.6599465526,-0.6560698496,0.2626740057,897.4609375,-32.71484375,439.453125,5.503151335,0.377213225,-0.2025117816,-42.9492131,-0.06585797932,0.6906517317,0.5109013134,-0.4913600079,-0.5088434259,0.4884911038,998.5351563,22.4609375,-52.24609375,-17.5122885,0.2111089097,999.9999407,-89.94791025,-0.2813015643,-2.286023084,0.6857342561,-0.1986500258,-0.2335645193,0.6601168932,980.9570313,-202.1484375,-90.8203125,-20.13558203,-7.43317042,1005.449314,-144.3593026,-1.110840257,-3.329200669,2.901518715,-47.01261515,1.547125552,2.455823563,2.342013244,-0.5417482457,0.8167428585,584.1940079,28.13938268,-27.76886863,900.2538663,50.24531111,-49.04672856,733.3261937,-18.47555062,21.78831092,870.7768147,-81.91109206,-94.48674122,872.3397127,102.0412897,76.74227885,869.310213,-88.07045533,-90.70667143,856.7886499,98.43682064,82.90052947,853.7170739,97.31888938,88.25035142,668.9030564,93.99073716,117.1727016,669.9117453,98.04186119,102.5950806,669.2601924,69.71583135,103.548457,529.0694742,88.46239724,91.23526916,529.684038
