"type","begin_time","frequency","count","created with version","exported with version","project","last_name","first_name","born","sex","measurement_date","record_name"
"record","-1.370","100","2000","Noraxon MR3 3.16.08","3.16.08","Project 1","MyoMetrics Demo Record","","","male","2020-06-25T15:03:36.372Z","EXGAVINE flexion_statisch_gebeugt_-2"

time,Activity,Marker,Noraxon MyoMotion-Analogs-Noraxon MyoMotion.Sync (An),Noraxon MyoMotion-Segmente-Oberer Thorax-Orientierung-x,Noraxon MyoMotion-Segmente-Oberer Thorax-Orientierung-y,Noraxon MyoMotion-Segmente-Oberer Thorax-Orientierung-z,Noraxon MyoMotion-Segmente-Oberer Thorax-Orientierung-w,Noraxon MyoMotion-Segmente-Oberer Thorax-Sensor-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Sensor-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Sensor-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Scheren (Grad),Noraxon MyoMotion-Segmente-Oberer Thorax-Neigen (Grad),Noraxon MyoMotion-Segmente-Oberer Thorax-Rollen (Grad),Noraxon MyoMotion-Segmente-Oberarm RT-Orientierung-x,Noraxon MyoMotion-Segmente-Oberarm RT-Orientierung-y,Noraxon MyoMotion-Segmente-Oberarm RT-Orientierung-z,Noraxon MyoMotion-Segmente-Oberarm RT-Orientierung-w,Noraxon MyoMotion-Segmente-Oberarm RT-Sensor-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Sensor-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Sensor-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Scheren (Grad),Noraxon MyoMotion-Segmente-Oberarm RT-Neigen (Grad),Noraxon MyoMotion-Segmente-Oberarm RT-Rollen (Grad),Noraxon MyoMotion-Segmente-Unterarm RT-Orientierung-x,Noraxon MyoMotion-Segmente-Unterarm RT-Orientierung-y,Noraxon MyoMotion-Segmente-Unterarm RT-Orientierung-z,Noraxon MyoMotion-Segmente-Unterarm RT-Orientierung-w,Noraxon MyoMotion-Segmente-Unterarm RT-Sensor-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Sensor-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Sensor-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Scheren (Grad),Noraxon MyoMotion-Segmente-Unterarm RT-Neigen (Grad),Noraxon MyoMotion-Segmente-Unterarm RT-Rollen (Grad),Noraxon MyoMotion-Gelenke-Schulter RT-Total Flexion (Grad),Noraxon MyoMotion-Gelenke-Schulter RT-Rotation Ext (Grad),Noraxon MyoMotion-Gelenke-Schulter RT-Flexion (Grad),Noraxon MyoMotion-Gelenke-Schulter RT-Abduktion (Grad),Noraxon MyoMotion-Gelenke-Ellbogen RT-Flexion (Grad),Noraxon MyoMotion-Verlaufskurven-Body center of mass-x (mm),Noraxon MyoMotion-Verlaufskurven-Body center of mass-y (mm),Noraxon MyoMotion-Verlaufskurven-Body center of mass-z (mm),Noraxon MyoMotion-Verlaufskurven-7th cervical vertebrae-x (mm),Noraxon MyoMotion-Verlaufskurven-7th cervical vertebrae-y (mm),Noraxon MyoMotion-Verlaufskurven-7th cervical vertebrae-z (mm),Noraxon MyoMotion-Verlaufskurven-10th thoracic vertebrae-x (mm),Noraxon MyoMotion-Verlaufskurven-10th thoracic vertebrae-y (mm),Noraxon MyoMotion-Verlaufskurven-10th thoracic vertebrae-z (mm),Noraxon MyoMotion-Verlaufskurven-Jugular notch-x (mm),Noraxon MyoMotion-Verlaufskurven-Jugular notch-y (mm),Noraxon MyoMotion-Verlaufskurven-Jugular notch-z (mm),Noraxon MyoMotion-Verlaufskurven-Acromion LT-x (mm),Noraxon MyoMotion-Verlaufskurven-Acromion LT-y (mm),Noraxon MyoMotion-Verlaufskurven-Acromion LT-z (mm),Noraxon MyoMotion-Verlaufskurven-Acromion RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Acromion RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Acromion RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder LT-x (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder LT-y (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder LT-z (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Medial humeral epicondyle RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Medial humeral epicondyle RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Medial humeral epicondyle RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Lateral humeral epicondyle RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Lateral humeral epicondyle RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Lateral humeral epicondyle RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Elbow RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Elbow RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Elbow RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Radial styloid process RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Radial styloid process RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Radial styloid process RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Ulnar styloid process RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Ulnar styloid process RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Ulnar styloid process RT-z (mm)
-1.365,Aktivität,,0,0.2969381122,-0.6632469973,-0.6365400473,0.2583562392,875.4882813,-71.77734375,487.3046875,-2.192617257,-2.591269298,4.532754018,-46.20928344,-3.218141864,-2.027191417,0.5248205984,-0.4736462809,-0.4480607435,0.5472331407,996.5820313,102.0507813,-97.65625,18.33879662,5.039710806,1006.36233,-98.62425234,0.02550122042,2.756237828,0.6640848905,-0.2606843402,-0.2333021414,0.6607609582,995.6054688,-91.796875,-91.796875,2.175354125,-5.319184724,1004.017209,-139.1205151,-1.027376056,1.985167854,3.872796343,-52.44479981,1.050629521,-3.728397446,-2.096779133,-1.413335359,-0.1208419212,583.8421438,24.93690587,-26.75460329,901.4481531,50.39718454,-48.82183717,733.6512202,-22.21208051,19.88571697,868.2907071,-78.75076204,-99.88665619,866.2039785,94.70741976,81.77374403,875.0804702,-83.97566414,-96.53133821,850.2194711,91.89165907,87.65212312,859.2192474,92.8285936,74.52978807,671.6747924,85.16728149,102.6298781,671.1403484,91.3800549,88.82098202,671.3832418,73.06349689,83.71707403,529.5323733,90.46911844,69.8154183,532.2183227
-1.355,,,0,0.2969280758,-0.6632654212,-0.6365181346,0.258374463,868.6523438,-77.63671875,484.8632813,2.897233052,1.529601975,-2.16934189,-46.21006334,-3.220262778,-2.023779898,0.524818885,-0.4736577954,-0.4480664904,0.547220112,1000.488281,96.19140625,-104.4921875,9.673123934,2.946144494,1010.468186,-98.62243765,0.02445737031,2.755994777,0.6640784461,-0.2606652116,-0.2333083921,0.6607727741,1000.488281,-86.42578125,-89.35546875,8.508325124,-6.219293948,1008.126751,-139.1215957,-1.025252124,1.983766662,3.869144795,-52.44218715,1.052382701,-3.724110221,-2.093251222,-1.413191756,-0.1201712805,583.8419536,24.93788313,-26.75055959,901.4488937,50.39725207,-48.82170447,733.6514235,-22.21206022,19.88700413,868.2889313,-78.74954194,-99.88609226,866.211226,94.70690241,81.77669684,875.0727673,-83.97470895,-96.53192337,850.226564,91.89085268,87.65396002,859.2111823,92.83114007,74.5334303,671.6700982,85.17081166,102.6337866,671.1355559,91.38310092,88.824672,671.3784068,73.06054402,83.71869376,529.5284864,90.46654866,69.81740625,532.2138589
-1.345,,,0,0.2969180389,-0.6632838443,-0.6364962212,0.2583926866,866.2109375,-82.03125,481.4453125,4.78878484,6.384089631,-5.627628054,-46.21084337,-3.222383645,-2.020368342,0.5248171714,-0.4736693098,-0.4480722371,0.5472070832,990.7226563,92.7734375,-110.8398438,3.598327616,-2.012639194,1001.202659,-98.62062295,0.0234135279,2.755751692,0.6640720014,-0.2606460828,-0.2333146427,0.6607845897,997.0703125,-85.44921875,-86.42578125,10.60083381,-4.433378966,1004.384468,-139.1226765,-1.023128218,1.982365431,3.865495317,-52.43957443,1.054135775,-3.719822989,-2.08972334,-1.413048143,-0.1195006611,583.8417635,24.93886043,-26.74651585,901.4496344,50.39731961,-48.82157177,733.6516269,-22.2120399,19.88829116,868.2871557,-78.74832165,-99.88552784,866.2184738,94.706385,81.7796491,875.0650647,-83.97375356,-96.53250805,850.2336573,91.89004624,87.65579635,859.2031175,92.83368658,74.53707224,671.6654043,85.17434187,102.6376948,671.1307634,91.38614698,88.82836167,671.3735719,73.05759126,83.72031308,529.5245999,90.46397897,69.81939378,532.2093955
-1.335,,,0,0.2969080017,-0.6633022666,-0.6364743069,0.2584109098,864.7460938,-81.54296875,480.46875,4.444749477,6.21607185,-7.414040605,-46.21162352,-3.224504467,-2.016956751,0.5248154576,-0.473680824,-0.4480779837,0.5471940541,984.8632813,95.703125,-115.7226563,3.607507991,-8.482809888,996.2035595,-98.61880824,0.02236969317,2.755508575,0.6640655563,-0.2606269539,-0.2333208931,0.6607964049,996.09375,-82.03125,-89.84375,11.4603087,-9.068579905,1003.389359,-139.1237572,-1.021004339,1.980964162,3.861847915,-52.43696165,1.055888744,-3.715535749,-2.086195489,-1.412904521,-0.1188300631,583.8415734,24.93983779,-26.74247207,901.4503751,50.39738716,-48.82143907,733.6518303,-22.21201953,19.88957805,868.2853804,-78.74710119,-99.88496293,866.2257218,94.70586753,81.78260082,875.0573621,-83.97279799,-96.53309226,850.2407509,91.88923974,87.65763209,859.1950529,92.83623314,74.54071389,671.6607106,85.17787213,102.6416027,671.125971,91.38919308,88.83205104,671.3687372,73.05463862,83.72193198,529.5207139,90.46140935,69.82138089,532.2049325
-1.325,,,0,0.2968962483,-0.6633219969,-0.6364519923,0.2584287286,874.0234375,-76.66015625,487.3046875,1.697684483,1.10813155,3.621192097,-46.21221948,-3.226707596,-2.01339819,0.52481358,-0.4736945418,-0.4480857654,0.5471776076,987.7929688,91.30859375,-107.9101563,3.962797083,0.7244821453,997.8479752,-98.6165491,0.02110632079,2.755103932,0.6640572616,-0.2606046683,-0.2333312866,0.6608098598,997.0703125,-83.984375,-87.890625,10.97045976,-6.383331955,1004.37356,-139.124745,-1.018410459,1.979106353,3.857831956,-52.4340771,1.05772578,-3.710839141,-2.08179906,-1.412741631,-0.1180941924,583.8413777,24.94081136,-26.73831467,901.4511441,50.39744293,-48.82131711,733.652042,-22.21187056,19.89104257,868.2835356,-78.74615609,-99.88403556,866.2332824,94.70569157,81.78535599,875.0493282,-83.97211825,-96.53334189,850.2481516,91.88878285,87.65923564,859.1866424,92.83952425,74.54490847,671.6557917,85.18238928,102.6461304,671.121001,91.39310676,88.83630571,671.3636754,73.05092159,83.72400099,529.5168414,90.45808529,69.82379498,532.2002985
-1.315,,,0,0.2968830371,-0.6633425873,-0.6364300691,0.258445045,874.0234375,-70.80078125,485.3515625,-3.420077704,-1.902613678,2.237767337,-46.21255458,-3.228942476,-2.009835387,0.5248116341,-0.4737100831,-0.4480955778,0.5471579836,994.140625,93.26171875,-102.5390625,8.364701704,5.24855126,1003.708162,-98.61388614,0.01965312793,2.754522261,0.6640473016,-0.2605791046,-0.2333464787,0.6608245852,993.1640625,-90.33203125,-92.7734375,2.615577765,-6.964547212,1001.541959,-139.1255938,-1.015367412,1.976716897,3.853587914,-52.43103741,1.059623334,-3.705885521,-2.076529624,-1.412571763,-0.1173082911,583.841181,24.94170231,-26.73419753,901.4519241,50.39748059,-48.82121413,733.6522572,-22.21158005,19.89266714,868.2816653,-78.74561471,-99.88269058,866.2408501,94.7059369,81.78774063,875.0412825,-83.97182135,-96.53315709,850.255556,91.88877959,87.66047455,859.1782166,92.84350969,74.54957157,671.65082,85.18782473,102.6511893,671.1160654,91.39782843,88.84104071,671.3585768,73.04626958,83.72661095,529.5131814,90.45382733,69.82671023,532.1956636
-1.305,,,0,0.2968688356,-0.6633635806,-0.6364091588,0.2584589658,872.0703125,-73.2421875,491.6992188,3.010172385,-4.407839693,3.798126868,-46.21258867,-3.231171355,-2.006405247,0.5248093266,-0.4737270742,-0.4481077189,0.5471355427,986.328125,87.40234375,-114.7460938,-2.992644596,-3.150073302,996.8099754,-98.61082578,0.01808597419,2.753756809,0.6640359906,-0.2605504697,-0.2333669396,0.6608400165,993.1640625,-85.9375,-81.54296875,12.35974166,0.02438878707,1000.128292,-139.1262457,-1.011935502,1.973750448,3.84930322,-52.42789044,1.061594018,-3.700865984,-2.070478598,-1.412414184,-0.11648953,583.8409862,24.94243533,-26.73025252,901.4527027,50.39749618,-48.82113541,733.6524727,-22.21115794,19.89441884,868.2798029,-78.74555242,-99.88092448,866.2481309,94.70662069,81.78964093,875.0335307,-83.97196201,-96.53249655,850.2626716,91.88926906,87.66127115,859.1700908,92.84794716,74.55460039,671.6459596,85.1939314,102.6566759,671.1113666,91.40311334,88.84615336,671.3536249,73.04044638,83.72986472,529.5099066,90.44838512,69.83020864,532.1911837
-1.295,,,0,0.29685425,-0.6633845595,-0.6363896173,0.2584699893,870.1171875,-72.75390625,485.8398438,-0.1413928186,-1.649398806,-0.7829744624,-46.21232882,-3.233372033,-2.003214814,0.5248056703,-0.4737453677,-0.4481229909,0.5471107018,983.3984375,95.21484375,-104.0039063,9.351285106,1.442088759,993.4111131,-98.60729436,0.01653957339,2.752823438,0.6640237136,-0.2605196341,-0.2333928805,0.6608553483,995.1171875,-83.0078125,-89.84375,10.67922747,-8.465427379,1002.514191,-139.1266089,-1.008225361,1.970222619,3.84520942,-52.42455986,1.063687771,-3.696006989,-2.063874816,-1.412293309,-0.1156566528,583.8407947,24.94295554,-26.72656809,901.4534725,50.39748914,-48.82108206,733.6526866,-22.2106363,19.89625201,868.2779689,-78.7459718,-99.87879267,866.2548948,94.7076899,81.79102716,875.0263114,-83.97252743,-96.53139108,850.2692683,91.8902129,87.6616207,859.1625101,92.85235505,74.55983846,671.6413406,85.20025747,102.6624423,671.1070604,91.40849507,88.85148904,671.3489663,73.033188,83.73382007,529.5071231,90.44146831,69.8343165,532.1869729
-1.285,,,0,0.2968397759,-0.6634052613,-0.6363715036,0.2584780767,870.1171875,-76.66015625,482.9101563,0.7515978796,3.060711634,-1.91534142,-46.2118143,-3.235538248,-2.000313055,0.5247988373,-0.4737652042,-0.4481427709,0.547083877,991.2109375,101.5625,-102.0507813,15.61643388,0.7843871658,1001.490858,-98.60311319,0.01520763125,2.751770896,0.6640108325,-0.2604883051,-0.233424257,0.6608695586,990.7226563,-92.28515625,-92.28515625,1.338106437,-5.514191378,999.265873,-139.126542,-1.004394061,1.966226073,3.841559602,-52.42083588,1.06598443,-3.691548884,-2.05709231,-1.412233637,-0.1148267891,583.8406062,24.9432437,-26.72317303,901.4542318,50.3974616,-48.82105184,733.6528984,-22.2100516,19.89812622,868.2761695,-78.74682049,-99.87637574,866.2610364,94.70905919,81.79194008,875.0197336,-83.97345953,-96.52991403,850.2752403,91.89152959,87.66157284,859.1555861,92.85603813,74.56504023,671.6370261,85.20618392,102.6682637,671.1032153,91.41331718,88.8568063,671.3446746,73.02425687,83.73842642,529.5048324,90.43279649,69.83893704,532.1830708
-1.275,,,0,0.2968254183,-0.663425682,-0.6363546883,0.2584835511,870.6054688,-77.63671875,488.28125,4.51427507,0.6892626677,1.188827172,-46.21107463,-3.237669756,-1.997671467,0.5247862464,-0.4737871146,-0.4481688996,0.5470555759,990.7226563,95.703125,-104.9804688,9.168000745,1.518770947,1000.812175,-98.59802088,0.01434293067,2.750681999,0.6639976089,-0.2604589061,-0.2334609536,0.6608814695,997.5585938,-87.40234375,-98.14453125,3.205152539,-12.86513182,1006.090892,-139.1258484,-1.000626129,1.961911257,3.838604762,-52.41643962,1.068581,-3.687724845,-2.050623036,-1.412254261,-0.1140111154,583.8404199,24.94332639,-26.72004017,901.4549804,50.39741593,-48.82104219,733.6531077,-22.2094115,19.90003386,868.2744043,-78.74804847,-99.87370966,866.2666172,94.71069311,81.79243154,875.0137341,-83.9747155,-96.52810961,850.2806499,91.89317527,87.66117244,859.1492545,92.85814814,74.56983998,671.6329879,85.21097531,102.6738049,671.0997913,91.41678887,88.86174527,671.3407255,73.01342989,83.74349083,529.5029159,90.4220872,69.84381484,532.1794203
