"type","begin_time","frequency","count","created with version","exported with version","project","last_name","first_name","born","sex","measurement_date","record_name"
"record","-1.200","100","2000","Noraxon MR3 3.16.08","3.16.08","Project 1","MyoMetrics Demo Record","","","male","2020-06-25T15:11:58.520Z","EXGAVINE abduktion_nn180_gestreckt_-4"

time,Activity,Marker,Noraxon MyoMotion-Analogs-Noraxon MyoMotion.Sync (An),Noraxon MyoMotion-Segmente-Oberer Thorax-Orientierung-x,Noraxon MyoMotion-Segmente-Oberer Thorax-Orientierung-y,Noraxon MyoMotion-Segmente-Oberer Thorax-Orientierung-z,Noraxon MyoMotion-Segmente-Oberer Thorax-Orientierung-w,Noraxon MyoMotion-Segmente-Oberer Thorax-Sensor-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Sensor-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Sensor-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Scheren (Grad),Noraxon MyoMotion-Segmente-Oberer Thorax-Neigen (Grad),Noraxon MyoMotion-Segmente-Oberer Thorax-Rollen (Grad),Noraxon MyoMotion-Segmente-Oberarm RT-Orientierung-x,Noraxon MyoMotion-Segmente-Oberarm RT-Orientierung-y,Noraxon MyoMotion-Segmente-Oberarm RT-Orientierung-z,Noraxon MyoMotion-Segmente-Oberarm RT-Orientierung-w,Noraxon MyoMotion-Segmente-Oberarm RT-Sensor-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Sensor-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Sensor-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Scheren (Grad),Noraxon MyoMotion-Segmente-Oberarm RT-Neigen (Grad),Noraxon MyoMotion-Segmente-Oberarm RT-Rollen (Grad),Noraxon MyoMotion-Segmente-Unterarm RT-Orientierung-x,Noraxon MyoMotion-Segmente-Unterarm RT-Orientierung-y,Noraxon MyoMotion-Segmente-Unterarm RT-Orientierung-z,Noraxon MyoMotion-Segmente-Unterarm RT-Orientierung-w,Noraxon MyoMotion-Segmente-Unterarm RT-Sensor-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Sensor-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Sensor-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Scheren (Grad),Noraxon MyoMotion-Segmente-Unterarm RT-Neigen (Grad),Noraxon MyoMotion-Segmente-Unterarm RT-Rollen (Grad),Noraxon MyoMotion-Gelenke-Schulter RT-Total Flexion (Grad),Noraxon MyoMotion-Gelenke-Schulter RT-Rotation Ext (Grad),Noraxon MyoMotion-Gelenke-Schulter RT-Flexion (Grad),Noraxon MyoMotion-Gelenke-Schulter RT-Abduktion (Grad),Noraxon MyoMotion-Gelenke-Ellbogen RT-Flexion (Grad),Noraxon MyoMotion-Verlaufskurven-Body center of mass-x (mm),Noraxon MyoMotion-Verlaufskurven-Body center of mass-y (mm),Noraxon MyoMotion-Verlaufskurven-Body center of mass-z (mm),Noraxon MyoMotion-Verlaufskurven-7th cervical vertebrae-x (mm),Noraxon MyoMotion-Verlaufskurven-7th cervical vertebrae-y (mm),Noraxon MyoMotion-Verlaufskurven-7th cervical vertebrae-z (mm),Noraxon MyoMotion-Verlaufskurven-10th thoracic vertebrae-x (mm),Noraxon MyoMotion-Verlaufskurven-10th thoracic vertebrae-y (mm),Noraxon MyoMotion-Verlaufskurven-10th thoracic vertebrae-z (mm),Noraxon MyoMotion-Verlaufskurven-Jugular notch-x (mm),Noraxon MyoMotion-Verlaufskurven-Jugular notch-y (mm),Noraxon MyoMotion-Verlaufskurven-Jugular notch-z (mm),Noraxon MyoMotion-Verlaufskurven-Acromion LT-x (mm),Noraxon MyoMotion-Verlaufskurven-Acromion LT-y (mm),Noraxon MyoMotion-Verlaufskurven-Acromion LT-z (mm),Noraxon MyoMotion-Verlaufskurven-Acromion RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Acromion RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Acromion RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder LT-x (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder LT-y (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder LT-z (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Medial humeral epicondyle RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Medial humeral epicondyle RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Medial humeral epicondyle RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Lateral humeral epicondyle RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Lateral humeral epicondyle RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Lateral humeral epicondyle RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Elbow RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Elbow RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Elbow RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Radial styloid process RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Radial styloid process RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Radial styloid process RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Ulnar styloid process RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Ulnar styloid process RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Ulnar styloid process RT-z (mm)
-1.195,Aktivität,,0,0.2618569042,-0.7122885484,-0.5959756537,0.2624671518,844.7265625,-10.25390625,527.8320313,-0.09063197637,0.6973613109,996.1296435,-43.95346935,-8.734037751,3.583831244,0.4789379372,-0.5481061252,-0.5198164484,0.4472012834,984.375,114.2578125,-99.12109375,2.291012572,-4.221788052,995.9171187,-81.85274009,-3.417068284,-0.4415147453,0.6616922683,-0.2382002502,-0.2940292976,0.647279503,978.515625,-174.8046875,-98.14453125,3.892186408,-0.3628997239,-1.167393732,-135.7716978,0.6215548377,-4.631924128,8.724353599,-37.9233472,6.336790792,6.045565213,7.5258881,-1.148640876,1.741224831,583.3433768,23.73630454,-20.11059848,903.3236576,47.50397435,-51.48747353,734.2214361,-21.19097578,23.84076132,863.9843634,-83.57231697,-92.15689908,878.1091419,98.66340494,80.22654077,862.5809332,-88.69043463,-90.75985786,861.8022298,96.07633898,84.01779643,846.0583514,106.0148253,81.8159754,663.5847979,106.9692048,110.9194964,664.4037112,108.8293801,95.90387843,663.7601845,75.67454249,100.2922011,524.8492404,92.3866928,85.32142535,524.9261932
-1.185,,,0,0.2617932914,-0.7122559685,-0.5960327088,0.2624894625,846.1914063,-8.30078125,532.2265625,0.9618033719,-2.730160755,999.6827166,-43.94958334,-8.724795178,3.587263746,0.4789635475,-0.5483519373,-0.5197102884,0.4469958492,993.1640625,113.7695313,-100.5859375,0.9660425299,-3.604792516,1004.699937,-81.83429956,-3.450825087,-0.4375339037,0.6617203048,-0.2381756985,-0.2940471137,0.6472517824,980.9570313,-171.875,-88.8671875,11.84865078,5.500843216,-0.2278059495,-135.7721221,0.6186431279,-4.636811089,8.710374474,-37.90667465,6.297779938,6.065865513,7.562627105,-1.142669055,1.739776998,583.3446158,23.74466125,-20.11614449,903.3206809,47.50387427,-51.48783499,734.2204954,-21.18531892,23.84162251,863.9916304,-83.57339841,-92.15229942,878.1173491,98.67318034,80.21828896,862.5739023,-88.69392935,-90.75364087,861.8113332,96.08385188,84.01098346,846.0520051,106.1277108,81.77922803,663.5864085,107.0924468,110.8823688,664.406699,108.9472755,95.86612132,663.7624285,75.78827709,100.2677868,524.8538731,92.5005264,85.29711208,524.9289611
-1.175,,,0,0.2617296762,-0.7122233824,-0.5960897587,0.2625117708,845.703125,-14.6484375,523.4375,0.5281691476,6.699549205,994.6708027,-43.94569687,-8.715552836,3.590696799,0.4789891024,-0.5485976859,-0.5196040693,0.4467903648,1007.8125,121.09375,-96.19140625,8.985914811,-3.683051882,1019.562753,-81.81586077,-3.484583029,-0.4335637684,0.6617483397,-0.2381511461,-0.2940649291,0.6472240601,982.9101563,-167.4804688,-91.796875,14.2644,0.6122966345,1.191740336,-135.7725462,0.6157313823,-4.641698025,8.69658898,-37.8900031,6.258763866,6.086158754,7.59937035,-1.136697709,1.738327742,583.3458574,23.75301696,-20.12169026,903.3177037,47.50377415,-51.48819641,734.2195547,-21.17966099,23.84248339,863.9988977,-83.57447834,-92.14769963,878.1255579,98.68295391,80.21003758,862.5668704,-88.69742232,-90.74742363,861.8204388,96.09136316,84.00417103,846.0456583,106.2405832,81.74244711,663.5880864,107.2156746,110.8452039,664.4097539,109.065157,95.82832896,663.7647397,75.90199658,100.2433376,524.8585744,92.61434484,85.2727641,524.9317977
-1.165,,,0,0.2616660587,-0.7121907899,-0.5961468032,0.2625340769,859.375,-6.8359375,521.484375,-11.19631658,6.901906342,1005.159231,-43.94180993,-8.706310726,3.594130404,0.4790146019,-0.5488433711,-0.5194977909,0.4465848301,1009.765625,138.1835938,-112.3046875,8.13401501,-26.28776922,1024.97632,-81.79742369,-3.518342111,-0.4296043376,0.6617763729,-0.2381265932,-0.2940827438,0.6471963363,988.28125,-174.8046875,-87.890625,11.74846359,7.940054354,7.362992658,-135.77297,0.612819601,-4.646584936,8.682998041,-37.87333252,6.219742566,6.106444959,7.636117835,-1.130726839,1.736877062,583.3471013,23.76137165,-20.12723578,903.314726,47.503674,-51.48855779,734.218614,-21.17400199,23.84334395,864.0061654,-83.57555678,-92.1430997,878.1337684,98.69272564,80.20178662,862.5598375,-88.70091352,-90.74120614,861.8295466,96.09887282,83.99735916,846.039311,106.3534426,81.70563267,663.5898316,107.3388881,110.8080018,664.412876,109.1830245,95.79050138,663.7671178,76.01570092,100.2188535,524.8633442,92.72814809,85.24838142,524.9347028
-1.155,,,0,0.2615920864,-0.7121606962,-0.5962050437,0.2625571729,857.421875,-5.37109375,523.9257813,-9.789963207,3.434596476,1004.784407,-43.93714463,-8.696854578,3.598384858,0.479024963,-0.5491405767,-0.519387041,0.4463371074,1015.136719,148.4375,-119.6289063,8.705675149,-37.48258842,1032.165971,-81.77299526,-3.556947482,-0.4245287219,0.6618055216,-0.2381120378,-0.2941106136,0.64715922,986.8164063,-180.6640625,-85.44921875,8.225764202,13.15635467,6.730817668,-135.771607,0.6091926994,-4.651787299,8.667962764,-37.85118302,6.175748055,6.129378455,7.677718779,-1.123940259,1.735325843,583.3484003,23.77032208,-20.13256485,903.3116724,47.503527,-51.48896726,734.2176523,-21.16755537,23.84484772,864.0136193,-83.57749226,-92.13677299,878.1437911,98.7041504,80.19228225,862.5510552,-88.70544786,-90.73329722,861.8405225,96.10788428,83.98921713,846.0312209,106.4820166,81.66127379,663.5912295,107.4810126,110.7631399,664.4157237,109.318155,95.7448151,663.769202,76.14739435,100.1893645,524.8678614,92.85947235,85.21847098,524.9372435
-1.145,,,0,0.2615080168,-0.7121359021,-0.5962615119,0.2625799376,853.515625,-3.41796875,532.7148438,-4.220592328,-4.819064407,1006.103709,-43.93166104,-8.687662924,3.60352996,0.4790124581,-0.5494840663,-0.5192784704,0.4460540281,1015.136719,124.0234375,-126.953125,-14.17468134,-23.89492007,1030.159977,-81.74246029,-3.598899395,-0.4180876279,0.6618326427,-0.2381133137,-0.2941510663,0.6471126279,1005.859375,-179.1992188,-106.4453125,1.817153929,-5.444473891,27.21132319,-135.7677348,0.6050091742,-4.656959727,8.651875425,-37.82358979,6.128281282,6.153895978,7.72246639,-1.116563878,1.733729996,583.3496895,23.77956827,-20.13727774,903.3086951,47.50332262,-51.48942013,734.2167183,-21.16038845,23.84716502,864.0208891,-83.58052274,-92.12839739,878.1557424,98.71721627,80.18157929,862.5403579,-88.71118168,-90.72348177,861.8534484,96.11847037,83.97968903,846.0211836,106.6212894,81.60931071,663.5918791,107.6370672,110.7105565,664.4177626,109.4655494,95.69120542,663.7705315,76.29249461,100.1543577,524.8715059,93.00354743,85.18231093,524.9389321
-1.135,,,0,0.2614148155,-0.7121185418,-0.596313783,0.2626011215,847.1679688,-8.7890625,528.8085938,-0.2277494925,-1.072338365,998.7032302,-43.92535733,-8.679147123,3.609538308,0.4789703561,-0.5498634776,-0.5191769358,0.4457497767,1001.464844,106.9335938,-99.609375,-6.697959097,5.355542948,1012.035133,-81.70659246,-3.642160611,-0.4097900385,0.6618530674,-0.2381363002,-0.294206812,0.6470579352,1001.953125,-169.921875,-106.4453125,8.564533868,-10.68482721,21.7272611,-135.7606212,0.6006563813,-4.661676166,8.634854368,-37.79146895,6.079089844,6.178354359,7.768150311,-1.108911008,1.732101818,583.3509056,23.78879625,-20.14108207,903.3059261,47.50305342,-51.48991091,734.2158539,-21.15260788,23.85039643,864.0276543,-83.58482414,-92.1178061,878.1695317,98.73182081,80.1697757,862.5277902,-88.71820419,-90.71167199,861.8681994,96.13061639,83.9687929,846.0092116,106.7644098,81.5493229,663.5913842,107.7997912,110.6498453,664.418411,109.6181581,95.62929042,663.7706195,76.44413156,100.1124741,524.8736593,93.1533128,85.13833076,524.9393108
-1.125,,,0,0.2613149782,-0.7121094737,-0.596360263,0.2626195277,842.7734375,-7.32421875,524.4140625,-2.039598295,-1.113761942,992.6355926,-43.9183482,-8.67160054,3.616215514,0.4788942104,-0.5502637268,-0.5190828169,0.4454471858,991.6992188,119.140625,-80.078125,14.73066481,8.756492725,1001.88855,-81.66733872,-3.684346352,-0.3987266814,0.6618606896,-0.2381857487,-0.2942801596,0.6469985814,1005.371094,-148.9257813,-104.4921875,27.47970115,-21.0242701,21.11281836,-135.7496788,0.5968009576,-4.66545907,8.616457971,-37.75680751,6.029869763,6.200450522,7.812294313,-1.101375847,1.730365679,583.3519922,23.79767885,-20.14386078,903.303461,47.5027211,-51.49042943,734.2150886,-21.14441725,23.8544929,864.0336827,-83.59039169,-92.1051853,878.1847118,98.74762671,80.15712112,862.5137585,-88.72641696,-90.698089,861.8842958,96.14407392,83.95674945,845.9956904,106.9031441,81.47998169,663.5894476,107.9599686,110.5797146,664.4171313,109.7672709,95.55783713,663.7690439,76.59338524,100.0608498,524.8738345,93.2996961,85.08349795,524.9380686
-1.115,,,0,0.2612131679,-0.7121078791,-0.5964002646,0.2626342968,848.1445313,-3.41796875,519.0429688,-9.769740456,1.392304528,994.3183823,-43.91094089,-8.665170715,3.623164745,0.4787823501,-0.5506665341,-0.5189900543,0.4451776645,986.328125,115.7226563,-89.84375,4.171922589,4.054600352,997.1323674,-81.62787268,-3.722968366,-0.3834144471,0.6618482594,-0.2382638055,-0.2943721256,0.6469407177,997.5585938,-148.4375,-104.4921875,26.31458641,-21.24118368,13.37644105,-135.7346742,0.5944246496,-4.667813411,8.595451564,-37.72262355,5.981950155,6.217214821,7.852454892,-1.094416179,1.728320735,583.3529041,23.80588398,-20.1457002,903.3013506,47.50234239,-51.49095639,734.214437,-21.13616703,23.8591941,864.0388501,-83.59692741,-92.09123553,878.2004037,98.76393252,80.1441267,862.4991073,-88.73542159,-90.68341899,861.900828,96.15822805,83.94410104,845.981458,107.0285046,81.39851142,663.5859435,108.1070454,110.4974514,664.4134896,109.9031401,95.47422515,663.7655108,76.7297668,99.99445789,524.8717772,93.43214846,85.01272063,524.9351287
-1.105,,,0,0.2611162515,-0.7121112171,-0.596433934,0.2626451598,859.375,0,522.9492188,-14.00584545,0.7750537536,1005.88494,-43.90366181,-8.659853965,3.629805954,0.478635752,-0.5510526853,-0.5188854007,0.4449794331,978.515625,115.234375,-84.47265625,7.123558134,6.837311266,988.8427202,-81.59239911,-3.755705191,-0.3617418187,0.6618077008,-0.2383684969,-0.294481619,0.6468938112,983.3984375,-166.015625,-102.0507813,10.82234268,-9.049360925,2.421579248,-135.7159321,0.5948585491,-4.668270954,8.56972874,-37.69272804,5.936030964,6.225144258,7.886563884,-1.088521052,1.725626619,583.3536099,23.81309683,-20.14687551,903.2995989,47.50195126,-51.49146158,734.2138982,-21.12836254,23.86401784,864.0431458,-83.60379606,-92.07720636,878.2153388,98.77964148,80.13160455,862.4850782,-88.74448128,-90.6688527,861.9165004,96.17205956,83.93174725,845.9677639,107.1315617,81.30038208,663.5809568,108.2300486,110.3986139,664.4071674,110.0158452,95.3741302,663.7598795,76.84192309,99.90569169,524.867533,93.53940261,84.9184903,524.9306984
