"type","begin_time","frequency","count","created with version","exported with version","project","last_name","first_name","born","sex","measurement_date","record_name"
"record","-1.290","100","2000","Noraxon MR3 3.16.08","3.16.08","Project 1","MyoMetrics Demo Record","","","male","2020-06-25T15:11:23.110Z","EXGAVINE abduktion_nn180_gestreckt_3"

time,Activity,Marker,Noraxon MyoMotion-Analogs-Noraxon MyoMotion.Sync (An),Noraxon MyoMotion-Segmente-Oberer Thorax-Orientierung-x,Noraxon MyoMotion-Segmente-Oberer Thorax-Orientierung-y,Noraxon MyoMotion-Segmente-Oberer Thorax-Orientierung-z,Noraxon MyoMotion-Segmente-Oberer Thorax-Orientierung-w,Noraxon MyoMotion-Segmente-Oberer Thorax-Sensor-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Sensor-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Sensor-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Scheren (Grad),Noraxon MyoMotion-Segmente-Oberer Thorax-Neigen (Grad),Noraxon MyoMotion-Segmente-Oberer Thorax-Rollen (Grad),Noraxon MyoMotion-Segmente-Oberarm RT-Orientierung-x,Noraxon MyoMotion-Segmente-Oberarm RT-Orientierung-y,Noraxon MyoMotion-Segmente-Oberarm RT-Orientierung-z,Noraxon MyoMotion-Segmente-Oberarm RT-Orientierung-w,Noraxon MyoMotion-Segmente-Oberarm RT-Sensor-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Sensor-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Sensor-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Scheren (Grad),Noraxon MyoMotion-Segmente-Oberarm RT-Neigen (Grad),Noraxon MyoMotion-Segmente-Oberarm RT-Rollen (Grad),Noraxon MyoMotion-Segmente-Unterarm RT-Orientierung-x,Noraxon MyoMotion-Segmente-Unterarm RT-Orientierung-y,Noraxon MyoMotion-Segmente-Unterarm RT-Orientierung-z,Noraxon MyoMotion-Segmente-Unterarm RT-Orientierung-w,Noraxon MyoMotion-Segmente-Unterarm RT-Sensor-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Sensor-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Sensor-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Scheren (Grad),Noraxon MyoMotion-Segmente-Unterarm RT-Neigen (Grad),Noraxon MyoMotion-Segmente-Unterarm RT-Rollen (Grad),Noraxon MyoMotion-Gelenke-Schulter RT-Total Flexion (Grad),Noraxon MyoMotion-Gelenke-Schulter RT-Rotation Ext (Grad),Noraxon MyoMotion-Gelenke-Schulter RT-Flexion (Grad),Noraxon MyoMotion-Gelenke-Schulter RT-Abduktion (Grad),Noraxon MyoMotion-Gelenke-Ellbogen RT-Flexion (Grad),Noraxon MyoMotion-Verlaufskurven-Body center of mass-x (mm),Noraxon MyoMotion-Verlaufskurven-Body center of mass-y (mm),Noraxon MyoMotion-Verlaufskurven-Body center of mass-z (mm),Noraxon MyoMotion-Verlaufskurven-7th cervical vertebrae-x (mm),Noraxon MyoMotion-Verlaufskurven-7th cervical vertebrae-y (mm),Noraxon MyoMotion-Verlaufskurven-7th cervical vertebrae-z (mm),Noraxon MyoMotion-Verlaufskurven-10th thoracic vertebrae-x (mm),Noraxon MyoMotion-Verlaufskurven-10th thoracic vertebrae-y (mm),Noraxon MyoMotion-Verlaufskurven-10th thoracic vertebrae-z (mm),Noraxon MyoMotion-Verlaufskurven-Jugular notch-x (mm),Noraxon MyoMotion-Verlaufskurven-Jugular notch-y (mm),Noraxon MyoMotion-Verlaufskurven-Jugular notch-z (mm),Noraxon MyoMotion-Verlaufskurven-Acromion LT-x (mm),Noraxon MyoMotion-Verlaufskurven-Acromion LT-y (mm),Noraxon MyoMotion-Verlaufskurven-Acromion LT-z (mm),Noraxon MyoMotion-Verlaufskurven-Acromion RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Acromion RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Acromion RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder LT-x (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder LT-y (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder LT-z (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Medial humeral epicondyle RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Medial humeral epicondyle RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Medial humeral epicondyle RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Lateral humeral epicondyle RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Lateral humeral epicondyle RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Lateral humeral epicondyle RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Elbow RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Elbow RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Elbow RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Radial styloid process RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Radial styloid process RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Radial styloid process RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Ulnar styloid process RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Ulnar styloid process RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Ulnar styloid process RT-z (mm)
-1.285,Aktivität,,0,0.259261294,-0.7102679387,-0.6016294711,0.2575752633,852.0507813,-17.578125,527.8320313,2.868135706,-3.260036897,1002.440683,-43.23023345,-8.244286077,3.12414771,0.4785037182,-0.5364730889,-0.524876818,0.4557797083,989.2578125,84.9609375,-108.3984375,0.78189175,2.503341267,998.7956366,-82.70075831,-1.9219673,-0.761563513,0.6626700746,-0.226827823,-0.287833362,0.6531228572,971.6796875,-188.9648438,-98.14453125,-0.5107539025,10.31681101,-5.316744471,-137.3210021,1.079231075,-4.887488553,8.76278236,-39.55080403,7.267744421,4.948295566,6.52988628,-1.293357448,1.730609002,583.3930405,23.62266262,-20.94274967,903.1729109,47.45358925,-51.54670056,734.1683565,-20.80207757,23.97537796,864.3583919,-84.50506777,-91.45808512,877.142873,99.68932785,78.99923184,863.5870011,-89.60817377,-89.81251289,860.8544527,97.14447734,83.0122668,847.1103047,102.0993465,82.8295404,664.1674263,102.5780818,111.9481405,664.8561462,104.6814815,96.96267067,664.2606921,70.22858983,100.047649,525.6008903,87.33863933,85.53312882,525.5704401
-1.275,,,0,0.2593399082,-0.7102195803,-0.6016144507,0.2576645348,847.1679688,-20.99609375,524.9023438,5.247930505,-0.6912923567,996.8093374,-43.24478824,-8.241052932,3.124997084,0.4785991897,-0.5364355162,-0.5248368603,0.4557697036,989.2578125,87.40234375,-104.4921875,5.128673542,3.161647279,998.5752386,-82.70996677,-1.927822099,-0.7676983689,0.6627801835,-0.2265617751,-0.2876442971,0.6531867641,977.5390625,-196.7773438,-102.5390625,-7.89223255,10.66789219,2.318367489,-137.3604668,1.076329047,-4.895037671,8.764649416,-39.54499238,7.263775862,4.957559659,6.541232956,-1.293407065,1.729888145,583.3934676,23.62833494,-20.9415334,903.1718166,47.45474425,-51.54576644,734.1680622,-20.80963419,23.96660731,864.3608849,-84.48291338,-91.48329612,877.1449231,99.66786851,79.0208357,863.5852585,-89.58723753,-89.83850364,860.8568057,97.12119411,83.03374113,847.1088123,102.1075401,82.85832344,664.1686477,102.581518,111.9769665,664.8588384,104.6873572,96.99187284,664.2625414,70.22351526,100.0707355,525.6055583,87.34352018,85.56796558,525.5722018
-1.265,,,0,0.2594185181,-0.71017121,-0.6015994202,0.257753802,842.7734375,-26.3671875,522.9492188,9.587395391,2.59298527,992.1388709,-43.25934287,-8.237819575,3.12584562,0.4786946553,-0.5363979368,-0.5247968962,0.4557596933,998.5351563,101.5625,-102.0507813,16.70996989,-4.026109398,1008.715187,-82.71917464,-1.933677883,-0.7738323042,0.6628902109,-0.2262956996,-0.2874551968,0.6532505908,981.9335938,-196.7773438,-112.3046875,-12.06121702,2.333076363,7.658837197,-137.399931,1.073421822,-4.902584762,8.766524385,-39.53918122,7.259804111,4.966822529,6.55258175,-1.293456536,1.729167156,583.3938948,23.63400639,-20.94031576,903.170722,47.45589923,-51.5448323,734.1677679,-20.817189,23.95783458,864.3633781,-84.46075305,-91.50850171,877.1469714,99.64640314,79.04243411,863.5835177,-89.56629513,-89.86448928,860.8591569,97.09790488,83.05520954,847.1073219,102.1157289,82.88710784,664.1698738,102.5849495,112.0057931,664.8615351,104.693228,97.02107596,664.2643952,70.21844016,100.0938151,525.6102307,87.34839226,85.60280264,525.5739689
-1.255,,,0,0.2594971237,-0.7101228279,-0.6015843797,0.2578430649,844.2382813,-24.4140625,525.8789063,9.324141031,-0.08627654385,994.8849174,-43.27389733,-8.234586006,3.126693317,0.4787901152,-0.536360351,-0.5247569256,0.4557496775,1004.394531,102.0507813,-101.5625,17.26278169,-3.24537214,1014.509311,-82.72838192,-1.939534653,-0.7799653191,0.663000157,-0.2260295965,-0.2872660611,0.6533143374,988.28125,-191.8945313,-118.6523438,-9.964522231,-6.022120945,13.64005508,-137.4393948,1.0705094,-4.910129825,8.768407263,-39.53337055,7.255829171,4.976084174,6.56393266,-1.293505859,1.728446034,583.3943221,23.63967696,-20.93909677,903.1696274,47.45705419,-51.54389813,734.1674735,-20.82474198,23.94905977,864.3658715,-84.43858678,-91.53370187,877.1490178,99.62493173,79.06402707,863.5817787,-89.54534659,-89.89046981,860.8615064,97.07460967,83.07667203,847.1058333,102.1239132,82.91589358,664.1711046,102.588376,112.0346201,664.8642362,104.699094,97.05028005,664.2662535,70.21336454,100.1168879,525.6149076,87.35325557,85.63763999,525.5757414
-1.245,,,0,0.2595772651,-0.7100687706,-0.6015688198,0.2579475517,846.1914063,-22.4609375,534.1796875,12.29411798,-5.925009153,1000.852675,-43.28995133,-8.230513579,3.128525916,0.4788821207,-0.5363193512,-0.5247262681,0.4557365594,1008.300781,110.3515625,-109.8632813,16.86190656,-14.42117971,1020.012539,-82.73686793,-1.944594662,-0.7867698108,0.6631149698,-0.2257555324,-0.2870797556,0.6533744641,985.3515625,-184.5703125,-127.4414063,-9.100917408,-17.4877151,10.36457139,-137.4792779,1.067250199,-4.918742508,8.770950541,-39.5254273,7.251995695,4.986304284,6.575202069,-1.293549416,1.727752132,583.3948446,23.64693012,-20.93753834,903.1682483,47.45834527,-51.54286692,734.1670997,-20.83264411,23.93952667,864.3690327,-84.41374008,-91.56114745,877.1532743,99.60177796,79.0877133,863.5779514,-89.52212167,-89.91883383,860.8661787,97.04916745,83.10014999,847.1023098,102.1288795,82.94820095,664.1712036,102.588945,112.0669525,664.8662167,104.7019149,97.0829727,664.2671592,70.20387996,100.1455609,525.619013,87.3538022,85.67820528,525.5765303
-1.235,,,0,0.2596536737,-0.710010873,-0.601553766,0.2580651015,847.65625,-23.92578125,525.8789063,7.860749431,0.7420136406,997.787474,-43.30687266,-8.225587512,3.131556423,0.4789627193,-0.5362761954,-0.5247103936,0.4557209219,1005.859375,111.328125,-115.234375,13.45146546,-19.38850362,1018.267715,-82.74383389,-1.948138984,-0.7939660787,0.6632285376,-0.2254891755,-0.2869103438,0.6534255836,986.8164063,-165.5273438,-121.5820313,10.00034414,-22.91357271,7.652257874,-137.5169983,1.06376169,-4.92825592,8.774187663,-39.51524721,7.248659161,4.997016829,6.585543641,-1.293592452,1.727142563,583.3954591,23.65580762,-20.93564465,903.1665799,47.45972733,-51.54177925,734.1666441,-20.84044449,23.92965317,864.3728792,-84.38705993,-91.58965332,877.1602093,99.57802569,79.11251535,863.5715807,-89.49749478,-89.94837558,860.8736535,97.02266147,83.12465654,847.0962939,102.1288998,82.98288408,664.1697469,102.5853412,112.1016371,664.8670807,104.7001627,97.11797154,664.2667002,70.18870981,100.179722,525.6220773,87.34810461,85.72361406,525.5759295
-1.225,,,0,0.259720824,-0.7099512926,-0.6015403657,0.2581926492,846.6796875,-21.484375,524.9023438,6.048547649,-0.7467864918,996.4002205,-43.32392541,-8.21983018,3.135947658,0.4790236059,-0.536232329,-0.5247144827,0.4557038359,982.9101563,91.30859375,-121.5820313,-5.606628758,-13.00582684,994.5004973,-82.74849634,-1.949432486,-0.8011976681,0.6633349909,-0.2252454162,-0.2867706689,0.6534629108,987.7929688,-169.4335938,-106.4453125,14.97871799,-8.224392578,7.710917739,-137.5501496,1.060169048,-4.938461134,8.778087076,-39.50284448,7.246179329,5.0076382,6.594069542,-1.293644815,1.726669188,583.3961579,23.66626935,-20.93344738,903.1646299,47.46114636,-51.54068255,734.1661078,-20.8476572,23.91990988,864.3773987,-84.35956707,-91.61787779,877.1701796,99.55488871,79.13730659,863.5623177,-89.47249377,-89.97772217,860.8842929,96.99632945,83.149062,847.0874329,102.1222387,83.01847814,664.1663573,102.5762364,112.1372032,664.8664505,104.6922998,97.15377599,664.2644985,70.16662299,100.2187552,525.6236455,87.33432722,85.77252938,525.5735636
-1.215,,,0,0.2597730728,-0.7098925518,-0.6015297156,0.2583263765,846.6796875,-17.08984375,535.15625,9.296714734,-9.923151541,1001.681521,-43.34029691,-8.21331641,3.14182161,0.4790569305,-0.536189086,-0.524743338,0.4556864608,980.9570313,91.796875,-121.09375,-4.953752661,-13.48347672,992.5526263,-82.75013101,-1.947776022,-0.8081150447,0.66342954,-0.2250363115,-0.2866700267,0.6534831289,977.5390625,-158.6914063,-117.6757813,15.81217189,-23.48254065,-3.098943662,-137.5768815,1.056583062,-4.949089302,8.78263695,-39.48836447,7.244950199,5.017575628,6.599886647,-1.293714825,1.726386737,583.3969271,23.67819437,-20.9309824,903.1624236,47.46254131,-51.53962902,734.1654969,-20.85377785,23.91081206,864.3825379,-84.33242197,-91.64435542,877.1834491,99.53366995,79.16085682,863.5499,-89.44826561,-90.00537347,860.8983602,96.97152202,83.17213339,847.0754563,102.1073334,83.05348168,664.1607245,102.5604379,112.1721448,664.8639647,104.6769432,97.18885207,664.2602222,70.13664684,100.2616051,525.6232722,87.31103484,85.8233407,525.5690906
-1.205,,,0,0.2598044514,-0.7098377812,-0.6015226625,0.2584617147,854.4921875,-19.53125,524.9023438,2.072675819,0.7598766996,1003.023412,-43.35508372,-8.206201161,3.149287832,0.4790561625,-0.5361471807,-0.5248014225,0.4556696838,973.6328125,90.8203125,-114.7460938,-0.9963663426,-9.470352423,984.5228126,-82.7481264,-1.942539331,-0.8144781887,0.663508962,-0.224869985,-0.2866126861,0.6534849007,977.5390625,-180.6640625,-114.2578125,-0.4327729118,-8.990248036,0.5978003461,-137.5961233,1.053080916,-4.959784236,8.78797708,-39.47214961,7.245471109,5.026358007,6.602101865,-1.293800863,1.726371515,583.3977453,23.69137898,-20.92825311,903.1600126,47.46384287,-51.53867589,734.1648257,-20.85827245,23.90294399,864.3881808,-84.30694989,-91.66744391,877.2002489,99.51579014,79.1818179,863.5340888,-89.42610137,-90.02965853,860.9160792,96.94973226,83.19250969,847.0601113,102.0829634,83.08668478,664.1525969,102.5370251,112.2052502,664.8592569,104.6530191,97.22196364,664.2535717,70.09829001,100.3069606,525.6204877,87.27747084,85.87441537,525.562179
-1.195,,,0,0.2598085016,-0.7097908987,-0.6015196285,0.2585934244,858.3984375,-20.01953125,522.9492188,-0.06226609847,3.589655028,1005.341561,-43.36728783,-8.198739271,3.158472332,0.479016582,-0.5361062376,-0.5248928155,0.4556541983,988.7695313,100.0976563,-120.1171875,2.190315663,-17.65501881,1000.897781,-82.74204523,-1.933157813,-0.820203121,0.6635715993,-0.2247507675,-0.2865977376,0.6534688683,979.9804688,-205.5664063,-130.859375,-28.97935616,-9.989420458,9.358138091,-137.6075835,1.049697356,-4.970080138,8.794480908,-39.45480594,7.248401337,5.033700222,6.599793876,-1.293888829,1.726733593,583.3985815,23.70554267,-20.92519738,903.157481,47.46497312,-51.53788514,734.1641182,-20.86057019,23.89697544,864.3941346,-84.28464788,-91.68529105,877.2208395,99.50280246,79.1987229,863.5146068,-89.40744506,-90.04871136,860.937695,96.93260876,83.20869168,847.0410979,102.0482734,83.11733737,664.1417524,102.5053363,112.2357703,664.851927,104.6197674,97.25234369,664.2442524,70.05160172,100.3534035,525.6147555,87.23361581,85.92424795,525.5524738
