"type","begin_time","frequency","count","created with version","exported with version","project","last_name","first_name","born","sex","measurement_date","record_name"
"record","-1.250","100","2000","Noraxon MR3 3.16.08","3.16.08","Project 1","MyoMetrics Demo Record","","","male","2020-06-25T15:14:46.383Z","EXGAVINE abduktion_nn180_gebeugt_"

time,Activity,Marker,Noraxon MyoMotion-Analogs-Noraxon MyoMotion.Sync (An),Noraxon MyoMotion-Segmente-Oberer Thorax-Orientierung-x,Noraxon MyoMotion-Segmente-Oberer Thorax-Orientierung-y,Noraxon MyoMotion-Segmente-Oberer Thorax-Orientierung-z,Noraxon MyoMotion-Segmente-Oberer Thorax-Orientierung-w,Noraxon MyoMotion-Segmente-Oberer Thorax-Sensor-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Sensor-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Sensor-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Scheren (Grad),Noraxon MyoMotion-Segmente-Oberer Thorax-Neigen (Grad),Noraxon MyoMotion-Segmente-Oberer Thorax-Rollen (Grad),Noraxon MyoMotion-Segmente-Oberarm RT-Orientierung-x,Noraxon MyoMotion-Segmente-Oberarm RT-Orientierung-y,Noraxon MyoMotion-Segmente-Oberarm RT-Orientierung-z,Noraxon MyoMotion-Segmente-Oberarm RT-Orientierung-w,Noraxon MyoMotion-Segmente-Oberarm RT-Sensor-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Sensor-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Sensor-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Scheren (Grad),Noraxon MyoMotion-Segmente-Oberarm RT-Neigen (Grad),Noraxon MyoMotion-Segmente-Oberarm RT-Rollen (Grad),Noraxon MyoMotion-Segmente-Unterarm RT-Orientierung-x,Noraxon MyoMotion-Segmente-Unterarm RT-Orientierung-y,Noraxon MyoMotion-Segmente-Unterarm RT-Orientierung-z,Noraxon MyoMotion-Segmente-Unterarm RT-Orientierung-w,Noraxon MyoMotion-Segmente-Unterarm RT-Sensor-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Sensor-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Sensor-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Scheren (Grad),Noraxon MyoMotion-Segmente-Unterarm RT-Neigen (Grad),Noraxon MyoMotion-Segmente-Unterarm RT-Rollen (Grad),Noraxon MyoMotion-Gelenke-Schulter RT-Total Flexion (Grad),Noraxon MyoMotion-Gelenke-Schulter RT-Rotation Ext (Grad),Noraxon MyoMotion-Gelenke-Schulter RT-Flexion (Grad),Noraxon MyoMotion-Gelenke-Schulter RT-Abduktion (Grad),Noraxon MyoMotion-Gelenke-Ellbogen RT-Flexion (Grad),Noraxon MyoMotion-Verlaufskurven-Body center of mass-x (mm),Noraxon MyoMotion-Verlaufskurven-Body center of mass-y (mm),Noraxon MyoMotion-Verlaufskurven-Body center of mass-z (mm),Noraxon MyoMotion-Verlaufskurven-7th cervical vertebrae-x (mm),Noraxon MyoMotion-Verlaufskurven-7th cervical vertebrae-y (mm),Noraxon MyoMotion-Verlaufskurven-7th cervical vertebrae-z (mm),Noraxon MyoMotion-Verlaufskurven-10th thoracic vertebrae-x (mm),Noraxon MyoMotion-Verlaufskurven-10th thoracic vertebrae-y (mm),Noraxon MyoMotion-Verlaufskurven-10th thoracic vertebrae-z (mm),Noraxon MyoMotion-Verlaufskurven-Jugular notch-x (mm),Noraxon MyoMotion-Verlaufskurven-Jugular notch-y (mm),Noraxon MyoMotion-Verlaufskurven-Jugular notch-z (mm),Noraxon MyoMotion-Verlaufskurven-Acromion LT-x (mm),Noraxon MyoMotion-Verlaufskurven-Acromion LT-y (mm),Noraxon MyoMotion-Verlaufskurven-Acromion LT-z (mm),Noraxon MyoMotion-Verlaufskurven-Acromion RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Acromion RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Acromion RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder LT-x (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder LT-y (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder LT-z (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Medial humeral epicondyle RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Medial humeral epicondyle RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Medial humeral epicondyle RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Lateral humeral epicondyle RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Lateral humeral epicondyle RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Lateral humeral epicondyle RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Elbow RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Elbow RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Elbow RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Radial styloid process RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Radial styloid process RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Radial styloid process RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Ulnar styloid process RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Ulnar styloid process RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Ulnar styloid process RT-z (mm)
-1.245,Aktivität,,0,0.2474122675,-0.6951674425,-0.6277432834,0.2479269387,874.5117188,-56.15234375,440.9179688,14.63669576,-16.67791883,-19.26552968,-41.14232365,-5.102698412,1.96071702,0.488664319,-0.5059352673,-0.4962231468,0.5089197159,1000.488281,128.4179688,-132.8125,-4.225596063,10.46025415,17.33960072,-89.72887378,0.6000912799,1.718524725,0.662364632,-0.2703224548,-0.274612805,0.6424847641,985.8398438,-183.1054688,-89.84375,-8.899373242,7.253328967,6.651826601,-134.6557991,-1.352436074,-0.9417604431,4.22502958,-48.73828554,4.208933372,0.3697784084,-0.8936423202,-0.8691196646,1.315934464,583.6773257,25.25897129,-23.55835383,902.1289592,50.86692468,-48.25537392,733.8348392,-18.38617792,24.86954537,866.8075472,-85.7675642,-88.89344158,874.8156619,103.8962048,75.79210477,866.2506459,-91.15051006,-86.19271441,858.7597532,101.1474779,80.78013119,850.0757787,94.5349236,76.74015291,665.6654995,91.37662036,105.6924872,666.2850587,95.34492614,91.08293021,665.8893876,72.16701891,93.11624097,524.6966472,88.52134213,77.83370202,526.2478186
-1.235,,,0,0.2473208768,-0.694965169,-0.6280224278,0.2478782523,878.4179688,-48.828125,448.2421875,12.8115317,-26.2318662,-13.04958274,-41.12835955,-5.065147881,1.949592278,0.4888477565,-0.5058772345,-0.4961464309,0.5088760297,998.046875,118.6523438,-130.859375,-10.85799203,17.4156973,13.35034262,-89.74487303,0.5862714776,1.706464262,0.6624064532,-0.2699856155,-0.2745311458,0.6426181667,984.375,-189.9414063,-92.28515625,-15.55746465,9.056985107,6.610334147,-134.6925005,-1.337925541,-0.9575509387,4.187470039,-48.76556437,4.170532178,0.3775861014,-0.8577471653,-0.8642348699,1.312077165,583.6811927,25.27320444,-23.59642744,902.1157526,50.86636637,-48.25699615,733.8310075,-18.37104889,24.8632733,866.8368754,-85.7759241,-88.88940391,874.7936048,103.9227059,75.75847954,866.2766698,-91.16284005,-86.17748998,858.7409136,101.1704932,80.75716962,850.1056877,94.60369745,76.75354894,665.6872695,91.43807391,105.7050656,666.307673,95.41004411,91.09653874,665.9107402,72.17769285,93.11721895,524.7277942,88.54247954,77.84523745,526.2725774
-1.225,,,0,0.2472294543,-0.6947628056,-0.6283014905,0.2478295338,885.2539063,-50.78125,442.3828125,8.672395917,-19.99286939,-9.302850816,-41.1144036,-5.027594702,1.938477376,0.4890311722,-0.5058191791,-0.4960696928,0.5088323207,991.6992188,118.1640625,-104.9804688,5.589889989,33.91944688,3.628023327,-89.76086933,0.5724483048,1.694407688,0.662448182,-0.269648739,-0.2744494481,0.6427514793,990.7226563,-188.9648438,-104.9804688,-20.34834747,-2.274480971,13.82481923,-134.7292056,-1.323425157,-0.9733505856,4.149951925,-48.79285531,4.1321416,0.3854014155,-0.8218493557,-0.8593504312,1.30821825,583.6850584,25.28742705,-23.63448801,902.1025323,50.86580775,-48.25861757,733.8271757,-18.35591106,24.85698762,866.8662095,-85.78428749,-88.88534265,874.7715668,103.9492087,75.72484022,866.3026792,-91.17517006,-86.16224308,858.722101,101.1935136,80.73419233,850.13559,94.67246255,76.76695185,665.7090505,91.49951731,105.717649,666.3302974,95.47515219,91.11015329,665.9321033,72.18836795,93.11816718,524.7589721,88.56360889,77.85674999,526.2973633
-1.215,,,0,0.2471379999,-0.6945603525,-0.6285804715,0.2477807833,902.34375,-57.6171875,445.3125,10.01034003,-13.58948176,7.751122646,-41.10045579,-4.990038872,1.927372301,0.4892145659,-0.505761101,-0.4959929324,0.508788589,996.5820313,124.0234375,-111.8164063,4.137071119,25.45278085,10.14628018,-89.77686269,0.5586217626,1.682355003,0.6624898183,-0.2693118253,-0.2743677117,0.6428847021,992.6757813,-195.3125,-121.09375,-33.72212962,-11.98433471,18.30008805,-134.7659145,-1.308934928,-0.9891593813,4.112476124,-48.82015836,4.093761638,0.3932243581,-0.7859488877,-0.8544663533,1.304357734,583.6889226,25.3016391,-23.67253546,902.0892985,50.8652488,-48.26023816,733.8233438,-18.34076445,24.85068838,866.8955494,-85.79265437,-88.88125776,874.7495477,103.9757131,75.69118689,866.3286743,-91.18750011,-86.14697366,858.7033155,101.2165391,80.71119939,850.1654855,94.74121888,76.7803617,665.7308427,91.56095054,105.7302372,666.3529317,95.54025035,91.12377389,665.9534771,72.19904421,93.1190857,524.7901809,88.58473016,77.86823971,526.3221764
-1.205,,,0,0.2470354252,-0.6943401129,-0.6288843839,0.2477291626,911.6210938,-79.1015625,442.3828125,21.23438675,4.63868269,16.13985848,-41.08516412,-4.949023563,1.915627064,0.4893886974,-0.5056837174,-0.495909241,0.5087796238,994.140625,118.6523438,-121.5820313,-6.971362428,21.35090793,8.30138853,-89.79576158,0.5480632161,1.672112321,0.6625238673,-0.2689485461,-0.2743023172,0.6430295822,997.5585938,-199.21875,-135.2539063,-43.48433136,-21.52713936,25.06125313,-134.8034988,-1.29169324,-1.007563259,4.071867428,-48.85183003,4.052614845,0.3968187107,-0.7495931999,-0.8497192697,1.299838957,583.6931463,25.31738882,-23.71382314,902.0748337,50.86463639,-48.26200544,733.8191582,-18.32405685,24.84396875,866.927605,-85.80180179,-88.87644259,874.7263422,104.0049028,75.65437614,866.3562447,-91.20104455,-86.13000427,858.683665,101.2418642,80.68596472,850.1973162,94.80192111,76.78557187,665.7541452,91.612975,105.7344698,666.3773037,95.59661685,91.12923218,665.9763121,72.1916463,93.11117803,524.8244298,88.58811606,77.87117923,526.3489735
-1.195,,,0,0.2469256679,-0.6941094564,-0.6292025658,0.2476770239,917.4804688,-92.28515625,439.9414063,27.9295248,15.98761888,21.17566521,-41.06914336,-4.905953201,1.903664588,0.489542422,-0.5055874846,-0.495821715,0.5088126762,1004.882813,118.6523438,-128.4179688,-11.92419655,18.20149921,19.74778215,-89.81711898,0.5419702957,1.664585746,0.6625471946,-0.2685694351,-0.2742621018,0.6431811354,1001.464844,-194.8242188,-144.0429688,-43.84445564,-31.29162965,28.94858178,-134.8402581,-1.271878997,-1.028514842,4.02952322,-48.88695159,4.010234643,0.3950855835,-0.7141779875,-0.8454076092,1.294749956,583.6975859,25.33416919,-23.75690174,902.0596304,50.86399795,-48.26385192,733.8147626,-18.30640605,24.83701364,866.9612801,-85.81128836,-88.87120155,874.7027902,104.035652,75.61581191,866.3844029,-91.21521861,-86.11206751,858.6638702,101.2684848,80.6594878,850.2299497,94.84970955,76.78066186,665.7780733,91.6509569,105.728448,666.4026167,95.63950376,91.12460016,665.9997708,72.16189659,93.09343511,524.8607899,88.56902979,77.86406977,526.3768469
-1.185,,,0,0.246813379,-0.693875808,-0.6295241229,0.2476265287,915.5273438,-83.0078125,430.6640625,16.77655315,14.62145095,14.9171933,-41.05305,-4.862279396,1.891847421,0.4896670626,-0.5054751724,-0.495734118,0.5088896758,1000.976563,122.5585938,-152.34375,-25.65251446,-2.136219742,19.56887497,-89.84016311,0.5409968394,1.660328646,0.6625582756,-0.2681836938,-0.2742536337,0.6433342694,985.8398438,-187.0117188,-148.9257813,-42.78780772,-39.38177244,12.74416725,-134.8748068,-1.249830322,-1.051945187,3.98686963,-48.92419459,3.968114031,0.3875029662,-0.6806638104,-0.841772263,1.289219625,583.7020932,25.35141318,-23.80032241,902.0441992,50.86336289,-48.26570764,733.8103051,-18.28848799,24.82997717,866.9954388,-85.82064387,-88.86593294,874.6795954,104.0667366,75.57697,866.4122879,-91.22939064,-86.09399334,858.6445074,101.2953145,80.63283881,850.2623762,94.88136904,76.76488738,665.8017974,91.67207118,105.7114673,666.4281467,95.66588929,91.10912141,666.0230866,72.10754228,93.06613512,524.8983665,88.52484066,77.84678606,526.4049339
-1.175,,,0,0.2467030046,-0.693646086,-0.629838998,0.2475794245,904.7851563,-73.73046875,429.6875,13.37113199,5.346345282,4.239183696,-41.03747884,-4.819358909,1.880479485,0.4897569082,-0.505351738,-0.4956510501,0.5090067076,992.1875,136.71875,-153.3203125,-15.64087087,-14.07166113,13.01160975,-89.86379382,0.5452110111,1.659466679,0.6625574411,-0.2677987804,-0.2742800682,0.6434841836,982.421875,-185.0585938,-147.9492188,-40.73313297,-39.45964297,8.995611181,-134.9062113,-1.226057042,-1.077702458,3.945268257,-48.96191505,3.927592574,0.3742105587,-0.64958245,-0.838964651,1.28341506,583.7065297,25.3685653,-23.84276055,902.0290191,50.86275718,-48.26750922,733.8059247,-18.27093574,24.82300276,867.0290184,-85.82946082,-88.86100109,874.6573391,104.0970256,75.53919785,866.4391698,-91.24299524,-86.07654184,858.6260363,101.321359,80.6069932,850.2937258,94.89561232,76.73880726,665.8245895,91.67558124,105.6841447,666.4532639,95.67475952,91.08333844,666.0455998,72.02876067,93.03082862,524.9363118,88.45546379,77.82060174,526.4324537
-1.165,,,0,0.2465978364,-0.6934265903,-0.6301385334,0.2475368655,910.6445313,-59.5703125,426.7578125,-0.2662571247,-1.27520321,7.44360533,-41.02286502,-4.778382148,1.869841517,0.489809221,-0.5052237525,-0.4955779272,0.5091545983,984.375,142.0898438,-150.390625,-9.166603815,-16.77214506,5.701582446,-89.88664949,0.554160467,1.661700133,0.662546683,-0.2674207566,-0.2743408193,0.6436265583,981.9335938,-183.1054688,-139.6484375,-33.85146435,-33.83488661,7.438415054,-134.9339887,-1.201233084,-1.105489666,3.90598239,-48.99832354,3.889825374,0.355997306,-0.6211429469,-0.8370333669,1.27754243,583.7107742,25.38512947,-23.88306326,902.0145126,50.86219769,-48.26920703,733.8017428,-18.25425011,24.81627111,867.0610864,-85.83749624,-88.85657226,874.6365626,104.1256599,75.50354651,866.4643768,-91.25565064,-86.06022091,858.608891,101.3458826,80.58267729,850.3232025,94.89301072,76.70419402,665.8458099,91.66273057,105.6483262,666.4773928,95.66701985,91.0490047,666.0667336,71.92816695,92.99012769,524.9737773,88.36336593,77.78797969,526.4586841
-1.155,,,0,0.2464993345,-0.6932232052,-0.6304155487,0.2474992966,903.3203125,-58.59375,425.78125,1.169156828,-3.92102409,0.3468128645,-41.00941767,-4.740367697,1.860235036,0.4898239361,-0.5050984853,-0.495520564,0.5093205302,980.46875,155.7617188,-133.3007813,13.01122616,-14.23355298,1.487840665,-89.90725654,0.5670119346,1.666385555,0.6625290597,-0.2670552033,-0.2744322321,0.6437574958,978.515625,-193.359375,-139.6484375,-41.88606948,-27.83615991,5.90907529,-134.9579678,-1.176162876,-1.134831564,3.870173922,-49.03171335,3.855805545,0.3341895951,-0.5953793525,-0.8359310618,1.271845851,583.7147235,25.40068548,-23.92023591,902.0010433,50.8616878,-48.27076917,733.7978631,-18.23874457,24.81005121,867.090846,-85.84475131,-88.85247626,874.6178653,104.152168,75.4706715,866.4872009,-91.26724474,-86.04514807,858.5935803,101.3685207,80.56026562,850.3499899,94.87564585,76.66373062,665.8648577,91.63631697,105.6067747,666.4999504,95.64510832,91.00878351,666.0859368,71.81043308,92.94734509,525.0098494,88.25314736,77.75217289,526.4829095
