"type","begin_time","frequency","count","created with version","exported with version","project","last_name","first_name","born","sex","measurement_date","record_name"
"record","-1.230","100","2000","Noraxon MR3 3.16.08","3.16.08","Project 1","MyoMetrics Demo Record","","","male","2020-06-25T15:17:34.883Z","EXGAVINE abduktion_nn180_gebeugt_-4"

time,Activity,Marker,Noraxon MyoMotion-Analogs-Noraxon MyoMotion.Sync (An),Noraxon MyoMotion-Segmente-Oberer Thorax-Orientierung-x,Noraxon MyoMotion-Segmente-Oberer Thorax-Orientierung-y,Noraxon MyoMotion-Segmente-Oberer Thorax-Orientierung-z,Noraxon MyoMotion-Segmente-Oberer Thorax-Orientierung-w,Noraxon MyoMotion-Segmente-Oberer Thorax-Sensor-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Sensor-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Sensor-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Scheren (Grad),Noraxon MyoMotion-Segmente-Oberer Thorax-Neigen (Grad),Noraxon MyoMotion-Segmente-Oberer Thorax-Rollen (Grad),Noraxon MyoMotion-Segmente-Oberarm RT-Orientierung-x,Noraxon MyoMotion-Segmente-Oberarm RT-Orientierung-y,Noraxon MyoMotion-Segmente-Oberarm RT-Orientierung-z,Noraxon MyoMotion-Segmente-Oberarm RT-Orientierung-w,Noraxon MyoMotion-Segmente-Oberarm RT-Sensor-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Sensor-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Sensor-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Scheren (Grad),Noraxon MyoMotion-Segmente-Oberarm RT-Neigen (Grad),Noraxon MyoMotion-Segmente-Oberarm RT-Rollen (Grad),Noraxon MyoMotion-Segmente-Unterarm RT-Orientierung-x,Noraxon MyoMotion-Segmente-Unterarm RT-Orientierung-y,Noraxon MyoMotion-Segmente-Unterarm RT-Orientierung-z,Noraxon MyoMotion-Segmente-Unterarm RT-Orientierung-w,Noraxon MyoMotion-Segmente-Unterarm RT-Sensor-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Sensor-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Sensor-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Scheren (Grad),Noraxon MyoMotion-Segmente-Unterarm RT-Neigen (Grad),Noraxon MyoMotion-Segmente-Unterarm RT-Rollen (Grad),Noraxon MyoMotion-Gelenke-Schulter RT-Total Flexion (Grad),Noraxon MyoMotion-Gelenke-Schulter RT-Rotation Ext (Grad),Noraxon MyoMotion-Gelenke-Schulter RT-Flexion (Grad),Noraxon MyoMotion-Gelenke-Schulter RT-Abduktion (Grad),Noraxon MyoMotion-Gelenke-Ellbogen RT-Flexion (Grad),Noraxon MyoMotion-Verlaufskurven-Body center of mass-x (mm),Noraxon MyoMotion-Verlaufskurven-Body center of mass-y (mm),Noraxon MyoMotion-Verlaufskurven-Body center of mass-z (mm),Noraxon MyoMotion-Verlaufskurven-7th cervical vertebrae-x (mm),Noraxon MyoMotion-Verlaufskurven-7th cervical vertebrae-y (mm),Noraxon MyoMotion-Verlaufskurven-7th cervical vertebrae-z (mm),Noraxon MyoMotion-Verlaufskurven-10th thoracic vertebrae-x (mm),Noraxon MyoMotion-Verlaufskurven-10th thoracic vertebrae-y (mm),Noraxon MyoMotion-Verlaufskurven-10th thoracic vertebrae-z (mm),Noraxon MyoMotion-Verlaufskurven-Jugular notch-x (mm),Noraxon MyoMotion-Verlaufskurven-Jugular notch-y (mm),Noraxon MyoMotion-Verlaufskurven-Jugular notch-z (mm),Noraxon MyoMotion-Verlaufskurven-Acromion LT-x (mm),Noraxon MyoMotion-Verlaufskurven-Acromion LT-y (mm),Noraxon MyoMotion-Verlaufskurven-Acromion LT-z (mm),Noraxon MyoMotion-Verlaufskurven-Acromion RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Acromion RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Acromion RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder LT-x (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder LT-y (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder LT-z (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Medial humeral epicondyle RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Medial humeral epicondyle RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Medial humeral epicondyle RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Lateral humeral epicondyle RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Lateral humeral epicondyle RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Lateral humeral epicondyle RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Elbow RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Elbow RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Elbow RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Radial styloid process RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Radial styloid process RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Radial styloid process RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Ulnar styloid process RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Ulnar styloid process RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Ulnar styloid process RT-z (mm)
-1.225,Aktivität,,0,0.262415547,-0.7239390558,-0.5832092076,0.2586838695,858.3984375,3.90625,515.1367188,-15.76949404,-17.49689193,0.8367285059,-43.84451315,-10.71357107,3.995081164,0.4996561762,-0.4787856628,-0.4773621033,0.5415103111,953.125,162.5976563,-163.5742188,30.39841633,-31.25514227,-20.33636341,-94.82454127,2.419517059,2.38063305,0.6532735049,-0.2665768087,-0.2680420814,0.6559908349,985.8398438,-183.59375,-123.046875,-19.42740908,11.69092733,10.05608458,-135.5762001,0.2487255266,-0.0266825091,10.3822518,-51.70958,10.36773651,0.5609948312,-2.215359558,-1.725102348,1.887460349,583.0970542,23.25862258,-17.44730962,903.9484244,50.98515238,-47.96700819,734.4110866,-20.77138947,25.43832242,862.4762262,-83.80070331,-89.90934451,878.8658464,99.27887611,81.41748741,861.6606668,-88.60644696,-88.98476737,862.4307552,97.01590441,84.72160388,844.9866148,86.17362448,78.0423986,662.5232029,80.38908479,106.5929156,662.4642591,85.67135571,92.40021849,662.3741222,61.32384756,89.66357697,521.3626665,77.93324392,74.69662377,523.2452928
-1.215,,,0,0.2622683423,-0.7240196882,-0.5832216588,0.2585793967,859.375,-7.32421875,504.3945313,-14.95177984,-2.803638635,-3.625842442,-43.8231414,-10.71817969,3.998392601,0.4999187117,-0.478876141,-0.4772986451,0.5412438699,959.4726563,159.6679688,-186.0351563,14.06292409,-45.26262515,-10.83659256,-94.82395822,2.379481315,2.36079692,0.6535300799,-0.266054497,-0.2676950122,0.6560890334,976.0742188,-165.5273438,-129.8828125,-9.923820399,-4.446434033,-1.56548836,-135.6523215,0.2421830335,-0.04484065024,10.37905774,-51.72524744,10.36195511,0.6087974099,-2.168556225,-1.718773604,1.893369075,583.0964004,23.25400141,-17.44561563,903.9498472,50.98360173,-47.96843729,734.4114905,-20.75893918,25.4528722,862.4728243,-83.83275489,-89.86900239,878.8727429,99.31281182,81.38588375,861.6535876,-88.63790137,-88.94418114,862.4374909,97.05135377,84.68924509,844.9791806,86.31992841,78.10377299,662.5087146,80.53715708,106.6546595,662.4555535,85.81854704,92.4616534,662.362504,61.45361692,89.73530082,521.3550786,78.08313882,74.78983523,523.2307323
-1.205,,,0,0.2621211271,-0.7241002923,-0.5832340871,0.2584749137,853.515625,-24.90234375,500,-3.265733386,10.48281784,-10.56152573,-43.80176959,-10.72278953,4.001702356,0.5001811681,-0.4789665449,-0.4772351146,0.5409773502,960.4492188,156.25,-175.78125,17.75790239,-35.2858671,-11.96387888,-94.8233614,2.339446287,2.340961222,0.6537863435,-0.2655320621,-0.2673478226,0.6561869268,973.6328125,-123.5351563,-107.421875,36.14487676,-10.2273335,-13.41488093,-135.7284401,0.2356170783,-0.06299010291,10.37611055,-51.74091166,10.35620717,0.6566032134,-2.121729022,-1.712444537,1.899277151,583.0957509,23.24937877,-17.44391837,903.9512701,50.98205098,-47.96986624,734.4118943,-20.74648534,25.46741822,862.4694217,-83.8647932,-89.82864595,878.8796356,99.34673342,81.3542677,861.6465124,-88.66934242,-88.90358082,862.4442226,97.08678874,84.65687328,844.9717505,86.4662355,78.16514178,662.4943401,80.68522912,106.7163959,662.446963,85.96573978,92.52308202,662.3509995,61.58337133,89.80699305,521.3476106,78.23298907,74.88304371,523.2162953
-1.195,,,0,0.2619739015,-0.7241808681,-0.5832464924,0.2583704207,857.421875,-25.87890625,512.2070313,3.330259693,5.162602104,-0.920278812,-43.78039772,-10.7274006,4.00501043,0.5004435454,-0.4790568745,-0.4771715118,0.5407107519,967.7734375,145.5078125,-162.109375,17.5331891,-17.27430982,-8.318808895,-94.82275081,2.299411974,2.321125933,0.6540422957,-0.2650095041,-0.2670005124,0.6562845149,974.609375,-83.0078125,-96.19140625,75.38144019,-24.21881285,-20.33801493,-135.8045561,0.2290276702,-0.08113084546,10.37341043,-51.75657266,10.35049267,0.704412243,-2.07487796,-1.706115149,1.905184573,583.0951057,23.24475466,-17.44221785,903.9526933,50.98050012,-47.97129504,734.4122982,-20.73402797,25.48196047,862.4660182,-83.89681824,-89.78827517,878.8865243,99.38064091,81.32263926,861.6394412,-88.7007701,-88.86296643,862.4509504,97.12220931,84.62448847,844.9643245,86.6125457,78.22650494,662.4800795,80.83330086,106.7781247,662.4384875,86.11293386,92.58450433,662.3396086,61.71311076,89.8786536,521.3402626,78.38279462,74.97624914,523.2019819
-1.185,,,0,0.2618286751,-0.7242596666,-0.5832652217,0.2582544507,853.0273438,-21.97265625,500,-5.200361336,8.467166302,-11.04109785,-43.75803804,-10.73184014,4.006959383,0.5008049762,-0.4792035883,-0.4770756387,0.5403305763,972.65625,137.2070313,-158.203125,12.89714732,-8.893464754,-5.179036849,-94.82036803,2.241787664,2.294945267,0.6543202898,-0.2644113718,-0.2666163356,0.6564048403,984.8632813,-61.5234375,-81.54296875,102.9486631,-24.2286564,-15.51809725,-135.8904833,0.2236357099,-0.102167658,10.36614008,-51.76897905,10.33880757,0.7688827943,-2.007575733,-1.697844289,1.911941733,583.0944251,23.23915373,-17.44177672,903.9540839,50.97887329,-47.97280943,734.4126819,-20.72138058,25.49655854,862.4627184,-83.93036378,-89.74731995,878.8904764,99.41544867,81.28953211,861.6352674,-88.73346426,-88.82140584,862.4546878,97.15881781,84.59095806,844.9598231,86.81402911,78.31241396,662.4651393,81.03795923,106.8646844,662.4295969,86.3160081,92.67049694,662.3275943,61.89177852,89.97342808,521.3341178,78.58413942,75.09541564,523.1877227
-1.175,,,0,0.2616995465,-0.7243278321,-0.583293693,0.2581298252,863.7695313,-17.08984375,505.3710938,-9.381828525,5.60305235,0.834849199,-43.73600818,-10.73547221,4.006446356,0.5012826579,-0.4794167711,-0.4769384252,0.5398194097,973.1445313,135.2539063,-144.0429688,19.46903877,2.381736604,-7.192083752,-94.81619496,2.163459133,2.261659992,0.6546120254,-0.2637404861,-0.2662018998,0.6565520549,990.234375,-75.1953125,-70.3125,99.3715745,-7.362864787,-9.427751998,-135.9853887,0.2204806897,-0.1260066795,10.35288333,-51.77628336,10.31927358,0.8518687322,-1.91596486,-1.687466595,1.919316391,583.0937773,23.23249643,-17.44358937,903.9552585,50.97726577,-47.97433462,734.412985,-20.70951457,25.50992383,862.4599818,-83.96343587,-89.70909563,878.8891422,99.44870629,81.25686905,861.6363461,-88.76535676,-88.78199568,862.4530758,97.19417626,84.55849629,844.9606576,87.07886672,78.42676103,662.4510341,81.307466,106.9799825,662.4214876,86.58318248,92.78495135,662.3162797,62.12589024,90.0935017,521.3309498,78.8433309,75.24252437,523.1753107
-1.165,,,0,0.2616035415,-0.7243745605,-0.5833362816,0.25799974,863.7695313,-17.08984375,502.4414063,-11.17146481,7.634169774,-0.6731513586,-43.71587593,-10.73750813,4.00211107,0.5018939079,-0.4797032754,-0.4767504531,0.5391625713,991.2109375,135.2539063,-145.0195313,18.15676874,4.614716541,10.67919854,-94.81056533,2.061634476,2.220474239,0.6549099172,-0.2629966347,-0.2657606543,0.6567320954,1010.253906,-116.2109375,-73.73046875,68.5756471,12.93214787,17.19430754,-136.0889816,0.2206775889,-0.1525177589,10.33239815,-51.77675854,10.29006973,0.9547275576,-1.796484199,-1.674893555,1.926997091,583.0932536,23.22467769,-17.44889741,903.9559901,50.97579113,-47.97578259,734.4131327,-20.69959485,25.52050021,862.4583785,-83.99365933,-89.67760054,878.879624,99.47748546,81.22693652,861.6455825,-88.7939805,-88.74845875,862.4432056,97.22537464,84.52975243,844.9698025,87.41394824,78.5735178,662.4398483,81.64859301,107.1279657,662.4158765,86.92128578,92.9318348,662.3075328,62.42054639,90.24068827,521.3330833,79.1654019,75.41934548,523.1671033
-1.155,,,0,0.2615600766,-0.7243876441,-0.5833977693,0.2578680091,866.6992188,-14.6484375,510.2539063,-9.329093788,2.307162313,5.807539422,-43.69944817,-10.73706677,3.992427129,0.5026547497,-0.480064989,-0.4765033542,0.5383496656,1009.277344,140.625,-168.4570313,6.586492852,-13.23692505,32.75133529,-94.80418303,1.934192609,2.170532756,0.6552067309,-0.2621772761,-0.2652931895,0.6569526156,1006.347656,-156.7382813,-92.28515625,25.24911667,20.01641851,22.14522902,-136.2014253,0.2254268852,-0.1814959599,10.30389522,-51.76888496,10.24971663,1.07814386,-1.646238028,-1.660150249,1.934611796,583.0929643,23.21558459,-17.45908321,903.9560243,50.97458009,-47.9770512,734.4130412,-20.69295838,25.52651579,862.4585455,-84.01830559,-89.65740083,878.8586696,99.49842804,81.20237407,861.6662368,-88.81650366,-88.72505663,862.4218127,97.24907349,84.5077707,844.9905961,87.82377775,78.75674752,662.4341949,82.06550336,107.3126278,662.4149468,87.33464891,93.11520216,662.3037187,62.77838066,90.41639136,521.3433287,79.55303418,75.62737544,523.1659709
-1.145,,,0,0.2615901725,-0.7243542316,-0.5834826421,0.2577392776,856.9335938,-19.53125,510.7421875,-2.078533556,2.295285348,-2.220140873,-43.68874028,-10.73325737,3.975818925,0.5035772143,-0.4804972326,-0.476191112,0.5373773568,1034.179688,145.9960938,-155.2734375,17.26145978,-1.944532087,55.7701391,-94.79813064,1.780168183,2.111051104,0.6554941344,-0.2612800969,-0.2647995586,0.6572224467,1014.648438,-168.4570313,-98.14453125,14.29473305,21.62538741,32.88410547,-136.3229106,0.2360765504,-0.2126169487,10.26725619,-51.75147311,10.1973472,1.221774465,-1.463467603,-1.643426981,1.941734301,583.0930322,23.20511267,-17.47553217,903.9551033,50.97377773,-47.97802412,734.4126268,-20.69107787,25.5260598,862.4611259,-84.03435284,-89.65345027,878.8229196,99.50783063,81.18613477,861.7016751,-88.82979695,-88.71644462,862.385524,97.26158352,84.49591244,845.0264845,88.30899655,78.98009011,662.4371267,82.55825664,107.5374907,662.4212431,87.8236188,93.33868065,662.3076014,63.19803857,90.621083,521.3648789,80.00492626,75.86719396,523.1752109
-1.135,,,0,0.2617153178,-0.7242619187,-0.5835942184,0.2576190089,854.0039063,-22.4609375,523.4375,8.683439517,-4.028250993,1.859447768,-43.68590032,-10.72529889,3.950798562,0.5046656893,-0.4809875426,-0.4758108284,0.536253281,1070.800781,158.6914063,-138.1835938,35.57577057,9.740835008,90.65643619,-94.7938969,1.600310265,2.041616586,0.6557611981,-0.2603064728,-0.2642819752,0.6575506283,1038.574219,-142.0898438,-75.1953125,53.12907035,25.91375273,49.2788218,-136.4531182,0.2541409881,-0.2453643185,10.22312635,-51.72386593,10.13292535,1.383750808,-1.248149099,-1.625134404,1.947880873,583.0935793,23.19316268,-17.49946201,903.9529993,50.97353708,-47.97857337,734.411817,-20.69550064,25.51720049,862.4666811,-84.03862095,-89.67080011,878.7691946,99.5017993,81.1813813,861.7550773,-88.83057205,-88.72742409,862.3311447,97.2590207,84.49770429,845.0807202,88.86475338,79.24566103,662.4519626,83.12115599,107.8044998,662.4374896,88.38291703,93.60436839,662.3221651,63.67262352,90.85327776,521.401102,80.51409983,76.13728206,523.1983676
