"type","begin_time","frequency","count","created with version","exported with version","project","last_name","first_name","born","sex","measurement_date","record_name"
"record","-1.230","100","2000","Noraxon MR3 3.16.08","3.16.08","Project 1","MyoMetrics Demo Record","","","male","2020-06-25T15:19:18.601Z","EXGAVINE flexion_nn180_gestreckt_"

time,Activity,Marker,Noraxon MyoMotion-Analogs-Noraxon MyoMotion.Sync (An),Noraxon MyoMotion-Segmente-Oberer Thorax-Orientierung-x,Noraxon MyoMotion-Segmente-Oberer Thorax-Orientierung-y,Noraxon MyoMotion-Segmente-Oberer Thorax-Orientierung-z,Noraxon MyoMotion-Segmente-Oberer Thorax-Orientierung-w,Noraxon MyoMotion-Segmente-Oberer Thorax-Sensor-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Sensor-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Sensor-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Scheren (Grad),Noraxon MyoMotion-Segmente-Oberer Thorax-Neigen (Grad),Noraxon MyoMotion-Segmente-Oberer Thorax-Rollen (Grad),Noraxon MyoMotion-Segmente-Oberarm RT-Orientierung-x,Noraxon MyoMotion-Segmente-Oberarm RT-Orientierung-y,Noraxon MyoMotion-Segmente-Oberarm RT-Orientierung-z,Noraxon MyoMotion-Segmente-Oberarm RT-Orientierung-w,Noraxon MyoMotion-Segmente-Oberarm RT-Sensor-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Sensor-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Sensor-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Scheren (Grad),Noraxon MyoMotion-Segmente-Oberarm RT-Neigen (Grad),Noraxon MyoMotion-Segmente-Oberarm RT-Rollen (Grad),Noraxon MyoMotion-Segmente-Unterarm RT-Orientierung-x,Noraxon MyoMotion-Segmente-Unterarm RT-Orientierung-y,Noraxon MyoMotion-Segmente-Unterarm RT-Orientierung-z,Noraxon MyoMotion-Segmente-Unterarm RT-Orientierung-w,Noraxon MyoMotion-Segmente-Unterarm RT-Sensor-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Sensor-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Sensor-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Scheren (Grad),Noraxon MyoMotion-Segmente-Unterarm RT-Neigen (Grad),Noraxon MyoMotion-Segmente-Unterarm RT-Rollen (Grad),Noraxon MyoMotion-Gelenke-Schulter RT-Total Flexion (Grad),Noraxon MyoMotion-Gelenke-Schulter RT-Rotation Ext (Grad),Noraxon MyoMotion-Gelenke-Schulter RT-Flexion (Grad),Noraxon MyoMotion-Gelenke-Schulter RT-Abduktion (Grad),Noraxon MyoMotion-Gelenke-Ellbogen RT-Flexion (Grad),Noraxon MyoMotion-Verlaufskurven-Body center of mass-x (mm),Noraxon MyoMotion-Verlaufskurven-Body center of mass-y (mm),Noraxon MyoMotion-Verlaufskurven-Body center of mass-z (mm),Noraxon MyoMotion-Verlaufskurven-7th cervical vertebrae-x (mm),Noraxon MyoMotion-Verlaufskurven-7th cervical vertebrae-y (mm),Noraxon MyoMotion-Verlaufskurven-7th cervical vertebrae-z (mm),Noraxon MyoMotion-Verlaufskurven-10th thoracic vertebrae-x (mm),Noraxon MyoMotion-Verlaufskurven-10th thoracic vertebrae-y (mm),Noraxon MyoMotion-Verlaufskurven-10th thoracic vertebrae-z (mm),Noraxon MyoMotion-Verlaufskurven-Jugular notch-x (mm),Noraxon MyoMotion-Verlaufskurven-Jugular notch-y (mm),Noraxon MyoMotion-Verlaufskurven-Jugular notch-z (mm),Noraxon MyoMotion-Verlaufskurven-Acromion LT-x (mm),Noraxon MyoMotion-Verlaufskurven-Acromion LT-y (mm),Noraxon MyoMotion-Verlaufskurven-Acromion LT-z (mm),Noraxon MyoMotion-Verlaufskurven-Acromion RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Acromion RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Acromion RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder LT-x (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder LT-y (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder LT-z (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Medial humeral epicondyle RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Medial humeral epicondyle RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Medial humeral epicondyle RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Lateral humeral epicondyle RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Lateral humeral epicondyle RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Lateral humeral epicondyle RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Elbow RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Elbow RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Elbow RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Radial styloid process RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Radial styloid process RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Radial styloid process RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Ulnar styloid process RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Ulnar styloid process RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Ulnar styloid process RT-z (mm)
-1.225,Aktivität,,0,0.2676248709,-0.6692532151,-0.6379266482,0.2711579872,923.828125,-53.22265625,412.109375,-8.646638941,10.74521844,12.88447937,-44.82424075,-2.237732686,1.232701561,0.4866779826,-0.4879315397,-0.5069965185,0.5177083001,967.2851563,114.2578125,-212.890625,-3.851764179,-24.5307438,-3.304838001,-90.52522665,2.873711853,0.6726159155,0.632196519,-0.3193316207,-0.309266894,0.6345934649,980.9570313,-123.046875,-146.9726563,-15.72214365,-45.82759078,-1.665968518,-127.2188716,-0.1885175032,0.8168757685,3.97813239,-45.80770432,3.761342792,-1.29904268,-3.512847006,-1.23754454,0.5762950152,583.9700221,27.43049824,-25.57434319,901.0813392,50.11216404,-49.14097821,733.5486021,-20.15641421,21.408169,869.0517914,-79.83505164,-96.76987217,873.3887419,98.53436153,80.21090805,867.9859811,-85.80057988,-93.7179804,857.6039179,95.04618625,85.72086621,852.1261188,84.8281946,80.51421724,668.0043597,81.12472782,109.4082599,667.8817936,85.36711436,94.87058819,667.8441434,63.00611529,94.6786904,526.4504863,77.23315521,77.47124697,528.6688739
-1.215,,,0,0.2675267666,-0.6694254759,-0.6377713963,0.2711947776,915.5273438,-59.08203125,409.1796875,-3.67082797,15.42575494,4.419031749,-44.81973781,-2.258157294,1.252844912,0.4865624979,-0.487980089,-0.5070826693,0.5176867151,972.65625,123.5351563,-213.3789063,3.515566973,-29.8498745,2.969739777,-90.50951695,2.881171381,0.6762042404,0.6321040246,-0.3194140796,-0.3094964583,0.6345321821,990.7226563,-107.9101563,-144.0429688,-0.2907253442,-52.69030839,5.558554812,-127.1906168,-0.1811526124,0.8072774081,3.99632975,-45.7981503,3.784851617,-1.286529118,-3.508550591,-1.238598595,0.5817474536,583.9682483,27.42884724,-25.54723152,901.0891677,50.11177714,-49.14074236,733.5507295,-20.15365793,21.42364052,869.0360087,-79.84322161,-96.74670164,873.4319773,98.54255181,80.21487383,867.9410217,-85.80843499,-93.70215918,857.6456152,95.05491862,85.71721595,852.0783964,84.80744021,80.514019,667.9748258,81.11230408,109.4091403,667.8551352,85.35047689,94.87024482,667.8155084,62.96055536,94.69736027,526.4265566,77.17956859,77.48278713,528.6410886
-1.205,,,0,0.267428645,-0.6695976932,-0.6376161032,0.2712315505,912.5976563,-51.7578125,413.0859375,-5.094696634,7.627280586,3.030016383,-44.815242,-2.278583466,1.272986946,0.4864470015,-0.4880286266,-0.5071688081,0.517665118,977.5390625,130.3710938,-207.5195313,13.02381227,-29.2485749,7.282729838,-90.49380669,2.888629958,0.6797946455,0.6320114846,-0.3194965165,-0.3097260005,0.6344708535,985.8398438,-100.5859375,-135.7421875,9.881007807,-50.49523828,-1.112485607,-127.1623631,-0.1737830292,0.7976827282,4.014624323,-45.78860011,3.808362832,-1.274017154,-3.504253113,-1.239652194,0.587199482,583.9664734,27.42719783,-25.52011553,901.0969915,50.11139034,-49.1405065,733.552857,-20.1509011,21.43910413,869.0202272,-79.85139044,-96.72350848,873.47521,98.55074164,80.2188166,867.8960694,-85.81628963,-93.68631611,857.6873135,95.06364984,85.71354126,852.0306848,84.78668311,80.51381888,667.9452961,81.09987935,109.4100163,667.8284804,85.33383724,94.86989831,667.7868774,62.91500375,94.71604105,526.4026379,77.12598597,77.49434234,528.6133155
-1.195,,,0,0.267330506,-0.6697698671,-0.6374607689,0.2712683059,911.1328125,-47.36328125,416.015625,-5.724137515,2.919371006,2.713316054,-44.81075331,-2.2990112,1.293127669,0.4863314936,-0.4880771526,-0.5072549349,0.517643509,971.1914063,122.0703125,-209.9609375,5.158118346,-26.98630696,0.721058585,-90.47809589,2.896087585,0.6833871307,0.631918899,-0.3195789313,-0.3099555207,0.6344094789,991.6992188,-93.26171875,-121.5820313,25.3330696,-43.6139671,2.199249867,-127.1341107,-0.1664087553,0.7880917301,4.033014812,-45.77905374,3.831876439,-1.261506785,-3.499954572,-1.240705342,0.5926511048,583.9646975,27.42554999,-25.49299521,901.1048108,50.11100362,-49.14027063,733.5549846,-20.14814373,21.45455986,869.004447,-79.85955813,-96.70029266,873.5184402,98.558931,80.22273639,867.8511241,-85.82414382,-93.67045118,857.7290128,95.07237989,85.70984216,851.982984,84.76592329,80.51361691,667.9157705,81.08745362,109.4108879,667.8018294,85.31719542,94.86954869,667.7582503,62.86946044,94.73473275,526.3787301,77.07240732,77.50591263,528.5855546
-1.185,,,0,0.2672268754,-0.6699596487,-0.6372863949,0.2713114762,911.1328125,-50.29296875,417.96875,-2.402678154,4.465949656,3.675516852,-44.80645351,-2.321817354,1.31529562,0.4861987479,-0.4881656528,-0.5073358366,0.5176054694,964.3554688,113.7695313,-219.2382813,-7.384836242,-29.85915656,-4.990303928,-90.45840868,2.900987094,0.6897291151,0.6318265871,-0.3196228625,-0.3101998944,0.6343598467,994.6289063,-89.84375,-109.375,36.21912495,-36.0802056,3.348316857,-127.1079839,-0.1562584431,0.7750515705,4.049735036,-45.76551504,3.854197057,-1.246947254,-3.48887125,-1.24163174,0.5983749088,583.9626901,27.42367997,-25.46276036,901.1135297,50.11061965,-49.13996257,733.5573599,-20.14555834,21.47128878,868.986824,-79.86771069,-96.67562819,873.5659993,98.56685011,80.22805634,867.8016386,-85.8319235,-93.65400719,857.774856,95.08089509,85.70667296,851.9304346,84.75275098,80.50667816,667.8821787,81.0848934,109.4053113,667.7716554,85.30926585,94.86241874,667.7256728,62.82199474,94.74852879,526.3527581,77.01770896,77.51307856,528.5543417
-1.175,,,0,0.2671204313,-0.6701621754,-0.6370973319,0.2713601362,916.5039063,-38.57421875,421.875,-9.660282341,-4.514612516,9.619826156,-44.80247425,-2.346421372,1.33893871,0.4860546016,-0.4883012638,-0.507402004,0.5175480715,978.515625,116.6992188,-212.890625,-0.1569017997,-23.74592867,7.903795256,-90.43504531,2.901873673,0.6992691721,0.6317440389,-0.3196009579,-0.3104444006,0.6343334857,991.2109375,-104.9804688,-96.19140625,31.79784223,-16.50975497,0.744289664,-127.0877904,-0.1427013628,0.7577256231,4.062924055,-45.748087,3.873402329,-1.23016481,-3.468574368,-1.242289048,0.6041532246,583.9604968,27.42164913,-25.43016606,901.1229245,50.11024984,-49.13958861,733.5599222,-20.14321777,21.48885485,868.9678077,-79.87560726,-96.65016381,873.6167038,98.57427049,80.2346669,867.7488472,-85.83940079,-93.63742828,857.8237044,95.08894749,85.70413618,851.8743498,84.75174882,80.49126759,667.844974,81.09670506,109.3915393,667.7384626,85.31459173,94.84677371,667.6895952,62.77465251,94.75491779,526.3256458,76.96512069,77.51426007,528.5202646
-1.165,,,0,0.267012522,-0.6703725563,-0.6368987916,0.271412745,922.8515625,-36.1328125,419.4335938,-15.13616289,-2.576197262,14.22353842,-44.79877436,-2.372155806,1.363527482,0.4859074394,-0.4884892282,-0.5074421754,0.5174694898,975.0976563,110.8398438,-214.84375,-5.889845308,-21.61710022,4.368835539,-90.40872832,2.897219226,0.7123526246,0.6316826008,-0.3194797294,-0.310671901,0.6343443578,997.5585938,-118.1640625,-88.8671875,27.32824937,-2.722707225,8.081853967,-127.0781133,-0.1249284622,0.7350269938,4.070587497,-45.72745625,3.887477988,-1.21085712,-3.436269926,-1.242512554,0.6097829304,583.9581729,27.41954989,-25.3960548,901.1327405,50.10989455,-49.13916788,733.5626024,-20.14106534,21.50690519,868.9479173,-79.8832278,-96.62429178,873.669426,98.58126898,80.24218584,867.6939407,-85.84658069,-93.62087141,857.8744862,95.09658966,85.70208507,851.8160079,84.76798924,80.46575746,667.8045827,81.1276829,109.3679061,667.702772,85.33810521,94.82099003,667.6504515,62.72913838,94.75140385,526.2984345,76.91777549,77.50808014,528.4839281
-1.155,,,0,0.2669029742,-0.6705859672,-0.636696828,0.2714671477,915.5273438,-41.9921875,416.5039063,-10.65522683,2.285719648,6.633203562,-44.79512338,-2.398269308,1.388572584,0.4857671462,-0.4887330702,-0.5074437566,0.5173694035,970.2148438,107.421875,-199.7070313,1.139832731,-8.963643643,-3.67798656,-90.38052972,2.885519612,0.7292918855,0.6316540712,-0.3192216118,-0.3108650185,0.6344080999,985.3515625,-133.3007813,-76.171875,21.30003692,16.67078797,-3.126212703,-127.0839261,-0.1019066876,0.7056304204,4.070650336,-45.7048415,3.894340157,-1.188693116,-3.388861487,-1.242125767,0.6150710687,583.955785,27.41751171,-25.3613463,901.1426935,50.10954208,-49.13873317,733.5653224,-20.13890103,21.52518667,868.9277397,-79.89079307,-96.59811296,873.7231333,98.58825833,80.24993946,867.6380277,-85.85372315,-93.60417359,857.9262339,95.10420397,85.70010178,851.756613,84.80673688,80.42840159,667.7613985,81.18264827,109.3326072,667.6651094,85.38484788,94.78332917,667.6086482,62.68646196,94.7353235,526.2722873,76.87823881,77.49308972,528.445962
-1.145,,,0,0.2667904255,-0.6707975609,-0.6364982901,0.2715205846,906.7382813,-43.9453125,420.4101563,-3.960839203,-0.3598900291,0.4171044545,-44.79113091,-2.423933249,1.413599661,0.4856434639,-0.489035029,-0.5073936408,0.5172493206,972.1679688,108.3984375,-189.9414063,8.443760928,-1.615348045,-3.574080989,-90.35172101,2.865429402,0.7504608587,0.6316684252,-0.3187887865,-0.3110089942,0.63454087,992.1875,-147.4609375,-71.77734375,14.29837303,28.93564305,5.132347211,-127.1099858,-0.07234050182,0.6680789925,4.061048617,-45.68182011,3.891876615,-1.163494769,-3.323111198,-1.240962271,0.6198176786,583.9534103,27.41568748,-25.32704317,901.1524722,50.10917042,-49.13832911,733.5679962,-20.13640788,21.54352255,868.9079236,-79.89872963,-96.57149323,873.7768316,98.59592985,80.25700247,867.5821895,-85.86130366,-93.58690793,857.9780279,95.11244831,85.6975391,851.697349,84.87295989,80.37707026,667.7158509,81.26603179,109.2834432,667.6260325,85.45951733,94.73167119,667.5646124,62.64656668,94.7035278,526.2485272,76.84794945,77.46730703,528.4071005
-1.135,,,0,0.266672862,-0.6710024905,-0.6363105833,0.2715696667,903.8085938,-43.9453125,419.921875,-3.339327039,-0.02444705183,-2.440781694,-44.78629127,-2.448278321,1.438116107,0.4855441157,-0.4893963231,-0.5072795386,0.5171127733,984.8632813,100.5859375,-187.9882813,4.342914913,7.868206066,7.636858143,-90.32358325,2.835941074,0.7763577331,0.6317308812,-0.3181487363,-0.311094969,0.6347577456,980.9570313,-186.5234375,-76.171875,-20.32879805,48.88520284,0.03341011663,-127.1600304,-0.03466677066,0.6209926055,4.039903804,-45.6601011,3.878075245,-1.135434379,-3.235932421,-1.23889586,0.6238029238,583.9511343,27.41421702,-25.29421764,901.1617512,50.1087496,-49.1380091,733.5705336,-20.13319868,21.56178603,868.8891499,-79.90762516,-96.54413803,873.8294897,98.60516017,80.26226726,867.5275485,-85.86995748,-93.56846365,858.028914,95.12217209,85.69358617,851.6394458,84.97066543,80.30911673,667.6685056,81.38129367,109.2176972,667.5861609,85.56584472,94.66337945,667.5188586,62.6080105,94.65211931,526.2286585,76.82664895,77.42776617,528.3682839
