"type","begin_time","frequency","count","created with version","exported with version","project","last_name","first_name","born","sex","measurement_date","record_name"
"record","-1.240","100","2000","Noraxon MR3 3.16.08","3.16.08","Project 1","MyoMetrics Demo Record","","","male","2020-06-25T15:24:54.883Z","EXGAVINE flexion_nn180_gebeugt_"

time,Activity,Marker,Noraxon MyoMotion-Analogs-Noraxon MyoMotion.Sync (An),Noraxon MyoMotion-Segmente-Oberer Thorax-Orientierung-x,Noraxon MyoMotion-Segmente-Oberer Thorax-Orientierung-y,Noraxon MyoMotion-Segmente-Oberer Thorax-Orientierung-z,Noraxon MyoMotion-Segmente-Oberer Thorax-Orientierung-w,Noraxon MyoMotion-Segmente-Oberer Thorax-Sensor-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Sensor-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Sensor-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Scheren (Grad),Noraxon MyoMotion-Segmente-Oberer Thorax-Neigen (Grad),Noraxon MyoMotion-Segmente-Oberer Thorax-Rollen (Grad),Noraxon MyoMotion-Segmente-Oberarm RT-Orientierung-x,Noraxon MyoMotion-Segmente-Oberarm RT-Orientierung-y,Noraxon MyoMotion-Segmente-Oberarm RT-Orientierung-z,Noraxon MyoMotion-Segmente-Oberarm RT-Orientierung-w,Noraxon MyoMotion-Segmente-Oberarm RT-Sensor-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Sensor-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Sensor-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Scheren (Grad),Noraxon MyoMotion-Segmente-Oberarm RT-Neigen (Grad),Noraxon MyoMotion-Segmente-Oberarm RT-Rollen (Grad),Noraxon MyoMotion-Segmente-Unterarm RT-Orientierung-x,Noraxon MyoMotion-Segmente-Unterarm RT-Orientierung-y,Noraxon MyoMotion-Segmente-Unterarm RT-Orientierung-z,Noraxon MyoMotion-Segmente-Unterarm RT-Orientierung-w,Noraxon MyoMotion-Segmente-Unterarm RT-Sensor-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Sensor-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Sensor-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Scheren (Grad),Noraxon MyoMotion-Segmente-Unterarm RT-Neigen (Grad),Noraxon MyoMotion-Segmente-Unterarm RT-Rollen (Grad),Noraxon MyoMotion-Gelenke-Schulter RT-Total Flexion (Grad),Noraxon MyoMotion-Gelenke-Schulter RT-Rotation Ext (Grad),Noraxon MyoMotion-Gelenke-Schulter RT-Flexion (Grad),Noraxon MyoMotion-Gelenke-Schulter RT-Abduktion (Grad),Noraxon MyoMotion-Gelenke-Ellbogen RT-Flexion (Grad),Noraxon MyoMotion-Verlaufskurven-Body center of mass-x (mm),Noraxon MyoMotion-Verlaufskurven-Body center of mass-y (mm),Noraxon MyoMotion-Verlaufskurven-Body center of mass-z (mm),Noraxon MyoMotion-Verlaufskurven-7th cervical vertebrae-x (mm),Noraxon MyoMotion-Verlaufskurven-7th cervical vertebrae-y (mm),Noraxon MyoMotion-Verlaufskurven-7th cervical vertebrae-z (mm),Noraxon MyoMotion-Verlaufskurven-10th thoracic vertebrae-x (mm),Noraxon MyoMotion-Verlaufskurven-10th thoracic vertebrae-y (mm),Noraxon MyoMotion-Verlaufskurven-10th thoracic vertebrae-z (mm),Noraxon MyoMotion-Verlaufskurven-Jugular notch-x (mm),Noraxon MyoMotion-Verlaufskurven-Jugular notch-y (mm),Noraxon MyoMotion-Verlaufskurven-Jugular notch-z (mm),Noraxon MyoMotion-Verlaufskurven-Acromion LT-x (mm),Noraxon MyoMotion-Verlaufskurven-Acromion LT-y (mm),Noraxon MyoMotion-Verlaufskurven-Acromion LT-z (mm),Noraxon MyoMotion-Verlaufskurven-Acromion RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Acromion RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Acromion RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder LT-x (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder LT-y (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder LT-z (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Medial humeral epicondyle RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Medial humeral epicondyle RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Medial humeral epicondyle RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Lateral humeral epicondyle RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Lateral humeral epicondyle RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Lateral humeral epicondyle RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Elbow RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Elbow RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Elbow RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Radial styloid process RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Radial styloid process RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Radial styloid process RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Ulnar styloid process RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Ulnar styloid process RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Ulnar styloid process RT-z (mm)
-1.235,Aktivität,,0,0.2544044834,-0.646947174,-0.6690021854,0.263009104,916.015625,-60.546875,401.3671875,-8.569007293,-10.33373603,1.831300435,-42.92825407,1.918359018,-0.005063067915,0.4982616788,-0.510991535,-0.5405651316,0.4454349436,997.0703125,114.7460938,-122.0703125,-11.8511075,-3.754467693,10.97106315,-83.76646651,-1.074593717,-4.788250287,0.6733758557,-0.2077577061,-0.2692889148,0.6564184434,987.7929688,-208.0078125,-107.421875,-8.285564446,16.68845443,14.98497689,-140.5479681,0.3898082533,-5.158740574,4.336664382,-40.95553602,0.4062928687,4.317734421,5.605267581,-0.4054365421,0.6314730811,584.4507117,28.5489911,-30.16596425,899.5934067,48.63533418,-50.72075415,733.1438766,-18.45380842,20.36889321,872.4875468,-81.95360199,-95.87299695,871.0742156,102.0729073,75.30316186,871.0964126,-88.33767959,-91.57029682,855.7512733,98.2447534,81.98330864,855.7737785,102.5348267,93.08630656,671.2669334,102.248748,122.2013948,672.175881,104.7463137,107.2808432,671.4812836,70.73682861,110.0723631,532.6745795,88.63628082,96.54387827,532.549171
-1.225,,,0,0.2544085432,-0.6469461489,-0.6690041064,0.2630028123,916.015625,-66.40625,399.4140625,-5.667353224,-4.968807439,1.483499947,-42.92807365,1.918274251,-0.005928110689,0.4982862867,-0.5109345353,-0.5405485721,0.4454928937,997.5585938,116.2109375,-107.9101563,-0.2174668797,4.539029551,10.07528516,-83.77559516,-1.070728255,-4.788339889,0.6733573643,-0.2077276193,-0.269354017,0.6564202234,978.0273438,-221.1914063,-100.5859375,-18.23137258,29.15291378,7.173460143,-140.5450532,0.3940945016,-5.165444061,4.33333332,-40.96463035,0.4100554076,4.314035202,5.608823653,-0.4064707198,0.6315482381,584.4507446,28.54829081,-30.16653029,899.5934339,48.6353096,-50.7207786,733.1438849,-18.45399724,20.36874814,872.487472,-81.95419855,-95.87289697,871.0723065,102.0729359,75.30258913,871.0982959,-88.33807569,-91.57003264,855.7493268,98.24499122,81.98289076,855.7756771,102.5206583,93.0882453,671.2673072,102.2301376,122.2032472,672.1776133,104.7299456,107.2831197,671.4819709,70.70142598,110.0787123,532.680157,88.60016162,96.54930471,532.5520563
-1.215,,,0,0.2544126029,-0.6469451238,-0.6690060272,0.2629965206,911.6210938,-60.546875,391.1132813,-13.54998062,-4.548065248,-6.277576715,-42.92789323,1.918189486,-0.006793153689,0.4983108909,-0.5108775317,-0.5405320085,0.4455508404,993.1640625,116.6992188,-117.1875,-6.690738108,-2.621820537,6.814199808,-83.78472381,-1.066862808,-4.788430106,0.6733388691,-0.2076975313,-0.2694191177,0.6564219998,980.46875,-209.4726563,-96.19140625,-5.475643279,27.13253316,6.818947505,-140.5421389,0.3983810902,-5.172147332,4.330005482,-40.97372462,0.4138174561,4.310335397,5.612379483,-0.407504904,0.6316233096,584.4507776,28.54759052,-30.16709634,899.5934611,48.63528502,-50.72080305,733.1438932,-18.45418607,20.36860305,872.4873972,-81.95479508,-95.87279699,871.0703974,102.0729646,75.30201636,871.1001792,-88.33847176,-91.56976846,855.7473803,98.24522902,81.98247286,855.7775757,102.5064894,93.09018179,671.2676814,102.2115269,122.2050964,672.1793475,104.7135771,107.2853936,671.4826592,70.66602376,110.0850599,532.6857382,88.56404241,96.55472953,532.5549454
-1.205,,,0,0.2544166627,-0.6469440986,-0.6690079481,0.2629902288,919.4335938,-55.17578125,401.8554688,-13.1949974,-13.62427597,4.753994301,-42.92771281,1.918104724,-0.007658196915,0.4983354913,-0.5108205243,-0.5405154409,0.4456087838,1000.976563,125.4882813,-112.3046875,3.037277788,-4.612067204,15.0286863,-83.79385246,-1.062997375,-4.788520939,0.6733203703,-0.2076674421,-0.2694842169,0.6564237726,978.0273438,-204.5898438,-98.6328125,-2.919379997,22.54094376,3.795947424,-140.539225,0.4026680193,-5.178850388,4.326680875,-40.98281882,0.417579014,4.306635009,5.615935072,-0.4085390946,0.6316982956,584.4508106,28.54689022,-30.16766241,899.5934884,48.63526043,-50.7208275,733.1439015,-18.45437489,20.36845796,872.4873224,-81.95539159,-95.872697,871.0684883,102.0729932,75.30144357,871.1020625,-88.3388678,-91.56950426,855.7454338,98.2454668,81.98205493,855.7794743,102.4923199,93.09211603,671.268056,102.1929161,122.2069427,672.1810835,104.697208,107.2876649,671.4833487,70.63062195,110.0914057,532.6913232,88.5279232,96.56015272,532.5578385
-1.195,,,0,0.2544237082,-0.6469431671,-0.6690096188,0.2629814542,919.921875,-56.640625,392.578125,-18.11021743,-6.249640924,1.606191447,-42.9275817,1.917831874,-0.008926315403,0.4983688443,-0.5107548501,-0.5404911609,0.4456762089,995.1171875,120.6054688,-104.9804688,5.322295185,2.812418281,7.863362885,-83.80496966,-1.05911801,-4.788601724,0.6732978643,-0.2076361421,-0.2695610271,0.6564252213,979.9804688,-204.5898438,-101.5625,-3.648034491,19.94388958,6.043039743,-140.5354252,0.4076306469,-5.186435936,4.322895339,-40.99384132,0.4216775219,4.302434817,5.620457689,-0.4097313416,0.6317593866,584.4508298,28.54579959,-30.16835817,899.5935772,48.63523115,-50.72085286,733.1439271,-18.45478549,20.36821843,872.4870826,-81.95612669,-95.87272773,871.0656682,102.0727759,75.30085496,871.1048019,-88.33929198,-91.56933824,855.7425394,98.24556762,81.98165533,855.7822166,102.477492,93.09413325,671.2687879,102.1726687,122.2088538,672.1834045,104.6796985,107.2900927,671.4844551,70.59142217,110.0985381,532.6980311,88.48779208,96.56608381,532.5614981
-1.185,,,0,0.2544344911,-0.646942519,-0.6690106878,0.2629698966,915.5273438,-61.03515625,395.5078125,-11.72009879,-6.171297584,-0.9171247732,-42.92753978,1.917298909,-0.01066144069,0.4984121863,-0.5106810763,-0.5404576821,0.4457528741,993.1640625,112.7929688,-105.46875,-0.2348547254,7.825236889,5.066901544,-83.81817674,-1.055432943,-4.788649789,0.6732714458,-0.2076052973,-0.2696487954,0.6564260263,987.7929688,-200.1953125,-109.375,-1.627838592,11.12977483,13.73047756,-140.5306586,0.4131750013,-5.194730149,4.31869267,-41.00686104,0.4260173604,4.297787037,5.625950536,-0.4110713765,0.6317992707,584.4508259,28.54423708,-30.16916748,899.5937513,48.63519796,-50.72087667,733.1439766,-18.45548735,20.36786527,872.4866149,-81.95699083,-95.87295044,871.0617864,102.0722093,75.30031055,871.1085271,-88.33971195,-91.5693383,855.7385351,98.24544925,81.98132909,855.785925,102.4625598,93.09612744,671.2699392,102.1512859,122.2107228,672.186366,104.6615774,107.2925745,671.4860448,70.54942765,110.106312,532.7058128,88.44463373,96.57235274,532.565945
-1.175,,,0,0.2544494965,-0.6469425429,-0.6690106675,0.2629553702,918.9453125,-55.6640625,394.53125,-17.26056106,-8.478058511,1.421029339,-42.92761296,1.91641985,-0.0128886365,0.4984662417,-0.5105999186,-0.5404140576,0.4458382838,991.2109375,109.375,-120.1171875,-13.25335663,0.4143753965,4.3477131,-83.83349319,-1.052109445,-4.78864874,0.6732414233,-0.2075764578,-0.269746346,0.6564258595,980.9570313,-203.6132813,-108.3984375,-5.343630793,13.56380355,7.607441197,-140.5248904,0.4191796784,-5.203542023,4.314140313,-41.02187666,0.430546891,4.292763637,5.632352041,-0.4125469193,0.6318194985,584.4507887,28.54213552,-30.17004149,899.5940389,48.63516108,-50.72089649,733.1440578,-18.45653336,20.36740509,872.4858439,-81.95798401,-95.87338743,871.0567756,102.071218,75.29986853,871.1132805,-88.34010902,-91.56954184,855.7333415,98.24505413,81.98112046,855.7906313,102.4479853,93.09802902,671.2715225,102.1292178,122.2124796,672.1899702,104.6433019,107.2950412,671.4881345,70.50564263,110.1146133,532.7145492,88.39944473,96.57883488,532.5711366
-1.165,,,0,0.2544688018,-0.6469438485,-0.6690089242,0.2629379111,922.8515625,-58.59375,387.2070313,-21.04597956,-0.5779929933,2.284516325,-42.92780992,1.915099686,-0.01557426309,0.4985307923,-0.510512489,-0.5403603876,0.4459312718,987.3046875,113.28125,-119.140625,-9.952384044,-2.55352234,0.8456952308,-83.85076533,-1.049253492,-4.788602471,0.6732081126,-0.2075510542,-0.2698524588,0.6564244416,976.0742188,-200.1953125,-103.0273438,-0.8487513436,16.50059712,1.569112509,-140.5180996,0.4255278742,-5.212685173,4.309351496,-41.0387281,0.4352714988,4.287477081,5.63955411,-0.414142467,0.6318339477,584.450707,28.5394583,-30.17088938,899.5944713,48.63512026,-50.7209099,733.1441793,-18.45794982,20.36687686,872.4846865,-81.95911146,-95.87401293,871.0506958,102.0697672,75.29958635,871.1189749,-88.34047841,-91.56994889,855.7270074,98.24435692,81.9810615,855.7962348,102.4341079,93.0998529,671.2734874,102.1068775,122.2141399,672.194143,104.625248,107.2975015,671.4906717,70.46097445,110.1233954,532.7240533,88.35312808,96.5854776,532.5769606
-1.155,,,0,0.2544919286,-0.6469472513,-0.6690047025,0.2629178964,922.8515625,-58.59375,393.5546875,-17.1207258,-4.935627185,4.816424196,-42.92811931,1.913245304,-0.0186070486,0.4986042655,-0.510420578,-0.5402982989,0.4460295597,982.9101563,111.328125,-120.6054688,-12.22678643,-2.849988703,-3.559139223,-83.86957396,-1.046895692,-4.788548493,0.6731716989,-0.2075305328,-0.2699661427,0.6564215288,972.1679688,-201.171875,-106.9335938,-4.305948455,13.53400056,-1.594388105,-140.5102448,0.4321221841,-5.221984897,4.304509017,-41.05700714,0.4402553576,4.282103766,5.647404774,-0.4158358585,0.6318713415,584.450571,28.53621891,-30.17157394,899.5950794,48.63507502,-50.72091445,733.1443494,-18.45972498,20.36635597,872.4830614,-81.96037713,-95.87474672,871.0437776,102.0678753,75.29952,871.1253528,-88.34082835,-91.57051686,855.7197545,98.24337206,81.98117023,855.8024626,102.4211343,93.10173991,671.275709,102.0846768,122.2158473,672.1987151,104.6077232,107.3000806,671.4935184,70.41621137,110.1327212,532.7340625,88.30646288,96.59233101,532.5832246
-1.145,,,0,0.2545177063,-0.6469537067,-0.668997222,0.2628960926,923.3398438,-61.03515625,397.4609375,-13.23905239,-5.754038836,6.999787846,-42.92850207,1.910783221,-0.02178873279,0.4986835345,-0.5103267387,-0.5402313052,0.4461294532,985.3515625,117.1875,-104.4921875,3.71509993,3.884147518,-2.232321351,-83.88918031,-1.044978005,-4.788579731,0.6731322987,-0.2075164828,-0.2700865634,0.6564168387,976.0742188,-192.3828125,-104.0039063,5.601887712,11.67650352,0.1905406915,-140.501259,0.4388690899,-5.231266604,4.299884744,-41.07601143,0.4456246016,4.276902951,5.655679013,-0.4175939973,0.631977409,584.450374,28.53249718,-30.17191922,899.5958873,48.63502449,-50.72090829,733.1445746,-18.46179533,20.36595561,872.4809044,-81.96178552,-95.87544451,871.0364451,102.0656344,75.29971007,871.1319692,-88.34118629,-91.57114836,855.7120033,98.24217,81.98143892,855.8088541,102.4091303,93.10401836,671.2779896,102.0630439,122.2179358,672.2034225,104.5909709,107.3030794,671.4964542,70.37207322,110.1428359,532.7442295,88.26015375,96.59961996,532.5896509
