"type","begin_time","frequency","count","created with version","exported with version","project","last_name","first_name","born","sex","measurement_date","record_name"
"record","-1.260","100","2000","Noraxon MR3 3.16.08","3.16.08","Project 1","MyoMetrics Demo Record","","","male","2020-06-25T15:33:35.096Z","EXGAVINE abduktion_kreisend_gestreckt_-3"

time,Activity,Marker,Noraxon MyoMotion-Analogs-Noraxon MyoMotion.Sync (An),Noraxon MyoMotion-Segmente-Oberer Thorax-Orientierung-x,Noraxon MyoMotion-Segmente-Oberer Thorax-Orientierung-y,Noraxon MyoMotion-Segmente-Oberer Thorax-Orientierung-z,Noraxon MyoMotion-Segmente-Oberer Thorax-Orientierung-w,Noraxon MyoMotion-Segmente-Oberer Thorax-Sensor-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Sensor-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Sensor-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Scheren (Grad),Noraxon MyoMotion-Segmente-Oberer Thorax-Neigen (Grad),Noraxon MyoMotion-Segmente-Oberer Thorax-Rollen (Grad),Noraxon MyoMotion-Segmente-Oberarm RT-Orientierung-x,Noraxon MyoMotion-Segmente-Oberarm RT-Orientierung-y,Noraxon MyoMotion-Segmente-Oberarm RT-Orientierung-z,Noraxon MyoMotion-Segmente-Oberarm RT-Orientierung-w,Noraxon MyoMotion-Segmente-Oberarm RT-Sensor-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Sensor-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Sensor-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Scheren (Grad),Noraxon MyoMotion-Segmente-Oberarm RT-Neigen (Grad),Noraxon MyoMotion-Segmente-Oberarm RT-Rollen (Grad),Noraxon MyoMotion-Segmente-Unterarm RT-Orientierung-x,Noraxon MyoMotion-Segmente-Unterarm RT-Orientierung-y,Noraxon MyoMotion-Segmente-Unterarm RT-Orientierung-z,Noraxon MyoMotion-Segmente-Unterarm RT-Orientierung-w,Noraxon MyoMotion-Segmente-Unterarm RT-Sensor-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Sensor-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Sensor-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Scheren (Grad),Noraxon MyoMotion-Segmente-Unterarm RT-Neigen (Grad),Noraxon MyoMotion-Segmente-Unterarm RT-Rollen (Grad),Noraxon MyoMotion-Gelenke-Schulter RT-Total Flexion (Grad),Noraxon MyoMotion-Gelenke-Schulter RT-Rotation Ext (Grad),Noraxon MyoMotion-Gelenke-Schulter RT-Flexion (Grad),Noraxon MyoMotion-Gelenke-Schulter RT-Abduktion (Grad),Noraxon MyoMotion-Gelenke-Ellbogen RT-Flexion (Grad),Noraxon MyoMotion-Verlaufskurven-Body center of mass-x (mm),Noraxon MyoMotion-Verlaufskurven-Body center of mass-y (mm),Noraxon MyoMotion-Verlaufskurven-Body center of mass-z (mm),Noraxon MyoMotion-Verlaufskurven-7th cervical vertebrae-x (mm),Noraxon MyoMotion-Verlaufskurven-7th cervical vertebrae-y (mm),Noraxon MyoMotion-Verlaufskurven-7th cervical vertebrae-z (mm),Noraxon MyoMotion-Verlaufskurven-10th thoracic vertebrae-x (mm),Noraxon MyoMotion-Verlaufskurven-10th thoracic vertebrae-y (mm),Noraxon MyoMotion-Verlaufskurven-10th thoracic vertebrae-z (mm),Noraxon MyoMotion-Verlaufskurven-Jugular notch-x (mm),Noraxon MyoMotion-Verlaufskurven-Jugular notch-y (mm),Noraxon MyoMotion-Verlaufskurven-Jugular notch-z (mm),Noraxon MyoMotion-Verlaufskurven-Acromion LT-x (mm),Noraxon MyoMotion-Verlaufskurven-Acromion LT-y (mm),Noraxon MyoMotion-Verlaufskurven-Acromion LT-z (mm),Noraxon MyoMotion-Verlaufskurven-Acromion RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Acromion RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Acromion RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder LT-x (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder LT-y (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder LT-z (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Medial humeral epicondyle RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Medial humeral epicondyle RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Medial humeral epicondyle RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Lateral humeral epicondyle RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Lateral humeral epicondyle RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Lateral humeral epicondyle RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Elbow RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Elbow RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Elbow RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Radial styloid process RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Radial styloid process RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Radial styloid process RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Ulnar styloid process RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Ulnar styloid process RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Ulnar styloid process RT-z (mm)
-1.255,Aktivität,,0,0.2556041541,-0.6896412858,-0.6250228711,0.261548894,880.3710938,-55.6640625,478.0273438,-12.17694036,3.598277822,1003.245068,-43.0438947,-4.696473897,2.371109455,0.5016004235,-0.5418660683,-0.4981834526,0.4545232961,996.09375,77.63671875,9.27734375,15.10519459,11.03241385,998.982686,-85.16626136,-5.189129974,-0.4140329193,0.6614219868,-0.2267632138,-0.2780073251,0.6586435511,991.6992188,-118.1640625,-88.8671875,11.06312147,5.185443066,1002.585748,-138.1919773,1.272002066,-3.960290115,6.25757578,-42.0090697,1.124602511,6.157262896,9.116536944,-0.5349281122,1.12161517,583.780755,25.59018013,-24.05589207,901.9770018,47.8285843,-51.3005828,733.8033161,-19.96194871,22.93573958,867.1265681,-83.51864028,-92.96418091,875.7378227,100.5853403,77.81451938,865.3747245,-89.14785164,-90.4351906,859.738497,97.51312867,82.71543608,849.2314668,113.34341,80.05401941,666.4175671,112.6252588,109.1730915,666.8179307,115.3445047,94.28132694,666.3887327,82.1663524,94.98586914,527.4638496,99.49832238,80.74085163,527.7929549
-1.245,,,0,0.2558935639,-0.6895612477,-0.6250080075,0.2615124474,878.4179688,-63.96484375,476.5625,-6.67369946,10.19250875,1001.335618,-43.06484302,-4.700802098,2.345444998,0.502038146,-0.5427196029,-0.4976150708,0.4536434436,1001.953125,77.1484375,7.8125,11.78742542,10.33574966,1004.826955,-85.12351067,-5.346216261,-0.4167017505,0.6616288499,-0.2258772057,-0.2778895388,0.6587899189,980.46875,-123.5351563,-96.6796875,1.658374532,1.077547755,992.9365313,-138.2794194,1.286599248,-4.021218495,6.314365087,-41.93907628,1.009048026,6.234501447,9.334162375,-0.5228852333,1.11613053,583.7823607,25.5738597,-24.06487617,901.9784353,47.8298018,-51.2994022,733.8037185,-19.98400567,22.91712664,867.1225185,-83.49730719,-93.01049708,875.6808424,100.5418459,77.84482923,865.4299131,-89.12149189,-90.47977728,859.6800223,97.47376053,82.74853967,849.286719,113.8149211,80.01862825,666.490127,113.1233237,109.1382551,666.8968444,115.828801,94.24413393,666.4624377,82.51195988,94.97145252,527.576502,99.8656175,80.75232676,527.8815383
-1.235,,,0,0.2561829494,-0.6894811466,-0.6249930866,0.2614759771,874.5117188,-54.19921875,479.9804688,-10.23993982,0.02028769378,998.9918394,-43.08578948,-4.705139641,2.319782042,0.5024748292,-0.5435720014,-0.4970456695,0.452762772,1022.949219,84.47265625,19.53125,22.27347306,14.53041897,1026.272363,-85.0807491,-5.503292304,-0.4194827429,0.6618351277,-0.2249910037,-0.2777715065,0.6589357345,977.5390625,-121.5820313,-88.8671875,7.712319095,6.377752058,989.0207432,-138.3668779,1.301105548,-4.082168008,6.37345011,-41.86913428,0.8933170541,6.311551745,9.551831411,-0.5108498688,1.11062876,583.7840213,25.55753575,-24.07385259,901.979873,47.83101881,-51.29822019,733.8041217,-20.00606019,22.89852046,867.1184687,-83.47594063,-93.05677575,875.6238714,100.4983119,77.87512232,865.4851053,-89.09509881,-90.52432408,859.6215594,97.43435165,82.78162814,849.3419772,114.2862638,79.98285315,666.5641322,113.6212054,109.1030099,666.9771234,116.3129179,94.20654666,666.5375459,82.85735187,94.95641952,527.6907046,100.2326352,80.76323069,527.971665
-1.225,,,0,0.2564723108,-0.6894009825,-0.6249781083,0.2614394828,868.1640625,-62.98828125,488.28125,3.062286959,-0.5898950947,998.0406888,-43.10673407,-4.709486523,2.294120586,0.5029104734,-0.5444232641,-0.4964752489,0.4518812814,1015.136719,80.078125,3.90625,6.455665758,5.820868636,1018.260656,-85.03797596,-5.660358341,-0.4223759931,0.6620408202,-0.2241046079,-0.2776532282,0.6590809981,977.0507813,-103.515625,-73.73046875,31.61706867,9.017382724,984.7329301,-138.4543529,1.315520928,-4.143138574,6.43476888,-41.79924353,0.777409402,6.388414686,9.769543884,-0.4988221481,1.10510988,583.7857368,25.54120819,-24.08282131,901.9813151,47.83223533,-51.29703676,733.8045258,-20.02811238,22.87992107,867.1144186,-83.4545407,-93.10301691,875.5669098,100.4547382,77.90539865,865.5403013,-89.06867251,-90.56883097,859.5631083,97.39490195,82.81470148,849.3972413,114.7574348,79.94669449,666.6395823,114.1189008,109.0673564,667.0587671,116.7968523,94.16856552,666.6140569,83.20252558,94.94077052,527.806457,100.5993725,80.77356374,528.0633346
-1.215,,,0,0.2568791549,-0.689277016,-0.6249678668,0.2613913931,867.6757813,-79.1015625,495.1171875,18.34946405,6.530454533,1001.938121,-43.13638368,-4.713849342,2.257635005,0.5034615254,-0.5454526908,-0.4957995619,0.4507667345,1016.601563,52.24609375,-33.69140625,-42.52279885,-1.209714949,1017.611837,-84.98371409,-5.853446264,-0.4312922479,0.6623207243,-0.2230007166,-0.2774722386,0.6592504041,979.4921875,-108.8867188,-62.5,34.40459887,20.94821724,986.6838443,-138.5660646,1.329603554,-4.217591841,6.511884198,-41.70799973,0.6367399015,6.481209164,10.03487927,-0.4847026968,1.097940912,583.7880128,25.51921655,-24.09694383,901.9827273,47.83398301,-51.295386,733.8049149,-20.0588917,22.85301985,867.110108,-83.42355851,-93.16922281,875.4860573,100.3933759,77.94771839,865.6188901,-89.0308882,-90.63218033,859.4803237,97.33905923,82.86138505,849.4761126,115.332319,79.91954827,666.7413959,114.7267825,109.0407948,667.1688518,117.3876247,94.13913489,666.7176181,83.62924423,94.94151167,527.9567981,101.0535318,80.80756488,528.1843247
-1.205,,,0,0.2574208488,-0.6891032233,-0.6249627897,0.261328846,875.9765625,-72.265625,485.3515625,4.44651072,10.13346541,1003.9925,-43.1759312,-4.718338274,2.208657572,0.5041377443,-0.5466489054,-0.4950321148,0.4494032868,1034.667969,46.875,4.8828125,-24.01072413,31.83668935,1034.972861,-84.91727643,-6.082466523,-0.4492757578,0.6626831991,-0.2216755193,-0.2772196772,0.6594393015,1013.183594,-97.65625,-53.22265625,55.46790364,22.7817471,1017.504149,-138.7030411,1.342097807,-4.305539756,6.606754645,-41.59373134,0.4730882455,6.590092337,10.34715643,-0.4687646589,1.089200263,583.7908911,25.49058532,-24.1169676,901.9841445,47.83633025,-51.2932021,733.8052971,-20.09967976,22.81665757,867.1054235,-83.38170905,-93.25811826,875.3776362,100.3116218,78.00370118,865.7244838,-88.98016413,-90.71692437,859.3694547,97.26446297,82.92353145,849.5822309,116.0094941,79.91091476,666.873277,115.4435015,109.0327987,667.3113668,118.0838494,94.12773904,666.8521045,84.13793116,94.96942961,528.1452373,101.5957271,80.87637608,528.3381604
-1.195,,,0,0.2581097816,-0.6888767943,-0.6249616429,0.2612490151,876.4648438,-74.70703125,479.0039063,2.192837027,15.76946541,1001.480414,-43.22617515,-4.723299887,2.146028766,0.5049467785,-0.5479867402,-0.4941963537,0.4477825894,1017.578125,61.5234375,15.13671875,-10.31176045,28.50441161,1019.097964,-84.83843568,-6.345374771,-0.4800986328,0.6631334924,-0.2201371371,-0.2768913885,0.6596398799,1008.789063,-76.66015625,-43.45703125,78.80694472,19.1088088,1009.378514,-138.8648517,1.351573744,-4.406423779,6.721153652,-41.45577542,0.2903959401,6.714991495,10.70316549,-0.4514273272,1.079199822,583.7943768,25.45444821,-24.14321879,901.9856876,47.83931747,-51.29043555,733.8057056,-20.15141854,22.77012946,867.1000846,-83.3281873,-93.37138312,875.2390811,100.2075854,78.07446621,865.8595912,-88.91543967,-90.8246684,859.2278634,97.16944099,83.00237328,849.7181028,116.7820533,79.93308475,667.0379626,116.2618532,109.0556197,667.4893439,118.878476,94.14667669,667.020445,84.72466253,95.03831184,528.3739562,102.2218565,80.99371443,528.5272649
-1.185,,,0,0.2589493314,-0.6885991999,-0.6249614099,0.2611505732,877.4414063,-61.03515625,489.7460938,-1.16120408,-0.5815170021,1006.716575,-43.28731388,-4.729246462,2.069539246,0.5058919936,-0.5494284788,-0.4933255152,0.4459053415,1006.347656,97.65625,64.94140625,45.9409092,38.23796377,1011.393606,-84.74733092,-6.638044421,-0.5279560728,0.6636727347,-0.2184074376,-0.2764894933,0.6598410813,1026.855469,-76.171875,-10.7421875,100.863867,46.22998584,1023.737746,-139.0493183,1.356511767,-4.519061865,6.856424111,-41.29458507,0.09461150516,6.855783686,11.09703823,-0.4331907842,1.068510738,583.7984375,25.41036098,-24.17540895,901.9875398,47.84294777,-51.28706302,733.806192,-20.21442355,22.71341928,867.0937088,-83.2628185,-93.50911843,875.0699197,100.0806005,78.16035487,866.0246665,-88.83641769,-90.95558324,859.0550301,97.05343765,83.0981883,849.8841484,117.6375413,80.00015438,667.2364461,117.1687717,109.1233064,667.7040591,119.7587546,94.21007295,667.2238332,85.38110863,95.16394748,528.6430112,102.9229815,81.17478043,528.7521813
-1.175,,,0,0.2599289177,-0.6882773626,-0.624957262,0.2610357267,905.2734375,-45.8984375,504.3945313,-14.19673986,-13.00213938,1037.145073,-43.35871189,-4.736738317,1.980482935,0.5069694704,-0.5509271379,-0.492461655,0.4437823376,1020.507813,127.4414063,88.37890625,76.63197987,35.16791092,1028.775532,-84.64424566,-6.954292831,-0.5969890757,0.664297027,-0.2165228759,-0.276023424,0.6600290702,1054.199219,-70.3125,10.25390625,123.0026376,60.69979595,1047.650165,-139.2523633,1.355435638,-4.641618206,7.0133612,-41.11170721,-0.1067314422,7.012565123,11.52031818,-0.4145320011,1.057973795,583.8030084,25.35871707,-24.21240949,901.9899073,47.84717765,-51.28309931,733.806816,-20.28803176,22.64746868,867.0859139,-83.1862169,-93.66924526,874.8729982,99.9318517,78.26062161,866.2169151,-88.74384425,-91.10786001,858.8538122,96.91753086,83.20992167,850.0775057,118.5584101,80.12640594,667.4670513,118.145933,109.2500919,667.9540565,120.7067637,94.3322508,667.4607764,86.09493149,95.36237817,528.9494018,103.685701,81.43445321,529.0106511
-1.165,,,0,0.2610194277,-0.6879248106,-0.6249426268,0.2609119134,973.1445313,-44.43359375,491.6992188,-51.71996078,11.90374446,1089.92481,-43.43866516,-4.746272479,1.882152411,0.508164578,-0.5524306714,-0.4916538217,0.4414358782,1042.96875,135.2539063,91.796875,76.82327293,34.07711497,1052.350243,-84.52940273,-7.285972901,-0.6906604135,0.6649965235,-0.2145341658,-0.2755104955,0.6601883689,1089.355469,-68.359375,20.01953125,137.5470927,67.59218085,1080.870583,-139.4680043,1.347115286,-4.771612318,7.192139705,-40.90974777,-0.3050547674,7.185802109,11.96216393,-0.3958061377,1.048683301,583.8079948,25.30111609,-24.25206045,901.99298,47.85190716,-51.27861065,733.8076347,-20.37027085,22.57442816,867.0764081,-83.099987,-93.84694984,874.6555752,99.76500413,78.3731304,866.4292195,-88.6398166,-91.27720468,858.631564,96.76496607,83.33482112,850.2909534,119.5226168,80.32419333,667.7245522,119.1705163,109.4482845,668.2341915,121.7000878,94.52560552,667.7261739,86.85016486,95.64751009,529.2862151,104.4925463,81.78488823,529.2967515
