"type","begin_time","frequency","count","created with version","exported with version","project","last_name","first_name","born","sex","measurement_date","record_name"
"record","-1.200","100","2000","Noraxon MR3 3.16.08","3.16.08","Project 1","MyoMetrics Demo Record","","","male","2020-06-25T15:37:02.976Z","EXGAVINE abduktion_kreisend_gebeugt_-1"

time,Activity,Marker,Noraxon MyoMotion-Analogs-Noraxon MyoMotion.Sync (An),Noraxon MyoMotion-Segmente-Oberer Thorax-Orientierung-x,Noraxon MyoMotion-Segmente-Oberer Thorax-Orientierung-y,Noraxon MyoMotion-Segmente-Oberer Thorax-Orientierung-z,Noraxon MyoMotion-Segmente-Oberer Thorax-Orientierung-w,Noraxon MyoMotion-Segmente-Oberer Thorax-Sensor-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Sensor-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Sensor-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Scheren (Grad),Noraxon MyoMotion-Segmente-Oberer Thorax-Neigen (Grad),Noraxon MyoMotion-Segmente-Oberer Thorax-Rollen (Grad),Noraxon MyoMotion-Segmente-Oberarm RT-Orientierung-x,Noraxon MyoMotion-Segmente-Oberarm RT-Orientierung-y,Noraxon MyoMotion-Segmente-Oberarm RT-Orientierung-z,Noraxon MyoMotion-Segmente-Oberarm RT-Orientierung-w,Noraxon MyoMotion-Segmente-Oberarm RT-Sensor-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Sensor-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Sensor-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Scheren (Grad),Noraxon MyoMotion-Segmente-Oberarm RT-Neigen (Grad),Noraxon MyoMotion-Segmente-Oberarm RT-Rollen (Grad),Noraxon MyoMotion-Segmente-Unterarm RT-Orientierung-x,Noraxon MyoMotion-Segmente-Unterarm RT-Orientierung-y,Noraxon MyoMotion-Segmente-Unterarm RT-Orientierung-z,Noraxon MyoMotion-Segmente-Unterarm RT-Orientierung-w,Noraxon MyoMotion-Segmente-Unterarm RT-Sensor-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Sensor-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Sensor-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Scheren (Grad),Noraxon MyoMotion-Segmente-Unterarm RT-Neigen (Grad),Noraxon MyoMotion-Segmente-Unterarm RT-Rollen (Grad),Noraxon MyoMotion-Gelenke-Schulter RT-Total Flexion (Grad),Noraxon MyoMotion-Gelenke-Schulter RT-Rotation Ext (Grad),Noraxon MyoMotion-Gelenke-Schulter RT-Flexion (Grad),Noraxon MyoMotion-Gelenke-Schulter RT-Abduktion (Grad),Noraxon MyoMotion-Gelenke-Ellbogen RT-Flexion (Grad),Noraxon MyoMotion-Verlaufskurven-Body center of mass-x (mm),Noraxon MyoMotion-Verlaufskurven-Body center of mass-y (mm),Noraxon MyoMotion-Verlaufskurven-Body center of mass-z (mm),Noraxon MyoMotion-Verlaufskurven-7th cervical vertebrae-x (mm),Noraxon MyoMotion-Verlaufskurven-7th cervical vertebrae-y (mm),Noraxon MyoMotion-Verlaufskurven-7th cervical vertebrae-z (mm),Noraxon MyoMotion-Verlaufskurven-10th thoracic vertebrae-x (mm),Noraxon MyoMotion-Verlaufskurven-10th thoracic vertebrae-y (mm),Noraxon MyoMotion-Verlaufskurven-10th thoracic vertebrae-z (mm),Noraxon MyoMotion-Verlaufskurven-Jugular notch-x (mm),Noraxon MyoMotion-Verlaufskurven-Jugular notch-y (mm),Noraxon MyoMotion-Verlaufskurven-Jugular notch-z (mm),Noraxon MyoMotion-Verlaufskurven-Acromion LT-x (mm),Noraxon MyoMotion-Verlaufskurven-Acromion LT-y (mm),Noraxon MyoMotion-Verlaufskurven-Acromion LT-z (mm),Noraxon MyoMotion-Verlaufskurven-Acromion RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Acromion RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Acromion RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder LT-x (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder LT-y (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder LT-z (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Medial humeral epicondyle RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Medial humeral epicondyle RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Medial humeral epicondyle RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Lateral humeral epicondyle RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Lateral humeral epicondyle RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Lateral humeral epicondyle RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Elbow RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Elbow RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Elbow RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Radial styloid process RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Radial styloid process RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Radial styloid process RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Ulnar styloid process RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Ulnar styloid process RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Ulnar styloid process RT-z (mm)
-1.195,Aktivität,,0,0.2645726077,-0.6629291788,-0.6449736449,0.273011422,912.5976563,-45.8984375,406.25,-0.9021375292,6.536555246,-0.03166507567,-44.69925544,-1.085677998,1.185733262,0.491076382,-0.5067643912,-0.5301612862,0.4700668564,993.6523438,29.78515625,-45.8984375,3.926546513,19.42613942,-5.039694421,-85.66103364,0.2330614093,-2.537511288,0.673185079,-0.2287524638,-0.2643765849,0.6516127539,981.9335938,-164.0625,-104.0039063,2.483408234,5.941154376,0.9422732229,-139.1482206,-0.6309355772,-3.315620689,4.153726198,-40.97018066,2.928113727,2.951244631,2.056350951,-0.8283479046,0.845769124,584.1028151,28.01271983,-26.62444972,900.637656,49.48765408,-49.80536212,733.4307789,-19.89791517,20.92683706,869.9585295,-79.77897986,-97.17963796,873.3521951,98.89998419,79.49470111,868.1522275,-85.9510929,-93.88113993,857.696935,95.20952342,85.24700941,852.4247456,94.51475904,89.87518322,668.2409297,93.33956531,118.9690708,669.1132937,96.29813805,104.128774,668.5169705,67.43595008,106.7335482,528.4514766,84.98988611,92.77250989,529.0636506
-1.185,,,0,0.2645750473,-0.6629439398,-0.6449607576,0.2730036595,912.109375,-56.15234375,411.1328125,9.678836452,10.67646669,1.957644,-44.69882429,-1.088069056,1.185816732,0.4910722404,-0.5067348381,-0.5301870373,0.4700739985,996.09375,29.296875,-60.05859375,-6.459016229,10.12064738,-1.739536011,-85.66151272,0.2369598125,-2.539888992,0.6731758421,-0.2287658711,-0.2644523511,0.6515868444,978.515625,-159.1796875,-102.5390625,6.518786758,4.211768171,-3.363141837,-139.1404441,-0.6302133614,-3.320872239,4.158102434,-40.97104407,2.935039562,2.950549264,2.056747384,-0.8292542406,0.8466016216,584.10263,28.01101846,-26.62283888,900.6385313,49.48758815,-49.80535829,733.4310177,-19.89838859,20.92786822,869.9565889,-79.78044142,-97.17805037,873.3521832,98.90000423,79.49477963,868.1518537,-85.95208622,-93.87998615,857.6966471,95.21003228,85.24663315,852.4240908,94.50243521,89.88426033,668.2403107,93.32712706,118.9780837,669.1146592,96.2857453,104.1378448,668.5171233,67.41304182,106.753586,528.454038,84.9651443,92.79015218,529.0641464
-1.175,,,0,0.2645774869,-0.6629587006,-0.6449478701,0.2729958968,915.0390625,-47.36328125,403.8085938,-2.076250804,9.786705759,1.249747201,-44.69839314,-1.090460114,1.185900184,0.4910680979,-0.5067052843,-0.5302127875,0.4700811398,986.328125,34.1796875,-56.640625,-0.6918337564,8.291831921,-11.49084552,-85.66199196,0.2408581957,-2.542266729,0.6731666007,-0.2287792768,-0.2645281155,0.6515609306,980.46875,-158.6914063,-89.84375,14.58465915,14.27429783,-2.925597712,-139.1326677,-0.629490433,-3.32612369,4.162485594,-40.97190752,2.941965375,2.949853792,2.057143403,-0.8301605479,0.8474341285,584.1024449,28.00931707,-26.62122803,900.6394067,49.48752222,-49.80535446,733.4312566,-19.89886197,20.9288993,869.9546484,-79.78190298,-97.17646279,873.3521714,98.90002427,79.49485811,868.1514801,-85.95307953,-93.8788324,857.6963593,95.21054115,85.24625684,852.4234362,94.49011128,89.89333734,668.2396929,93.31468891,118.9870964,669.1160261,96.27335252,104.1469154,668.5172774,67.39013521,106.7736249,528.456602,84.94040365,92.80779594,529.0646449
-1.165,,,0,0.2645799263,-0.662973461,-0.6449349822,0.2729881341,908.6914063,-46.38671875,417.96875,8.394422748,-1.547535633,1.247628834,-44.697962,-1.092851173,1.185983617,0.4910639547,-0.5066757296,-0.5302385369,0.4700882804,998.046875,49.8046875,-51.26953125,14.32451415,1.57449803,0.4993581603,-85.66247137,0.2447565589,-2.544644499,0.6731573549,-0.2287926809,-0.2646038782,0.6515350124,970.2148438,-167.96875,-99.12109375,0.0886271682,12.08435256,-10.44995286,-139.1248913,-0.6287667921,-3.331375042,4.166875656,-40.97277102,2.948891165,2.949158215,2.05753901,-0.8310668264,0.8482666448,584.1022599,28.00761565,-26.61961716,900.6402821,49.48745628,-49.80535063,733.4314955,-19.89933529,20.9299303,869.952708,-79.78336454,-97.17487522,873.3521595,98.90004431,79.49493656,868.1511065,-85.95407284,-93.87767868,857.6960715,95.21105002,85.24588049,852.4227817,94.47778724,89.90241423,668.2390761,93.30225084,118.9961088,669.1173944,96.26095973,104.1559859,668.5174328,67.36723025,106.793665,528.4591685,84.91566418,92.82544119,529.065146
-1.155,,,0,0.2645837664,-0.6629912082,-0.6449179734,0.2729814941,910.6445313,-38.0859375,413.5742188,-0.7862757454,-4.155464071,0.8744922488,-44.69776244,-1.095781149,1.186267494,0.4910554934,-0.5066457764,-0.5302726396,0.4700909352,993.1640625,49.31640625,-60.05859375,7.687479287,-4.555431077,-3.840299771,-85.66200224,0.249186963,-2.547512471,0.6731459854,-0.2288134974,-0.2646955159,0.6515022253,979.4921875,-152.8320313,-90.8203125,18.73593167,9.937050367,-4.730627314,-139.1150854,-0.6281042958,-3.337414633,4.172323959,-40.9724504,2.957044306,2.948724663,2.057952013,-0.8321040671,0.8492742717,584.1020315,28.00574275,-26.61743816,900.6413576,49.48740211,-49.80532128,733.4317892,-19.90004228,20.9310582,869.9503349,-79.78460442,-97.1733976,873.352548,98.89960527,79.4955677,868.1502553,-85.95479292,-93.87680264,857.6961285,95.21114191,85.24589829,852.4215817,94.46359293,89.91361857,668.238111,93.28844145,119.007258,669.1187678,96.24693946,104.1671504,668.5173879,67.34143513,106.8181977,528.4618463,84.88754713,92.84695468,529.065451
-1.145,,,0,0.2645881272,-0.6630119335,-0.6448967098,0.2729771652,911.1328125,-39.0625,404.7851563,-6.073692245,2.479778214,-2.2541082,-44.69782293,-1.099195401,1.186910963,0.4910410362,-0.5066174917,-0.5303160571,0.4700875423,995.1171875,51.7578125,-57.12890625,11.64054223,-4.189941573,-1.978085357,-85.66022395,0.2540982032,-2.55080192,0.6731326591,-0.2288428026,-0.2648024836,0.651462232,979.0039063,-158.203125,-102.5390625,7.830536351,3.444774277,-3.045661637,-139.1032029,-0.6275852574,-3.344133835,4.178835331,-40.97056125,2.96627482,2.948706722,2.058310583,-0.8332313677,0.8504592202,584.1017647,28.00385318,-26.61461293,900.6426158,49.48736475,-49.80526303,733.432133,-19.90093035,20.93230066,869.9475781,-79.78550871,-97.17203442,873.3536946,98.89872903,79.49681959,868.1485864,-85.95516872,-93.87623148,857.6969,95.21079454,85.24635661,852.4194987,94.44774373,89.92677408,668.2365973,93.27365779,119.0203756,669.1199226,96.23159651,104.1802217,668.5169372,67.31339239,106.8470408,528.464358,84.85668145,92.8721396,529.0653265
-1.135,,,0,0.2645911955,-0.6630358597,-0.6448711717,0.272976409,909.6679688,-44.43359375,411.1328125,2.21524693,1.90406135,-0.7543773582,-44.69809743,-1.103017845,1.188151516,0.491018669,-0.5065929618,-0.5303694633,0.4700770896,997.5585938,54.6875,-60.05859375,11.71835249,-8.195224171,0.757924685,-85.65680965,0.2594634236,-2.554380478,0.6731177025,-0.2288813888,-0.2649236167,0.6514148799,976.5625,-151.3671875,-97.16796875,16.01892665,3.806031879,-7.14710852,-139.0892751,-0.627301804,-3.351397473,4.186391769,-40.96682976,2.976391347,2.949268873,2.058493385,-0.8343928383,0.8518282743,584.1014662,28.00215079,-26.61104282,900.644033,49.48734511,-49.80517677,733.4325203,-19.90187264,20.93373806,869.9445058,-79.78604182,-97.17064544,873.3561328,98.89758726,79.49866402,868.1455917,-85.95522248,-93.87585037,857.6989373,95.21012368,85.24719949,852.4160275,94.43046738,89.94146684,668.234225,93.25829329,119.0350553,669.1205174,96.21524028,104.1947757,668.515763,67.28381125,106.8797121,528.4662985,84.82378148,92.90052357,529.0644215
-1.125,,,0,0.2645902308,-0.6630635405,-0.6448413501,0.2729805564,907.2265625,-47.8515625,410.6445313,5.023074749,3.997842059,-3.035845798,-44.69846582,-1.107166491,1.190310522,0.4909863371,-0.50657399,-0.5304330732,0.4700595327,992.6757813,46.38671875,-55.17578125,9.662085306,0.813173865,-4.757675715,-85.65152348,0.2653044003,-2.558040349,0.6731015475,-0.2289297944,-0.2650572609,0.6513601956,975.5859375,-165.5273438,-102.5390625,1.641343471,7.619944322,-5.203174133,-139.0733977,-0.6273490671,-3.359050093,4.194956919,-40.96114937,2.987189056,2.950565303,2.058311366,-0.835523044,0.8533943216,584.1011431,28.0008818,-26.60659401,900.6455847,49.48733989,-49.80506729,733.4329439,-19.90267133,20.9355199,869.9411938,-79.78624945,-97.1689388,873.360583,98.89649805,79.50098304,868.1405824,-85.95507077,-93.8753997,857.7029816,95.20938155,85.24827105,852.410481,94.41191463,89.9570194,668.2305605,93.24262016,119.0506251,669.1200824,96.19808153,104.2101274,668.513422,67.25334272,106.9154099,528.4671256,84.7895188,92.9313345,529.0622563
-1.115,,,0,0.264581718,-0.6630957571,-0.6448072751,0.2729910428,918.4570313,-45.41015625,403.8085938,-4.751131779,9.706441029,4.275854872,-44.69875017,-1.111546947,1.193780435,0.4909417855,-0.5065618515,-0.5305065305,0.4700362486,999.5117188,43.9453125,-47.36328125,13.81700963,8.417120193,1.467118358,-85.6442643,0.2717266955,-2.561475135,0.6730845446,-0.2289882606,-0.2652014114,0.6512985366,985.3515625,-155.2734375,-100.0976563,13.19215092,3.607762615,2.427071713,-139.0557236,-0.6277941255,-3.366920274,4.204441998,-40.95360795,2.998455333,2.952685504,2.057492365,-0.8365548931,0.8551694253,584.1008029,28.00033473,-26.60110679,900.647243,49.48734265,-49.80494251,733.4333959,-19.90306893,20.93784901,869.9377295,-79.78623617,-97.1665047,873.3679242,98.89589781,79.50358768,868.1327166,-85.95490188,-93.87450675,857.7099374,95.20892841,85.24933691,852.4020185,94.39201754,89.97243006,668.2250611,93.22662604,119.0660869,669.118027,96.18008002,104.2252719,668.5093558,67.22236979,106.9529071,528.4661809,84.75431096,92.96339238,529.0582407
-1.105,,,0,0.264561481,-0.6631333701,-0.6447691273,0.2730093932,911.1328125,-49.8046875,402.8320313,0.05041844021,11.68318368,-2.613086616,-44.69872293,-1.116036943,1.199007254,0.4908822411,-0.5065572408,-0.5305889704,0.4700103527,1001.953125,43.9453125,-50.29296875,11.93305211,6.551771566,4.084316405,-85.63506595,0.2789613254,-2.564248558,0.6730667252,-0.2290566904,-0.2653538051,0.6512308148,983.8867188,-159.6679688,-101.5625,8.758675473,4.788497835,1.869369168,-139.0364597,-0.6286371506,-3.374817634,4.214655008,-40.94447925,3.009965019,2.955585848,2.055660101,-0.8374267986,0.8571553413,584.1004552,28.00084118,-26.59441632,900.6489708,49.48734444,-49.80481335,733.4338656,-19.90275385,20.94096613,869.9342249,-79.78615329,-97.1628409,873.3791568,98.89632702,79.50622083,868.1210387,-85.95496365,-93.87270582,857.7208354,95.20921777,85.25009288,852.389688,94.37033723,89.98627802,668.2170996,93.20986161,119.0800211,669.1136486,96.16079217,104.2387892,668.5029068,67.19079845,106.9903807,528.4627157,84.71811201,92.99493882,529.0517003
