"type","begin_time","frequency","count","created with version","exported with version","project","last_name","first_name","born","sex","measurement_date","record_name"
"record","-3.300","100","2000","Noraxon MR3 3.16.08","3.16.08","Project 1","MyoMetrics Demo Record","","","male","2020-06-25T16:16:15.264Z","EXGAVINE dirigent_gebeugt_"

time,Activity,Marker,Noraxon MyoMotion-Analogs-Noraxon MyoMotion.Sync (An),Noraxon MyoMotion-Segmente-Oberer Thorax-Orientierung-x,Noraxon MyoMotion-Segmente-Oberer Thorax-Orientierung-y,Noraxon MyoMotion-Segmente-Oberer Thorax-Orientierung-z,Noraxon MyoMotion-Segmente-Oberer Thorax-Orientierung-w,Noraxon MyoMotion-Segmente-Oberer Thorax-Sensor-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Sensor-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Sensor-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Scheren (Grad),Noraxon MyoMotion-Segmente-Oberer Thorax-Neigen (Grad),Noraxon MyoMotion-Segmente-Oberer Thorax-Rollen (Grad),Noraxon MyoMotion-Segmente-Oberarm RT-Orientierung-x,Noraxon MyoMotion-Segmente-Oberarm RT-Orientierung-y,Noraxon MyoMotion-Segmente-Oberarm RT-Orientierung-z,Noraxon MyoMotion-Segmente-Oberarm RT-Orientierung-w,Noraxon MyoMotion-Segmente-Oberarm RT-Sensor-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Sensor-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Sensor-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Scheren (Grad),Noraxon MyoMotion-Segmente-Oberarm RT-Neigen (Grad),Noraxon MyoMotion-Segmente-Oberarm RT-Rollen (Grad),Noraxon MyoMotion-Segmente-Unterarm RT-Orientierung-x,Noraxon MyoMotion-Segmente-Unterarm RT-Orientierung-y,Noraxon MyoMotion-Segmente-Unterarm RT-Orientierung-z,Noraxon MyoMotion-Segmente-Unterarm RT-Orientierung-w,Noraxon MyoMotion-Segmente-Unterarm RT-Sensor-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Sensor-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Sensor-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Scheren (Grad),Noraxon MyoMotion-Segmente-Unterarm RT-Neigen (Grad),Noraxon MyoMotion-Segmente-Unterarm RT-Rollen (Grad),Noraxon MyoMotion-Gelenke-Schulter RT-Total Flexion (Grad),Noraxon MyoMotion-Gelenke-Schulter RT-Rotation Ext (Grad),Noraxon MyoMotion-Gelenke-Schulter RT-Flexion (Grad),Noraxon MyoMotion-Gelenke-Schulter RT-Abduktion (Grad),Noraxon MyoMotion-Gelenke-Ellbogen RT-Flexion (Grad),Noraxon MyoMotion-Verlaufskurven-Body center of mass-x (mm),Noraxon MyoMotion-Verlaufskurven-Body center of mass-y (mm),Noraxon MyoMotion-Verlaufskurven-Body center of mass-z (mm),Noraxon MyoMotion-Verlaufskurven-7th cervical vertebrae-x (mm),Noraxon MyoMotion-Verlaufskurven-7th cervical vertebrae-y (mm),Noraxon MyoMotion-Verlaufskurven-7th cervical vertebrae-z (mm),Noraxon MyoMotion-Verlaufskurven-10th thoracic vertebrae-x (mm),Noraxon MyoMotion-Verlaufskurven-10th thoracic vertebrae-y (mm),Noraxon MyoMotion-Verlaufskurven-10th thoracic vertebrae-z (mm),Noraxon MyoMotion-Verlaufskurven-Jugular notch-x (mm),Noraxon MyoMotion-Verlaufskurven-Jugular notch-y (mm),Noraxon MyoMotion-Verlaufskurven-Jugular notch-z (mm),Noraxon MyoMotion-Verlaufskurven-Acromion LT-x (mm),Noraxon MyoMotion-Verlaufskurven-Acromion LT-y (mm),Noraxon MyoMotion-Verlaufskurven-Acromion LT-z (mm),Noraxon MyoMotion-Verlaufskurven-Acromion RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Acromion RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Acromion RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder LT-x (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder LT-y (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder LT-z (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Medial humeral epicondyle RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Medial humeral epicondyle RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Medial humeral epicondyle RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Lateral humeral epicondyle RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Lateral humeral epicondyle RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Lateral humeral epicondyle RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Elbow RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Elbow RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Elbow RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Radial styloid process RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Radial styloid process RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Radial styloid process RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Ulnar styloid process RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Ulnar styloid process RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Ulnar styloid process RT-z (mm)
-3.295,Aktivität,,0,0.2363507204,-0.6707112435,-0.6630516603,0.2337675353,898.9257813,-112.7929688,424.3164063,3.002298458,-0.005509790371,1000.412521,-38.83262451,-0.654931977,0.008913141466,0.5005655628,-0.502595881,-0.5238628577,0.471592201,1009.277344,32.2265625,-93.75,-35.33166796,58.46716429,1011.830833,-86.87823688,-0.363086043,-2.889839336,0.6628569666,-0.2495935328,-0.2703787584,0.6520882128,990.234375,-217.2851563,-90.33203125,-52.27304216,31.08792382,1015.991094,-136.8459136,-0.1920890176,-1.887152573,3.38353738,-48.04238217,2.562477162,2.212480252,1.684908608,-0.596538083,0.9010320288,584.1380881,25.30991815,-29.69715475,900.4572923,47.01597213,-52.15546069,733.3840764,-17.16242268,23.05893863,870.2801901,-88.78910775,-88.36712632,870.7785422,106.9928875,69.22869459,870.7394468,-94.41641369,-84.16362887,855.1348126,104.0847759,75.62102288,855.0951743,103.1148919,83.44411034,670.1247995,101.2659349,112.513578,670.5040121,104.5689263,97.73760813,670.1813288,77.6554804,98.31155799,529.7061785,94.62028283,83.67367459,530.8697358
-3.285,,,0,0.2363337008,-0.670675864,-0.6630880896,0.2337829181,902.8320313,-104.4921875,426.7578125,-3.063995007,-6.288346284,1004.040633,-38.83247371,-0.6485714406,0.009454228097,0.500515542,-0.5025926487,-0.5238595184,0.4716524427,1020.507813,54.19921875,-96.19140625,-20.58765319,43.83249857,1025.320144,-86.87937904,-0.3569754476,-2.883339916,0.6628097974,-0.2496617329,-0.2705015047,0.6520591442,998.046875,-209.9609375,-83.49609375,-41.0787458,33.60504923,1021.927588,-136.8292995,-0.1888252794,-1.890751073,3.372710967,-48.04368507,2.555405801,2.204074259,1.683225569,-0.5967503355,0.8995648764,584.1386503,25.31418724,-29.7015399,900.4549197,47.01603865,-52.15554583,733.3834279,-17.16033139,23.05710045,870.2853364,-88.78728347,-88.3688083,870.7802253,106.9951403,69.22647956,870.7387566,-94.4157819,-84.16403528,855.1372676,104.0858422,75.62007602,855.0952229,103.0960484,83.42195755,670.1228582,101.2468615,112.4913969,670.5031147,104.549956,97.7154672,670.179651,77.62480192,98.29753424,529.7067774,94.58546071,83.65473404,530.8688758
-3.275,,,0,0.2363166805,-0.6706404823,-0.6631245168,0.2337983002,900.390625,-103.515625,426.7578125,-2.792604363,-7.674407385,1001.735643,-38.83232286,-0.6422109057,0.009995330818,0.500465518,-0.5025894134,-0.5238561759,0.4717126814,1014.160156,60.546875,-91.796875,-12.68625842,42.01597576,1019.160012,-86.88052051,-0.3508647226,-2.876840623,0.6627626132,-0.2497299273,-0.2706242448,0.6520300607,986.328125,-198.7304688,-69.3359375,-26.38105546,40.19797211,1007.389004,-136.8126856,-0.1855604985,-1.894348626,3.361885306,-48.04498697,2.548334263,2.195668424,1.681542383,-0.5969626997,0.8980979744,584.1392125,25.318455,-29.70592324,900.4525468,47.01610493,-52.15563065,733.3827794,-17.15824085,23.05526347,870.2904828,-88.78546019,-88.3704888,870.7819086,106.997392,69.2242662,870.7380664,-94.41515105,-84.16444027,855.1397229,104.0869074,75.61913077,855.0952718,103.0772041,83.39980501,670.1209209,101.227788,112.4692161,670.5022222,104.5309852,97.69332647,670.1779777,77.59412541,98.28351412,529.7073816,94.55063902,83.63579833,530.8680217
-3.265,,,0,0.2362996595,-0.6706050986,-0.663160942,0.2338136816,901.3671875,-104.0039063,426.2695313,-2.87313925,-6.774947722,1002.462557,-38.83217195,-0.6358503724,0.01053644964,0.500415491,-0.502586175,-0.5238528301,0.4717729173,999.0234375,61.03515625,-101.0742188,-18.63808627,33.14775317,1005.257661,-86.88166128,-0.3447538681,-2.870341455,0.6627154138,-0.2497981161,-0.2707469788,0.6520009624,978.515625,-198.7304688,-68.84765625,-27.38721013,40.68959068,999.660405,-136.7960719,-0.1822946749,-1.897945232,3.351060405,-48.04628787,2.541262549,2.187262749,1.679859048,-0.5971751806,0.8966313303,584.1397749,25.3227214,-29.71030474,900.4501736,47.01617098,-52.15571515,733.3821309,-17.15615108,23.05342774,870.2956293,-88.78363795,-88.37216777,870.783592,106.9996425,69.22205456,870.7373762,-94.41452117,-84.16484379,855.1421785,104.0879715,75.61818718,855.0953209,103.0583591,83.37765275,670.1189877,101.2087142,112.4470356,670.5013346,104.5120139,97.671186,670.1763088,77.56345086,98.26949767,529.7079913,94.51581775,83.61686749,530.8671733
-3.255,,,0,0.2362843842,-0.6705653143,-0.6632016235,0.2338278333,910.6445313,-99.609375,424.3164063,-10.30562621,-6.096097431,1009.503113,-38.83206172,-0.6289083992,0.01061724126,0.5003879353,-0.5025653763,-0.5238373299,0.4718415079,993.6523438,68.359375,-99.12109375,-11.98442683,29.02707525,1000.428297,-86.88625444,-0.3391979528,-2.864964319,0.6626800938,-0.2498384665,-0.2708425847,0.6519816932,988.28125,-187.5,-60.546875,-11.8402019,42.24515628,1006.775625,-136.784244,-0.1792405203,-1.901648166,3.340628616,-48.05101235,2.534202543,2.179446398,1.678708072,-0.5973375641,0.895141822,584.1404062,25.32706134,-29.71545226,900.4475814,47.01624955,-52.1558221,733.3814244,-17.15403252,23.05118161,870.3012445,-88.78169807,-88.37432038,870.7843095,107.0018844,69.21952659,870.7377393,-94.41377859,-84.16552307,855.1437235,104.0890203,75.61712732,855.0965065,103.0412124,83.35876059,670.1181138,101.1895501,112.4280005,670.5015571,104.4938617,97.65239486,670.1757306,77.53370518,98.25712702,529.7096771,94.48314671,83.60099476,530.8673629
-3.245,,,0,0.2362726184,-0.6705221035,-0.6632452642,0.2338398555,908.203125,-109.375,421.875,-3.564734127,1.357507065,1007.352854,-38.83206624,-0.6216303226,0.01009571691,0.5003896217,-0.5025241166,-0.5238076104,0.4719166516,999.5117188,73.2421875,-97.16796875,-6.779119701,28.13884672,1006.475016,-86.89485676,-0.3346391885,-2.861259116,0.6626612106,-0.2498433374,-0.2709000554,0.6519751428,986.328125,-183.1054688,-64.453125,-10.18791457,36.67686565,1004.527751,-136.7788253,-0.1766515585,-1.90525152,3.331225405,-48.05964429,2.527530918,2.172758478,1.67823642,-0.5974346122,0.8936974217,584.141087,25.33125323,-29.72127368,900.4448612,47.01634423,-52.15594848,733.3806852,-17.15203715,23.04850727,870.3071295,-88.77964804,-88.3770577,870.7837301,107.0039031,69.21682889,870.7394474,-94.41286416,-84.16662452,855.1439934,104.089903,75.61606606,855.0990956,103.0270615,83.34493507,670.1186226,101.1712852,112.413898,670.5031734,104.4776757,97.63877473,670.1765632,77.5068077,98.24755538,529.712609,94.45495475,83.58981178,530.868845
-3.235,,,0,0.23626578,-0.6704766549,-0.6632903287,0.2338492599,905.2734375,-110.3515625,416.015625,-5.029276988,5.372409894,1002.353385,-38.83226562,-0.6142756398,0.008899993852,0.500424792,-0.5024613876,-0.5237623173,0.4719964157,1001.953125,64.94140625,-86.42578125,-5.201732816,41.87833896,1006.88431,-86.90772588,-0.331448598,-2.859569408,0.6626617893,-0.2498086317,-0.2709118877,0.6519829366,987.7929688,-170.8984375,-67.3828125,-0.9274863961,28.0298218,1004.338159,-136.7808251,-0.1747523354,-1.908539407,3.323336379,-48.0723624,2.521521721,2.167626981,1.67852332,-0.5974523234,0.8923539751,584.1417947,25.33511492,-29.72761345,900.4421097,47.01645869,-52.15608826,733.3799399,-17.15030655,23.04541753,870.3130741,-88.77747425,-88.38046625,870.7816758,107.0054903,69.21415042,870.7426378,-94.41171054,-84.16828547,855.1427772,104.0904619,75.61514532,855.103197,103.0169703,83.33735832,670.1206764,101.1548354,112.4059003,670.5063073,104.4644476,97.63151456,670.1789648,77.48449941,98.24152588,529.7167994,94.43323518,83.58435933,530.87172
-3.225,,,0,0.2362647179,-0.6704303576,-0.6633351307,0.2338559878,900.8789063,-112.7929688,415.5273438,-1.884427267,5.917805152,998.4635494,-38.8327285,-0.6071038401,0.007043877011,0.5004945615,-0.5023782759,-0.5237008272,0.4720791304,995.6054688,60.05859375,-103.515625,-20.61839157,31.92496592,1002.052118,-86.92479702,-0.3298809247,-2.859963818,0.6626830756,-0.2497338235,-0.2708744429,0.6520055175,980.9570313,-169.921875,-70.3125,-2.670435202,24.94774985,997.7296563,-136.7906052,-0.1737028826,-1.911301029,3.317229714,-48.08903429,2.516311395,2.164305174,1.679569381,-0.597380292,0.8911481698,584.1425036,25.33851691,-29.73425465,900.4394239,47.01659537,-52.15623296,733.3792149,-17.1489534,23.04196769,870.3188688,-88.77515774,-88.38457414,870.7781568,107.0064774,69.21169592,870.7472603,-94.41026234,-84.17059832,855.1400546,104.0905622,75.61450883,855.1087289,103.0116375,83.33636143,670.1242412,101.1409253,112.4043393,670.5108811,104.4548895,97.63094343,670.1828921,77.46813291,98.23912439,529.7220792,94.41942752,83.58483092,530.8759038
-3.215,,,0,0.2362696738,-0.670384716,-0.6633779512,0.2338603593,892.0898438,-115.234375,418.4570313,4.79138434,3.175875191,992.056699,-38.83350419,-0.6003591663,0.004620404138,0.5005967353,-0.5022778641,-0.5236234436,0.472163473,991.2109375,65.91796875,-105.9570313,-18.1950152,25.28364785,998.549384,-86.94567247,-0.3300420341,-2.862236732,0.6627245084,-0.2496215417,-0.2707878835,0.652042356,987.7929688,-164.0625,-75.68359375,1.007977878,17.29795254,1004.031486,-136.8079218,-0.1735707372,-1.913349996,3.312942096,-48.10921309,2.511905598,2.162841724,1.6812981,-0.5972153346,0.8900950187,584.143187,25.34138455,-29.74093605,900.4368956,47.01675492,-52.15637254,733.3785348,-17.14805461,23.03825251,870.3243163,-88.77268218,-88.38934462,870.7733586,107.006748,69.20966627,870.7530921,-94.40848481,-84.17359891,855.1359849,104.0901042,75.61428713,855.115437,103.0113035,83.34141897,670.1291018,101.1299999,112.4087015,670.5166261,104.4493426,97.63652485,670.1881114,77.4584998,98.23973764,529.7281249,94.41425612,83.59054361,530.8811467
-3.205,,,0,0.2362803563,-0.6703411534,-0.6634172147,0.2338630595,900.8789063,-116.2109375,418.4570313,2.39622772,5.887510825,1000.076831,-38.83462776,-0.5942445088,0.001785107637,0.5007261544,-0.5021648732,-0.5235316395,0.4722482195,991.2109375,71.77734375,-98.14453125,-8.69995135,26.56387566,998.249533,-86.96963362,-0.3318866992,-2.865976724,0.6627838252,-0.2494770479,-0.2706560523,0.6520920986,983.8867188,-166.9921875,-80.56640625,-4.685923679,14.44851183,1001.089254,-136.8319819,-0.1743165309,-1.914553179,3.310316307,-48.13214439,2.508205242,2.163108173,1.68358606,-0.5969620339,0.88919015,584.1438204,25.34370403,-29.74738233,900.4346013,47.01693685,-52.15649587,733.3779199,-17.14765176,23.03438834,870.3292532,-88.77002415,-88.39470094,870.7676071,107.0062338,69.20825176,870.7597771,-94.40635535,-84.17728353,855.1308748,104.0890173,75.61459908,855.122936,103.0157543,83.35135927,670.1349097,101.1222206,112.4178383,670.5231339,104.4477776,97.64706767,670.1942477,77.45575426,98.24226002,529.7345229,94.41766901,83.60016104,530.8870865
