"type","begin_time","frequency","count","created with version","exported with version","project","last_name","first_name","born","sex","measurement_date","record_name"
"record","-3.230","100","2000","Noraxon MR3 3.16.08","3.16.08","Project 1","MyoMetrics Demo Record","","","male","2020-06-25T16:20:43.525Z","EXGAVINE dirigent_gebeugt_-2"

time,Activity,Marker,Noraxon MyoMotion-Analogs-Noraxon MyoMotion.Sync (An),Noraxon MyoMotion-Segmente-Oberer Thorax-Orientierung-x,Noraxon MyoMotion-Segmente-Oberer Thorax-Orientierung-y,Noraxon MyoMotion-Segmente-Oberer Thorax-Orientierung-z,Noraxon MyoMotion-Segmente-Oberer Thorax-Orientierung-w,Noraxon MyoMotion-Segmente-Oberer Thorax-Sensor-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Sensor-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Sensor-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Scheren (Grad),Noraxon MyoMotion-Segmente-Oberer Thorax-Neigen (Grad),Noraxon MyoMotion-Segmente-Oberer Thorax-Rollen (Grad),Noraxon MyoMotion-Segmente-Oberarm RT-Orientierung-x,Noraxon MyoMotion-Segmente-Oberarm RT-Orientierung-y,Noraxon MyoMotion-Segmente-Oberarm RT-Orientierung-z,Noraxon MyoMotion-Segmente-Oberarm RT-Orientierung-w,Noraxon MyoMotion-Segmente-Oberarm RT-Sensor-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Sensor-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Sensor-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Scheren (Grad),Noraxon MyoMotion-Segmente-Oberarm RT-Neigen (Grad),Noraxon MyoMotion-Segmente-Oberarm RT-Rollen (Grad),Noraxon MyoMotion-Segmente-Unterarm RT-Orientierung-x,Noraxon MyoMotion-Segmente-Unterarm RT-Orientierung-y,Noraxon MyoMotion-Segmente-Unterarm RT-Orientierung-z,Noraxon MyoMotion-Segmente-Unterarm RT-Orientierung-w,Noraxon MyoMotion-Segmente-Unterarm RT-Sensor-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Sensor-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Sensor-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Scheren (Grad),Noraxon MyoMotion-Segmente-Unterarm RT-Neigen (Grad),Noraxon MyoMotion-Segmente-Unterarm RT-Rollen (Grad),Noraxon MyoMotion-Gelenke-Schulter RT-Total Flexion (Grad),Noraxon MyoMotion-Gelenke-Schulter RT-Rotation Ext (Grad),Noraxon MyoMotion-Gelenke-Schulter RT-Flexion (Grad),Noraxon MyoMotion-Gelenke-Schulter RT-Abduktion (Grad),Noraxon MyoMotion-Gelenke-Ellbogen RT-Flexion (Grad),Noraxon MyoMotion-Verlaufskurven-Body center of mass-x (mm),Noraxon MyoMotion-Verlaufskurven-Body center of mass-y (mm),Noraxon MyoMotion-Verlaufskurven-Body center of mass-z (mm),Noraxon MyoMotion-Verlaufskurven-7th cervical vertebrae-x (mm),Noraxon MyoMotion-Verlaufskurven-7th cervical vertebrae-y (mm),Noraxon MyoMotion-Verlaufskurven-7th cervical vertebrae-z (mm),Noraxon MyoMotion-Verlaufskurven-10th thoracic vertebrae-x (mm),Noraxon MyoMotion-Verlaufskurven-10th thoracic vertebrae-y (mm),Noraxon MyoMotion-Verlaufskurven-10th thoracic vertebrae-z (mm),Noraxon MyoMotion-Verlaufskurven-Jugular notch-x (mm),Noraxon MyoMotion-Verlaufskurven-Jugular notch-y (mm),Noraxon MyoMotion-Verlaufskurven-Jugular notch-z (mm),Noraxon MyoMotion-Verlaufskurven-Acromion LT-x (mm),Noraxon MyoMotion-Verlaufskurven-Acromion LT-y (mm),Noraxon MyoMotion-Verlaufskurven-Acromion LT-z (mm),Noraxon MyoMotion-Verlaufskurven-Acromion RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Acromion RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Acromion RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder LT-x (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder LT-y (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder LT-z (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Medial humeral epicondyle RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Medial humeral epicondyle RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Medial humeral epicondyle RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Lateral humeral epicondyle RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Lateral humeral epicondyle RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Lateral humeral epicondyle RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Elbow RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Elbow RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Elbow RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Radial styloid process RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Radial styloid process RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Radial styloid process RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Ulnar styloid process RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Ulnar styloid process RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Ulnar styloid process RT-z (mm)
-3.225,Aktivität,,0,0.2326118908,-0.6648340462,-0.6597620062,0.2619188701,912.5976563,-75.68359375,402.34375,2.061793119,4.958586151,1000.20705,-40.93648102,0.445467637,2.368677029,0.5014929899,-0.4833536935,-0.5199204171,0.4945267919,985.8398438,65.4296875,-134.765625,-3.836807042,8.638663685,997.1126655,-89.62124953,1.704684962,-2.489104583,0.6629520461,-0.2413786843,-0.2595005442,0.6594621922,983.8867188,-162.109375,-97.16796875,-9.82389772,8.276535937,1001.792957,-138.5137984,0.2556449199,-1.473400568,3.736484391,-48.70185761,2.551960794,2.732860425,-0.4265371909,-0.579234607,0.831176089,584.2749952,28.33850895,-28.42186224,900.1412088,47.22658927,-51.9846432,733.288048,-17.32783576,22.37450607,871.2954718,-84.70700091,-91.56736735,876.1633155,104.9420958,73.03021328,865.77628,-91.16343746,-87.76672219,860.7382787,101.1196745,79.11693594,850.2069788,95.25208724,84.36679661,667.5816611,91.98324304,113.3132161,667.7075667,96.00499331,98.7142532,667.510159,69.14252922,97.01054705,526.9747547,86.52596144,82.88591059,528.2926875
-3.215,,,0,0.2326555406,-0.6648313984,-0.6597002619,0.2620423162,911.6210938,-74.70703125,398.4375,-0.5937651492,6.915440401,997.6664897,-40.95100356,0.4435437906,2.37635444,0.5015318166,-0.4832666395,-0.5198796102,0.4946153889,1000.976563,68.84765625,-146.484375,-8.007799418,0.08853259055,1013.946556,-89.6359938,1.709867262,-2.489106178,0.6629771871,-0.241280586,-0.259445334,0.6594945389,993.6523438,-155.2734375,-97.65625,-2.266174755,4.700430761,1010.427798,-138.527094,0.2572506909,-1.476473821,3.742890974,-48.70222733,2.557322402,2.736637886,-0.428368091,-0.5803776924,0.8312067707,584.2748979,28.34675538,-28.4124675,900.1420441,47.22774595,-51.98366126,733.2882976,-17.33480027,22.36901193,871.294177,-84.68457816,-91.58945421,876.1802522,104.9217975,73.05521036,865.7595666,-91.14320335,-87.79219818,860.755297,101.0965942,79.13919784,850.1898796,95.22188339,84.37970052,667.5720087,91.94561742,113.3252779,667.6986005,95.97110261,98.72735109,667.5007027,69.10079651,97.01947417,526.966797,86.48757991,82.89884864,528.2835032
-3.205,,,0,0.2326991856,-0.6648287367,-0.6596385039,0.2621657568,917.96875,-66.89453125,395.5078125,-9.971048461,5.304954601,1001.718708,-40.96552635,0.4416218897,2.384032335,0.501570634,-0.4831795765,-0.5198387936,0.4947039767,999.5117188,68.359375,-140.625,-4.431037502,4.411557793,1011.648642,-89.6507381,1.715049559,-2.489109107,0.6630023186,-0.2411824843,-0.2593901201,0.6595268762,992.6757813,-160.15625,-104.9804688,-9.995895312,0.4114748527,1010.928307,-138.5403897,0.2588557479,-1.479547447,3.749298331,-48.70259766,2.562683086,2.740416682,-0.4301992166,-0.5815202783,0.8312373748,584.2748008,28.35500232,-28.40306978,900.1428782,47.22890294,-51.98267912,733.2885471,-17.34176067,22.36351667,871.2928839,-84.66214564,-91.61153264,876.1971903,104.9014943,73.08020116,865.7428525,-91.12295859,-87.81766629,860.7723171,101.0735097,79.16145271,850.1727803,95.19167928,84.39259809,667.5623579,91.90799181,113.3373315,667.6896365,95.93721162,98.74044168,667.4912484,69.05906454,97.02839216,526.9588415,86.44919813,82.91177837,528.2743211
-3.195,,,0,0.2327428256,-0.6648260611,-0.659576732,0.2622891919,914.5507813,-69.82421875,405.7617188,-0.2585878337,-0.2416617081,1002.956131,-40.98004939,0.4397019342,2.391710714,0.5016094421,-0.4830925046,-0.5197979673,0.4947925553,999.5117188,63.4765625,-143.0664063,-9.583142438,5.720517281,1011.630558,-89.66548244,1.720231853,-2.489113372,0.6630274405,-0.2410843791,-0.2593349024,0.659559204,991.6992188,-155.2734375,-108.8867188,-7.698905655,-5.357640916,1009.626426,-138.5536855,0.2604600909,-1.482621446,3.75570646,-48.70296861,2.568042844,2.744196815,-0.4320305676,-0.5826623693,0.8312679002,584.2747039,28.36324972,-28.39366907,900.1437113,47.23006022,-51.98169677,733.2887967,-17.34871697,22.35802028,871.2915926,-84.63970336,-91.63360265,876.2141296,104.8811862,73.10518569,865.7261379,-91.1027032,-87.84312652,860.7893391,101.050421,79.18370055,850.1556808,95.16147488,84.40548932,667.5527088,91.87036619,113.3493768,667.6806745,95.90332031,98.75352498,667.4817959,69.01733331,97.03730102,526.9508884,86.41081607,82.92469975,528.2651411
-3.185,,,0,0.2327956896,-0.6648201752,-0.6595102816,0.2624242558,916.9921875,-61.5234375,404.7851563,-7.442273705,-4.587614129,1004.208342,-40.9963789,0.437778574,2.399606962,0.5016527642,-0.4829985416,-0.5197463417,0.494894588,999.0234375,74.21875,-148.9257813,-5.24796115,-5.783380623,1012.755721,-89.68226526,1.725656007,-2.488412576,0.6630533073,-0.2409778001,-0.2592689615,0.6595980724,987.7929688,-154.296875,-101.0742188,-3.782307847,0.9357899403,1004.859836,-138.568649,0.2624169065,-1.485363032,3.761543189,-48.70357249,2.573036515,2.747534689,-0.4341277485,-0.5839544881,0.831071761,584.274601,28.37214216,-28.38373361,900.1445468,47.23135513,-51.98060437,733.2890511,-17.35670636,22.35153781,871.2903051,-84.6146773,-91.65875881,876.2315525,104.8582182,73.13302104,865.7089521,-91.08002587,-87.87191693,860.8068537,101.0244376,79.20863764,850.1381061,95.12861284,84.41737105,667.5427022,91.82905134,113.3602941,667.6711288,95.86625976,98.76562359,667.4718732,68.97252557,97.04325418,526.9424649,86.36976717,82.93518419,528.2556149
-3.175,,,0,0.2328573891,-0.6648105149,-0.6594414814,0.2625668452,918.4570313,-65.91796875,404.296875,-5.062068977,-0.6624776895,1005.653219,-41.01412297,0.4359581183,2.407358558,0.5016984384,-0.4829012854,-0.5196844321,0.4950081985,991.6992188,63.4765625,-141.6015625,-8.652729558,5.58055314,1003.713906,-89.700613,1.731171809,-2.486807313,0.6630784727,-0.240867322,-0.2591935141,0.6596427779,993.1640625,-150.390625,-106.9335938,-1.973335974,-6.003292686,1010.142096,-138.5847788,0.2646927984,-1.487495459,3.76629021,-48.70431867,2.577307163,2.750052874,-0.4365714098,-0.5853731118,0.8305933792,584.2744962,28.38137989,-28.37365445,900.1453396,47.23275515,-51.97943107,733.2892977,-17.36557498,22.34415189,871.2890949,-84.58771483,-91.68647971,876.2486604,104.8331106,73.16297755,865.6920856,-91.05549269,-87.90338616,860.8240602,100.9961776,79.23564689,850.1208663,95.09390861,84.42719244,667.532773,91.78509942,113.3690591,667.6613428,95.82696323,98.77568002,667.4618791,68.92612492,97.04504159,526.9338646,86.32740622,82.94187358,528.2461446
-3.165,,,0,0.2329269771,-0.6647967261,-0.6593726407,0.2627128795,921.875,-69.82421875,401.8554688,-4.784779812,4.664578105,1008.053621,-41.03284339,0.4343447099,2.414653687,0.5017437131,-0.4828045953,-0.5196137737,0.495130786,994.140625,68.84765625,-140.625,-3.834862718,3.184166813,1006.382694,-89.71990487,1.736668258,-2.484146861,0.6631012635,-0.2407584116,-0.2591110091,0.6596920392,992.1875,-153.8085938,-106.4453125,-4.749402928,-4.023584045,1009.645966,-138.6013888,0.2672401287,-1.488777341,3.769515863,-48.70501632,2.580562064,2.75143276,-0.4394645945,-0.586888858,0.8297956916,584.2743943,28.39068603,-28.36379925,900.1460464,47.23422497,-51.97820809,733.2895242,-17.37512463,22.3359881,871.2880362,-84.55950773,-91.71614527,876.2647679,104.8064664,73.19426805,865.6762197,-91.02972122,-87.93678832,860.8402732,100.9663359,79.26404741,850.1046618,95.05812478,84.43405617,667.5233035,91.73958401,113.3748097,667.6516277,95.78634794,98.78278857,667.4521695,68.87955201,97.04177595,526.9253438,86.2849802,82.94367569,528.2370815
-3.155,,,0,0.2330031012,-0.6647787126,-0.6593058323,0.2628585886,924.8046875,-63.4765625,398.4375,-12.29110187,3.351412737,1008.901939,-41.05209422,0.4330247837,2.42124883,0.5017855301,-0.4827122402,-0.5195367922,0.4952592214,995.6054688,74.70703125,-154.296875,-8.237870371,-10.58662913,1010.167796,-89.73942834,1.742080143,-2.480347779,0.6631197574,-0.2406571075,-0.2590254786,0.6597439999,990.7226563,-160.6445313,-112.7929688,-13.8649533,-6.278950639,1009.865654,-138.6176065,0.2700181327,-1.489052774,3.770915936,-48.70539217,2.582606807,2.75143862,-0.442888419,-0.5884722559,0.8286643263,584.2743002,28.39981966,-28.35448166,900.1466321,47.23572938,-51.97696606,733.2897201,-17.38513558,22.32720318,871.2871915,-84.53073782,-91.74709219,876.2793407,104.7789136,73.22611621,865.6618874,-91.00332956,-87.97134897,860.8549588,100.9356226,79.29315399,850.0900408,95.02190907,84.43731342,667.5145987,91.69351134,113.3769379,667.6422514,95.74523962,98.78629117,667.4430363,68.83396163,97.03303228,526.917127,86.24342608,82.93990238,528.2287118
-3.145,,,0,0.2330840432,-0.66475667,-0.659242821,0.263000573,915.5273438,-68.84765625,402.34375,-2.9193289,2.233735967,1002.395779,-41.07143059,0.4320599319,2.426973349,0.5018208159,-0.4826276849,-0.5194566414,0.4953899314,993.6523438,77.63671875,-141.1132813,2.616588197,-2.736194903,1006.613662,-89.75842229,1.747378052,-2.475409344,0.6631317956,-0.2405697032,-0.2589426727,0.6597962806,986.8164063,-153.3203125,-106.9335938,-5.5762136,-4.570152811,1004.338863,-138.6323885,0.2730085045,-1.488284459,3.770337079,-48.70512521,2.583357762,2.749938064,-0.4468572151,-0.5900952631,0.8272105429,584.2742188,28.40857679,-28.34595127,900.1470721,47.2372338,-51.97573433,733.2898778,-17.39537272,22.31798372,871.2866057,-84.50206571,-91.7786247,876.2920048,104.7510918,73.25777317,865.6494624,-90.9769253,-88.00627924,860.8677434,100.9047483,79.32229082,850.0773879,94.98581408,84.43661978,667.5068786,91.64781913,113.3751437,667.63344,95.70438187,98.78583375,667.4347032,68.79016528,97.01892153,526.9094197,86.20329805,82.93034777,528.2212558
-3.135,,,0,0.2331676498,-0.6647310592,-0.6591851127,0.2631358077,909.1796875,-70.80078125,395.9960938,-3.315500066,6.312497072,994.174291,-41.09040287,0.4314947096,2.431732873,0.5018466075,-0.4825541039,-0.5193770765,0.4955188915,994.6289063,74.70703125,-136.2304688,3.774430154,3.095557757,1006.679052,-89.77608992,1.752552316,-2.469413421,0.6631350005,-0.2405025759,-0.2588697595,0.659846141,994.6289063,-145.9960938,-110.8398438,0.2376342759,-11.18590202,1011.31687,-138.6445617,0.2762219741,-1.486539864,3.767774722,-48.70386558,2.582823753,2.746916361,-0.451308151,-0.591727313,0.8254701986,584.274155,28.41679646,-28.3383982,900.1473495,47.23870413,-51.97454134,733.2899918,-17.40557824,22.30854807,871.286313,-84.47413424,-91.81000621,876.302555,104.7236633,73.2885074,865.6391533,-90.95111059,-88.04076579,860.8784232,100.8744342,79.35078272,850.0669187,94.95035685,84.43192745,667.500278,91.60342894,113.3694259,667.6253684,95.66449215,98.78135876,667.4273212,68.7487025,97.00002843,526.9024022,86.16484885,82.9152388,528.2148673
