"type","begin_time","frequency","count","created with version","exported with version","project","last_name","first_name","born","sex","measurement_date","record_name"
"record","-3.230","100","2000","Noraxon MR3 3.16.08","3.16.08","Project 1","MyoMetrics Demo Record","","","male","2020-06-25T16:24:50.836Z","EXGAVINE flexion_kreisend_gebeugt_"

time,Activity,Marker,Noraxon MyoMotion-Analogs-Noraxon MyoMotion.Sync (An),Noraxon MyoMotion-Segmente-Oberer Thorax-Orientierung-x,Noraxon MyoMotion-Segmente-Oberer Thorax-Orientierung-y,Noraxon MyoMotion-Segmente-Oberer Thorax-Orientierung-z,Noraxon MyoMotion-Segmente-Oberer Thorax-Orientierung-w,Noraxon MyoMotion-Segmente-Oberer Thorax-Sensor-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Sensor-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Sensor-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Scheren (Grad),Noraxon MyoMotion-Segmente-Oberer Thorax-Neigen (Grad),Noraxon MyoMotion-Segmente-Oberer Thorax-Rollen (Grad),Noraxon MyoMotion-Segmente-Oberarm RT-Orientierung-x,Noraxon MyoMotion-Segmente-Oberarm RT-Orientierung-y,Noraxon MyoMotion-Segmente-Oberarm RT-Orientierung-z,Noraxon MyoMotion-Segmente-Oberarm RT-Orientierung-w,Noraxon MyoMotion-Segmente-Oberarm RT-Sensor-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Sensor-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Sensor-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Scheren (Grad),Noraxon MyoMotion-Segmente-Oberarm RT-Neigen (Grad),Noraxon MyoMotion-Segmente-Oberarm RT-Rollen (Grad),Noraxon MyoMotion-Segmente-Unterarm RT-Orientierung-x,Noraxon MyoMotion-Segmente-Unterarm RT-Orientierung-y,Noraxon MyoMotion-Segmente-Unterarm RT-Orientierung-z,Noraxon MyoMotion-Segmente-Unterarm RT-Orientierung-w,Noraxon MyoMotion-Segmente-Unterarm RT-Sensor-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Sensor-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Sensor-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Scheren (Grad),Noraxon MyoMotion-Segmente-Unterarm RT-Neigen (Grad),Noraxon MyoMotion-Segmente-Unterarm RT-Rollen (Grad),Noraxon MyoMotion-Gelenke-Schulter RT-Total Flexion (Grad),Noraxon MyoMotion-Gelenke-Schulter RT-Rotation Ext (Grad),Noraxon MyoMotion-Gelenke-Schulter RT-Flexion (Grad),Noraxon MyoMotion-Gelenke-Schulter RT-Abduktion (Grad),Noraxon MyoMotion-Gelenke-Ellbogen RT-Flexion (Grad),Noraxon MyoMotion-Verlaufskurven-Body center of mass-x (mm),Noraxon MyoMotion-Verlaufskurven-Body center of mass-y (mm),Noraxon MyoMotion-Verlaufskurven-Body center of mass-z (mm),Noraxon MyoMotion-Verlaufskurven-7th cervical vertebrae-x (mm),Noraxon MyoMotion-Verlaufskurven-7th cervical vertebrae-y (mm),Noraxon MyoMotion-Verlaufskurven-7th cervical vertebrae-z (mm),Noraxon MyoMotion-Verlaufskurven-10th thoracic vertebrae-x (mm),Noraxon MyoMotion-Verlaufskurven-10th thoracic vertebrae-y (mm),Noraxon MyoMotion-Verlaufskurven-10th thoracic vertebrae-z (mm),Noraxon MyoMotion-Verlaufskurven-Jugular notch-x (mm),Noraxon MyoMotion-Verlaufskurven-Jugular notch-y (mm),Noraxon MyoMotion-Verlaufskurven-Jugular notch-z (mm),Noraxon MyoMotion-Verlaufskurven-Acromion LT-x (mm),Noraxon MyoMotion-Verlaufskurven-Acromion LT-y (mm),Noraxon MyoMotion-Verlaufskurven-Acromion LT-z (mm),Noraxon MyoMotion-Verlaufskurven-Acromion RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Acromion RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Acromion RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder LT-x (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder LT-y (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder LT-z (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Medial humeral epicondyle RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Medial humeral epicondyle RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Medial humeral epicondyle RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Lateral humeral epicondyle RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Lateral humeral epicondyle RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Lateral humeral epicondyle RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Elbow RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Elbow RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Elbow RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Radial styloid process RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Radial styloid process RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Radial styloid process RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Ulnar styloid process RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Ulnar styloid process RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Ulnar styloid process RT-z (mm)
-3.225,Aktivität,,0,0.2723410473,-0.6547209599,-0.6550794683,0.2608480568,912.109375,-94.7265625,390.625,0.008278444369,28.75936581,996.3319844,-44.29770499,-0.3242020433,-0.873503456,0.4361642887,-0.5126703069,-0.618622053,0.4052611814,984.8632813,10.7421875,-205.078125,11.56665805,-65.21959146,3.862904988,-73.6190542,5.385694441,-7.161195145,0.6518876521,-0.3117665899,-0.3636702172,0.5878673793,990.234375,-159.1796875,-107.9101563,21.88072108,-65.03775534,6.398637018,-122.6984227,-2.539712734,-6.182471823,8.942228268,-28.90882904,8.511170697,2.783654422,-2.346492055,-1.400897825,1.328562963,584.2785508,26.56514626,-29.03040313,900.3487227,48.00989446,-51.24383266,733.3530734,-20.53538295,19.88095725,870.5664865,-81.20474733,-97.85947118,868.8877801,98.64167039,77.66152457,872.7192327,-87.09798549,-93.97902019,853.25851,95.24629914,83.97976717,857.1431773,84.43706768,106.0751699,673.0385099,89.46577249,134.6301602,675.8529459,89.20598731,119.5754068,674.2311958,62.42251932,138.5922892,534.9017216,75.32987016,120.245685,534.4237805
-3.215,,,0,0.2723354043,-0.6547451738,-0.6550894035,0.2607682081,911.1328125,-106.4453125,390.1367188,8.163411776,37.18988728,996.1177324,-44.2902057,-0.3274832659,-0.8786580116,0.4360993358,-0.5126970391,-0.6187142971,0.4051564315,989.2578125,4.8828125,-216.796875,-0.3482191416,-66.91753448,10.53335857,-73.60266408,5.389060625,-7.166213736,0.6518753875,-0.3117875227,-0.3638070726,0.5877851936,994.6289063,-148.4375,-100.5859375,34.908083,-69.76955239,7.646524669,-122.6832753,-2.539375802,-6.193785307,8.949558325,-28.89892866,8.519219131,2.782637018,-2.340873176,-1.401466582,1.330089438,584.27842,26.5575651,-29.03351521,900.3499983,48.00927829,-51.24438069,733.3534226,-20.5334778,19.88463562,870.563914,-81.21801646,-97.84784527,868.8763032,98.65088227,77.64961751,872.7303623,-87.10911715,-93.96628483,853.2465028,95.25796073,83.96864271,857.1540905,84.44286065,106.0906004,673.0465145,89.48026078,134.643667,675.864915,89.21587552,119.5892482,674.2408037,62.42170211,138.6356793,534.9175899,75.32430921,120.2858545,534.4352222
-3.205,,,0,0.2723297594,-0.654769383,-0.6550993341,0.2606883575,920.8984375,-93.75,391.1132813,-3.305253273,29.82489942,1004.446188,-44.28270611,-0.330763813,-0.8838129979,0.4360343722,-0.5127237588,-0.6188065261,0.4050516717,984.8632813,20.01953125,-222.1679688,3.23256823,-82.85148854,6.399648287,-73.58627417,5.392428239,-7.171231388,0.6518631059,-0.3118084474,-0.3639439186,0.5877029925,991.6992188,-142.578125,-92.28515625,44.29236958,-69.22342749,2.775505956,-122.668128,-2.539035883,-6.205098695,8.956888698,-28.88902747,8.527266525,2.781619428,-2.335253478,-1.402035108,1.331615829,584.2782893,26.54998227,-29.03662727,900.3512733,48.00866188,-51.24492883,733.3537717,-20.53157303,19.88831285,870.5613421,-81.231284,-97.83621831,868.8648255,98.66009032,77.63770807,872.7414928,-87.12024701,-93.95354869,853.2344951,95.26961861,83.95751556,857.165005,84.44865865,106.1060296,673.0545221,89.49475367,134.6571694,675.8768856,89.22576831,119.603087,674.2504138,62.42089774,138.6790684,534.9334664,75.31875978,120.326025,534.4466721
-3.195,,,0,0.2723241125,-0.6547935876,-0.65510926,0.2606085051,917.96875,-90.8203125,384.765625,-8.510112875,31.30139387,998.953123,-44.27520622,-0.3340436847,-0.8889684147,0.435969398,-0.512750466,-0.6188987399,0.4049469019,966.796875,16.6015625,-200.1953125,15.63663877,-68.64277276,-15.06668357,-73.56988447,5.395797282,-7.176248101,0.6518508072,-0.3118293641,-0.364080755,0.5876207762,980.9570313,-150.8789063,-100.0976563,31.40086592,-66.42116102,-5.181977804,-122.6529808,-2.538692975,-6.216411988,8.964219384,-28.87912547,8.535312881,2.780601652,-2.329632962,-1.4026034,1.333142139,584.2781588,26.5423978,-29.03973929,900.3525478,48.00804523,-51.24547706,733.3541209,-20.52966862,19.89198898,870.5587708,-81.24454993,-97.82459029,868.853347,98.66929454,77.62579628,872.7526244,-87.13137507,-93.94081175,853.2224868,95.28127279,83.94638574,857.1759208,84.45446169,106.1214575,673.0625326,89.50925117,134.6706673,675.8888578,89.23566572,119.616923,674.260026,62.42010621,138.7224565,534.9493511,75.31322188,120.3661963,534.4581302
-3.185,,,0,0.2723334031,-0.6548164169,-0.6551143862,0.2605285373,912.5976563,-98.14453125,385.2539063,-1.456315868,34.90112971,994.8201816,-44.26899842,-0.3380496068,-0.895145792,0.4359077639,-0.51277487,-0.6189891805,0.404844104,977.0507813,8.7890625,-200.1953125,13.10272905,-61.78798341,-4.613540626,-73.55404164,5.399101902,-7.181404493,0.6518416332,-0.3118434835,-0.3642197623,0.587537311,989.2578125,-158.203125,-97.16796875,31.27982251,-60.13163175,4.244303977,-122.6382194,-2.538331165,-6.228525768,8.971973007,-28.86836883,8.544041181,2.778832877,-2.323342253,-1.403506085,1.334576518,584.2779608,26.5339304,-29.04268836,900.3541039,48.00749411,-51.24593599,733.3545449,-20.52911062,19.89486057,870.5556293,-81.25645577,-97.81513506,868.8395881,98.67579313,77.61577263,872.7659575,-87.14089292,-93.93032867,853.2080841,95.29041499,83.9371194,857.1889864,84.45843841,106.1380755,673.0716241,89.52168465,134.6853648,675.9022081,89.24362314,119.631977,674.2708411,62.41615747,138.7684874,534.966897,75.30465654,120.4091129,534.4709363
-3.175,,,0,0.2723598973,-0.6548369482,-0.655113075,0.2604525226,917.4804688,-102.5390625,384.2773438,-1.041989158,39.6998639,999.1879612,-44.26463658,-0.3427846396,-0.9021863385,0.4358548829,-0.5127952571,-0.6190706739,0.4047505973,998.5351563,11.71875,-206.0546875,13.91969707,-66.40763502,17.38124106,-73.53996999,5.402001479,-7.186367603,0.651837788,-0.311847171,-0.3643526463,0.5874572233,986.8164063,-155.7617188,-97.65625,31.9305426,-62.32622876,1.34956808,-122.6249653,-2.538019978,-6.240989108,8.979739588,-28.8574804,8.553040054,2.776244052,-2.31644154,-1.404755557,1.335824746,584.2776816,26.52482452,-29.04522071,900.3559396,48.00704864,-51.24626406,733.3550431,-20.53018516,19.89666881,870.5519108,-81.26615443,-97.80870196,868.8238926,98.67874694,77.60853383,872.7811394,-87.14802143,-93.92303635,853.1916349,95.29611468,83.93054994,857.2038435,84.46030453,106.1547922,673.0813551,89.53113782,134.7002961,675.9163596,89.24905833,119.6472679,674.2823662,62.40883518,138.8148345,534.9853554,75.29320311,120.452693,534.4845192
-3.165,,,0,0.2724045587,-0.6548549338,-0.6551037734,0.2603839821,916.9921875,-104.9804688,387.6953125,2.820180346,38.9613612,1000.338585,-44.26251257,-0.3482720053,-0.9098568957,0.4358159287,-0.5128103381,-0.6191358782,0.404673693,981.9335938,-4.8828125,-202.6367188,4.320608245,-52.18222971,1.267901925,-73.52886141,5.404129521,-7.190759204,0.651841228,-0.31183721,-0.364471588,0.5873849074,989.2578125,-148.4375,-92.7734375,40.62695355,-65.60346555,1.657255581,-122.6142585,-2.537821785,-6.253356369,8.987103003,-28.84732187,8.561882851,2.772793722,-2.308961881,-1.406343377,1.336810784,584.2773043,26.51532542,-29.04706033,900.3580586,48.00673904,-51.24642979,733.3556164,-20.53305925,19.89727623,870.54759,-81.27301467,-97.80584885,868.8067635,98.67760119,77.60476262,872.7976504,-87.15219704,-93.91958148,853.1736455,95.29773293,83.92728849,857.2199614,84.4600091,106.1702672,673.0911484,89.53694459,134.7142441,675.9306022,89.25163037,119.6615631,674.2939741,62.39816677,138.8589583,535.0038477,75.27921872,120.4946229,534.4981755
-3.155,,,0,0.2724675321,-0.6548706414,-0.655085093,0.2603255805,919.921875,-109.8632813,384.2773438,2.985803195,45.24147948,1001.967847,-44.26287161,-0.354561496,-0.9179167483,0.4357950693,-0.5128192649,-0.6191782656,0.4046199879,982.421875,-4.39453125,-200.6835938,6.191134599,-51.59446829,1.371877914,-73.52173734,5.405168408,-7.194192462,0.6518534075,-0.3118112759,-0.3645700395,0.5873240585,987.7929688,-150.8789063,-86.9140625,43.65108775,-60.05142361,0.2708917007,-122.6069374,-2.537787897,-6.265220997,8.993701496,-28.83872805,8.570206619,2.76842001,-2.300949334,-1.408255467,1.337477132,584.2768099,26.5056312,-29.04794565,900.3604738,48.00658554,-51.24641152,733.3562686,-20.53781472,19.89663886,870.5426191,-81.27662111,-97.80688507,868.7887171,98.67203327,77.60493088,872.8149511,-87.15305849,-93.9203537,853.1546327,95.29488275,83.92773746,857.2367866,84.45755515,106.1831104,673.100416,89.53858119,134.7259256,675.9442279,89.25109405,119.6735654,674.3050312,62.38426592,138.8984126,535.0215111,75.26308274,120.5326379,534.5112021
-3.145,,,0,0.2725484582,-0.6548845256,-0.6550560502,0.260279018,927.2460938,-104.0039063,385.7421875,-2.837366549,41.90299746,1008.779091,-44.26583052,-0.3616996481,-0.9261665943,0.4357948686,-0.5128217068,-0.6191931119,0.4045943891,987.3046875,0,-202.6367188,7.844316451,-56.13724145,6.289850176,-73.51930064,5.404900259,-7.19633385,0.651875166,-0.3117681988,-0.3646431469,0.5872773907,988.7695313,-152.34375,-95.21484375,36.63144646,-64.33185921,2.227129738,-122.603575,-2.537960549,-6.276234998,8.999261233,-28.83233118,8.577745603,2.763046126,-2.292493322,-1.41047642,1.33778395,584.2761823,26.49588157,-29.04767909,900.3631979,48.00659903,-51.2461973,733.3570031,-20.54446778,19.89477006,870.536954,-81.27675505,-97.81192521,868.7701807,98.66191379,77.60929983,872.8325945,-87.15042502,-93.92552621,853.1350235,95.287392,83.93210474,857.2538597,84.45293846,106.1921351,673.1086796,89.53567932,134.7342301,675.9566527,89.24727369,119.6821531,674.315019,62.36730758,138.9311571,535.0376287,75.24515119,120.56482,534.5230187
-3.135,,,0,0.2726464091,-0.6548969427,-0.6550163362,0.2602451332,930.6640625,-103.515625,377.4414063,-9.590474097,47.82739356,1008.431287,-44.27138144,-0.3696829537,-0.9344530385,0.435816038,-0.512817996,-0.6191781487,0.4045991896,983.8867188,0.48828125,-205.5664063,5.167551995,-58.34530905,3.424128895,-73.52182391,5.40321452,-7.196966473,0.6519066577,-0.311707989,-0.3646879264,0.5872465883,993.1640625,-162.5976563,-101.5625,26.58039018,-60.83589448,9.31673476,-122.6044594,-2.538364187,-6.286119145,9.00359956,-28.82844293,8.584314301,2.756645005,-2.283711043,-1.412980869,1.337710393,584.2754143,26.48618575,-29.04616231,900.3662266,48.00678156,-51.2457856,733.3578189,-20.55295955,19.8917212,870.5305937,-81.27337818,-97.82091134,868.751487,98.64731326,77.61790694,872.8502404,-87.14428826,-93.93506829,853.115155,95.27530167,83.94040024,857.2708356,84.44624313,106.1965648,673.1156274,89.52817576,134.7384173,675.9674702,89.24018422,119.6865778,674.323588,62.34762497,138.955773,535.0516912,75.22584748,120.58981,534.5332256
